mp_code,mp_formal_name,mp_fr_description,mp_en_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name,tm_is_publishable
"02025337","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","ACETAMINOPHEN, CAFFEINE & CODEINE (acétaminophène 300 mg et caféine 15 mg et phosphate de codéine 8 mg comprimé oral) PHARMASCIENCE INC",NA,"Inactive","20190618","DIN","02025337","ACETAMINOPHEN, CAFFEINE & CODEINE","t"
"02028174","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","ACETAMINOPHEN, CAFFEINE & CODEINE (acétaminophène 300 mg et caféine 15 mg et phosphate de codéine 8 mg comprimé oral) PHARMASCIENCE INC",NA,"Inactive","20190618","DIN","02028174","ACETAMINOPHEN, CAFFEINE & CODEINE","t"
"02399482","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) DOMINION PHARMACAL","DOM-ATORVASTATIN (atorvastatine (atorvastatine calcique) 10 mg comprimé oral) DOMINION PHARMACAL",NA,"Active","20130809","DIN","02399482","DOM-ATORVASTATIN","t"
"02355612","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) DOMINION PHARMACAL","DOM-ATORVASTATIN (atorvastatine (atorvastatine calcique) 10 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20190731","DIN","02355612","DOM-ATORVASTATIN","t"
"02399490","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) DOMINION PHARMACAL","DOM-ATORVASTATIN (atorvastatine (atorvastatine calcique) 20 mg comprimé oral) DOMINION PHARMACAL",NA,"Active","20130809","DIN","02399490","DOM-ATORVASTATIN","t"
"02355620","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) DOMINION PHARMACAL","DOM-ATORVASTATIN (atorvastatine (atorvastatine calcique) 20 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20190731","DIN","02355620","DOM-ATORVASTATIN","t"
"02355639","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 40 mg oral tablet) DOMINION PHARMACAL","DOM-ATORVASTATIN (atorvastatine (atorvastatine calcique) 40 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20190731","DIN","02355639","DOM-ATORVASTATIN","t"
"02399504","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 40 mg oral tablet) DOMINION PHARMACAL","DOM-ATORVASTATIN (atorvastatine (atorvastatine calcique) 40 mg comprimé oral) DOMINION PHARMACAL",NA,"Active","20130809","DIN","02399504","DOM-ATORVASTATIN","t"
"02253755","DOM-SIMVASTATIN (simvastatin 10 mg oral tablet) DOMINION PHARMACAL","DOM-SIMVASTATIN (simvastatine 10 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20170803","DIN","02253755","DOM-SIMVASTATIN","t"
"02281627","DOM-SIMVASTATIN (simvastatin 10 mg oral tablet) DOMINION PHARMACAL","DOM-SIMVASTATIN (simvastatine 10 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20190730","DIN","02281627","DOM-SIMVASTATIN","t"
"02281635","DOM-SIMVASTATIN (simvastatin 20 mg oral tablet) DOMINION PHARMACAL","DOM-SIMVASTATIN (simvastatine 20 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20190730","DIN","02281635","DOM-SIMVASTATIN","t"
"02253763","DOM-SIMVASTATIN (simvastatin 20 mg oral tablet) DOMINION PHARMACAL","DOM-SIMVASTATIN (simvastatine 20 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20170803","DIN","02253763","DOM-SIMVASTATIN","t"
"02253771","DOM-SIMVASTATIN (simvastatin 40 mg oral tablet) DOMINION PHARMACAL","DOM-SIMVASTATIN (simvastatine 40 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20170803","DIN","02253771","DOM-SIMVASTATIN","t"
"02281643","DOM-SIMVASTATIN (simvastatin 40 mg oral tablet) DOMINION PHARMACAL","DOM-SIMVASTATIN (simvastatine 40 mg comprimé oral) DOMINION PHARMACAL",NA,"Inactive","20190730","DIN","02281643","DOM-SIMVASTATIN","t"
