mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
02373807,H.E.L.P. ACETATE BUFFER PH 4.85 (acetic acid 6.82 g per l and sodium acetate 27.22 g per l solution for haemodialysis) B. BRAUN AVITUM AG,9005000,acetic acid 6.82 g per l and sodium acetate 27.22 g per l solution for haemodialysis,8002088,acetic acid and sodium acetate
02248463,VIONEXUS NO-RINSE SPRAY (alcohol anhydrous 65.87 % and benzalkonium chloride 0.1 % cutaneous spray) METREX RESEARCH,9003977,alcohol anhydrous 65.87 % and benzalkonium chloride 0.1 % cutaneous spray,8000946,alcohol anhydrous and benzalkonium
02248224,MANORAPID SYNERGY (alcohol anhydrous 54.1 % and butanediol 5.7 % and propyl alcohol 10 % and propylene glycol 5.9 % cutaneous solution) REMINGTON MEDICAL EQUIPMENT LTD.,9003863,alcohol anhydrous 54.1 % and butanediol 5.7 % and propyl alcohol 10 % and propylene glycol 5.9 % cutaneous solution,8000940,alcohol anhydrous and butanediol and propyl alcohol and propylene glycol
02246888,AVAGARD CHG (alcohol anhydrous 61 % and chlorhexidine gluconate 1 % lotion) 3M CANADA COMPANY,9003810,alcohol anhydrous 61 % and chlorhexidine gluconate 1 % lotion,8000912,alcohol anhydrous and chlorhexidine
02240800,STERIGEL PLUS (alcohol anhydrous 70 % and chlorhexidine gluconate 0.5 % cutaneous solution) 3M CANADA COMPANY,9012599,alcohol anhydrous 70 % and chlorhexidine gluconate 0.5 % cutaneous solution,8000912,alcohol anhydrous and chlorhexidine
02231590,"ABELCET (amphotericin B 100 mg per 20 mL suspension for injection vial) LEADIANT BIOSCIENCES, INC",9013759,amphotericin B 100 mg per 20 mL suspension for injection vial,8002215,amphotericin B
02241630,AMBISOME (amphotericin B 50 mg per vial powder for solution for injection) ASTELLAS PHARMA CANADA INC,9013760,amphotericin B 50 mg per vial powder for solution for injection,8002215,amphotericin B
00029149,FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) BRISTOL-MYERS SQUIBB CANADA,9013760,amphotericin B 50 mg per vial powder for solution for injection,8002215,amphotericin B
02202581,FEIBA NF (anti-inhibitor coagulant complex 1300 unit per vial NA) SHIRE PHARMA CANADA ULC,9013643,anti-inhibitor coagulant complex 1300 unit per vial NA,8002169,anti-inhibitor coagulant complex
02353903,FEIBA NF (anti-inhibitor coagulant complex 3250 unit per vial NA) SHIRE PHARMA CANADA ULC,9013644,anti-inhibitor coagulant complex 3250 unit per vial NA,8002169,anti-inhibitor coagulant complex
00469203,FORMULE L2 (antipyrine 10 mg per mL and sodium salicylate 56 mg per mL oral liquid) HERBAGES NATURBEC LTÉE.,9001826,antipyrine 10 mg per mL and sodium salicylate 56 mg per mL oral liquid,8001696,antipyrine and sodium salicylate
01926438,KIDROLASE (asparaginase 10000 unit per vial powder for solution for injection) JAZZ PHARMACEUTICALS FRANCE SAS,9012369,asparaginase 10000 unit per vial powder for solution for injection,8001098,asparaginase
02237815,ERWINASE (asparaginase 10000 unit per vial powder for solution for injection) JAZZ PHARMACEUTICALS FRANCE SAS,9012369,asparaginase 10000 unit per vial powder for solution for injection,8001098,asparaginase
02153513,ONCOTICE (bacillus calmette-guerin (bcg) strain tice 800000000 unit per vial powder for solution for injection) MERCK CANADA INC,9002743,bacillus calmette-guerin (bcg) strain tice 800000000 unit per vial powder for solution for injection,8002300,bacillus calmette-guerin (bcg) strain tice
02315637,ENRICHED FOAM ALCOHOL-FREE HAND SANITIZER (benzalkonium chloride 0.1 % cutaneous liquid) RUBBERMAID COMMERCIAL PRODUCTS LLC,9001867,benzalkonium chloride 0.1 % cutaneous liquid,8000796,benzalkonium
02246427,KEYSTONE FOAM HAND SANITIZER (benzalkonium chloride 0.1 % cutaneous liquid) ECOLAB CO,9001867,benzalkonium chloride 0.1 % cutaneous liquid,8000796,benzalkonium
02242842,DIGISAN E FOAM HAND SANITIZER (benzalkonium chloride 0.1 % cutaneous liquid) ECOLAB CO,9001867,benzalkonium chloride 0.1 % cutaneous liquid,8000796,benzalkonium
02443244,KLEENEX ANTIMICROBIAL FOAM SKIN CLEANSER (benzalkonium chloride 0.1 % cutaneous solution) KIMBERLY-CLARK GLOBAL SALES LLC,9004469,benzalkonium chloride 0.1 % cutaneous solution,8000796,benzalkonium
02480816,SCOTT ANTIMICROBIAL FOAM SKIN CLEANSER (benzalkonium chloride 0.1 % cutaneous solution) KIMBERLY-CLARK GLOBAL SALES LLC,9004469,benzalkonium chloride 0.1 % cutaneous solution,8000796,benzalkonium
02351935,SANI HANDS FOAM - AF (benzalkonium chloride 0.1 % cutaneous solution) OSTREM CHEMICAL CO LTD.,9004469,benzalkonium chloride 0.1 % cutaneous solution,8000796,benzalkonium
02349655,SMART-SAN ALCOHOL-FREE HAND SANITIZER FOAM (benzalkonium chloride 0.1 % cutaneous solution) BEST SANITIZERS INC,9004469,benzalkonium chloride 0.1 % cutaneous solution,8000796,benzalkonium
02399350,HAND SANITIZING WIPES (benzalkonium chloride 0.12 % wipe) ATHEA LABORATORIES INC,9004163,benzalkonium chloride 0.12 % wipe,8000796,benzalkonium
02486431,ADVANTAGE SANITIZING WIPES (benzalkonium chloride 0.12 % wipe) 2XL CORPORATION,9004163,benzalkonium chloride 0.12 % wipe,8000796,benzalkonium
02435837,CINTAS ANTIBACTERIAL FOAMING HAND SOAP (benzalkonium chloride 0.125 % cutaneous solution) AVMOR LTD,9004649,benzalkonium chloride 0.125 % cutaneous solution,8000796,benzalkonium
02486288,AVMOR ANTIBACTERIAL FOAMING HAND SOAP/ AVMOR SAVON MOUSSANT ANTIBACTÉRIEN POUR LES MAINS (benzalkonium chloride 0.125 % cutaneous solution) AVMOR LTD,9004649,benzalkonium chloride 0.125 % cutaneous solution,8000796,benzalkonium
02318725,ANTIBACTERIAL FOAMING HAND SOAP (benzalkonium chloride 0.125 % cutaneous solution) AVMOR LTD,9004649,benzalkonium chloride 0.125 % cutaneous solution,8000796,benzalkonium
02472236,FUZION AB FOAMING HAND SOAP (benzalkonium chloride 0.13 % NA) ZEP MANUFACTURING COMPANY OF CANADA,9013943,benzalkonium chloride 0.13 % NA,8000796,benzalkonium
02239318,ECOCARE 360 (benzalkonium chloride 0.13 % cutaneous liquid) ECOLAB CO,9003378,benzalkonium chloride 0.13 % cutaneous liquid,8000796,benzalkonium
02354780,FRAGRANCE FOAM (benzalkonium chloride 0.13 % cutaneous solution) SCENTSY INC,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02459272,HAND SANITIZER FOAM (benzalkonium chloride 0.13 % cutaneous solution) EMPACK SPRAYTECH INC,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02464802,DIAL COMPLETE ANTIBACTERIAL FOAMING HAND WASH (benzalkonium chloride 0.13 % cutaneous solution) HENKEL CANADA CORPORATION,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02443252,KLEENEX FOAM HAND SANITIZER (benzalkonium chloride 0.13 % cutaneous solution) KIMBERLY-CLARK GLOBAL SALES LLC,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02443104,NON-ALCOHOL FOAMING HAND SANITIZER/ASSAINISSEUR MOUSSANT SANS ALCOOL (benzalkonium chloride 0.13 % cutaneous solution) AVMOR LTD,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02464810,DIAL COMPLETE FOAMING ANTIBACTERIAL HAND WASH (benzalkonium chloride 0.13 % cutaneous solution) HENKEL CANADA CORPORATION,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02464829,DIAL ANTIBACTERIAL HYDRATING HAND SOAP (benzalkonium chloride 0.13 % cutaneous solution) HENKEL CANADA CORPORATION,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02290855,X3 CLEAN GERM ATTACK HAND SANITIZER (benzalkonium chloride 0.13 % cutaneous solution) NATURAL ESSENTIALS INC,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02469162,DIAL COMPLETE FOR THE KITCHEN (benzalkonium chloride 0.13 % cutaneous solution) HENKEL CANADA CORPORATION,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02469197,DIAL COMPLETE 2 IN 1 MOISTURIZING & ANTIBACTERIAL FOAMING HAND WASH MANUKA HONEY (benzalkonium chloride 0.13 % cutaneous solution) HENKEL CANADA CORPORATION,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02469200,DIAL COMPLETE 2 IN 1 MOISTURIZING & ANTIBACTERIAL FOAMING HAND WASH PEARL ESSENCE (benzalkonium chloride 0.13 % cutaneous solution) HENKEL CANADA CORPORATION,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02403463,PURELL SF607 FOAM HAND RUB (benzalkonium chloride 0.13 % cutaneous solution) GOJO CANADA INC,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
02450275,CINTAS ALCOHOL-FREE FOAMING HAND SANITIZER / CINTAS ASSAINISSEUR MOUSSANT SANS ALCOOL POUR LES MAINS (benzalkonium chloride 0.13 % cutaneous solution) AVMOR LTD,9004334,benzalkonium chloride 0.13 % cutaneous solution,8000796,benzalkonium
