"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
11794,"01905856","ACETAMINOPHEN CHEWABLE TABLETS 80 MG","ACETAMINOPHEN COMPRIME A CROQUER 80MG"
14206,"02017458","ACETAMINOPHEN CHEWABLE TABLETS 80 MG FOR CHILDREN","ACETAMINOPHENE 80MGCO.CROQUABLE POUR ENFANT"
14449,"01996169","ACETAMINOPHEN CHEWABLE TABLETS 160 MG","ACETAMINOPHENE COMPRIMES CROQUABLES 160MG"
14450,"02017431","ACETAMINOPHEN CHEWABLE TABLETS 160 MG FOR CHILDREN","ACETAMINOPHENE 160MGCO.CROQUABLE POUR ENFANT"
1673,"00061131","LACTATED RINGER'S AND 5% INJECTION, USP","LACTATED RINGERS INJ W 5% DEXTROSE"
33917,"02154234","ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE TABLETS","ACETAMINOPHEN 300 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE"
60900,"02237562","ACETAMINOPHEN 160 MG CHEWABLE TABLETS","ACETAMINOPHENE 160MG COMPRIMES A CROQUER"
62594,"02239138","EXTRA STRENGTH BENADRYL ALLERGY NIGHTTIME","BENADRYL EXTRA STRENGTH CAPLETS"
66647,"02242819","ALLEGRA 24 HOUR","ALLEGRA 24 HOUR (120MG)"
72902,"02248547","VITAMIN AD3 FORTE","VITAMIN AD3 FORTE (VITAMIN A AND D3 INJECTION)"
72996,"02248639","OCTREOTIDE ACETATE OMEGA","OCTREOTIDE ACETATE OMEGA 50MCG/ML"
72997,"02248640","OCTREOTIDE ACETATE OMEGA","OCTREOTIDE ACETATE OMEGA 100MCG/ML"
72998,"02248641","OCTREOTIDE ACETATE OMEGA","OCTREOTIDE ACETATE OMEGA 500MCG/ML"
72999,"02248642","OCTREOTIDE ACETATE OMEGA","OCTREOTIDE ACETATE OMEGA 200MCG/ML"
73002,"02248645","ADVIL COLD & SINUS PLUS","ADVIL COLD AND SINUS PLUS"
79278,"02307111","BUCKLEYS COLD & SINUS","BUCKLEY'S DAYTIME COLD AND SINUS"
80364,"02318148","DENTICARE PRO-FREEZE","DENTI-CARE DENTI-FREEZE TOPICAL ANESTHETIC GEL"
82152,"02335948","BUCKLEY'S COMPLETE + MUCUS RELIEF","BUCKLEY'S COMPLETE DAYTIME PLUS MUCUS RELIEF SOFTGELS"
89412,"02409410","PMS-TADALAFIL","TADALAFIL"
89413,"02409429","PMS-TADALAFIL","TADALAFIL"
89414,"02409437","PMS-TADALAFIL","TADALAFIL"
89415,"02409445","PMS-TADALAFIL","TADALAFIL"
10062,"00807435","OPTIMYXIN PLUS","OPTIMYXIN PLUS OTO-OPHT GTTE"
96010,"02471000","SOLIFENACIN SUCCINATE TABLETS","GPC-SOLIFENACIN"
96011,"02471019","SOLIFENACIN SUCCINATE TABLETS","GPC-SOLIFENACIN"
97638,"02486156","LINEZOLID TABLETS","GPC-LINEZOLID"
98337,"02493357","RIVA LEUCOVORIN","LEUCOVORIN"
