"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",36404,174,"OIL","ADDED","02203375"
"active",77675,82,"SYRUP","ADDED","02291371"
"active",81992,134,"SOLUTION","ADDED","02334240"
"active",90015,134,"SOLUTION","ADDED","02415569"
"active",95113,85,"TABLET","ADDED","02463229"
"active",95114,85,"TABLET","ADDED","02463237"
"active",95116,85,"TABLET","ADDED","02463253"
"approved",79682,134,"SOLUTION","ADDED","02311232"
"approved",80823,43,"OINTMENT","ADDED","02322757"
"approved",80885,134,"SOLUTION","ADDED","02323370"
"approved",95115,85,"TABLET","ADDED","02463245"
"approved",97765,134,"SOLUTION","ADDED","02487497"
"approved",97766,134,"SOLUTION","ADDED","02487500"
"approved",97955,36,"LOTION","ADDED","02489465"
"approved",98158,85,"TABLET","ADDED","02491591"
"approved",98159,85,"TABLET","ADDED","02491605"
"approved",98328,56,"POWDER FOR SOLUTION","ADDED","02493306"
"approved",98349,85,"TABLET","ADDED","02493489"
"approved",98350,85,"TABLET","ADDED","02493497"
"approved",98443,85,"TABLET","ADDED","02494418"
"approved",98445,85,"TABLET","ADDED","02494442"
"approved",98451,55,"POWDER","ADDED","02494507"
"approved",98452,55,"POWDER","ADDED","02494515"
"approved",98453,55,"POWDER","ADDED","02494523"
"approved",98455,134,"SOLUTION","ADDED","02494558"
"approved",98456,134,"SOLUTION","ADDED","02494566"
"approved",98457,134,"SOLUTION","ADDED","02494574"
"approved",98458,134,"SOLUTION","ADDED","02494582"
"approved",98462,5,"CAPSULE","ADDED","02494620"
"approved",98463,5,"CAPSULE","ADDED","02494639"
"approved",98464,2,"AEROSOL","ADDED","02494647"
"approved",98467,2,"AEROSOL","ADDED","02494671"
"approved",98468,85,"TABLET","ADDED","02494698"
"approved",98469,85,"TABLET","ADDED","02494701"
"approved",98473,5,"CAPSULE","ADDED","02494752"
"approved",98474,32,"KIT","ADDED","02494760"
"approved",98474,56,"POWDER FOR SOLUTION","ADDED","02494760"
"approved",98475,32,"KIT","ADDED","02494779"
"approved",98475,56,"POWDER FOR SOLUTION","ADDED","02494779"
"approved",98482,5,"CAPSULE","ADDED","02494841"
"approved",98483,5,"CAPSULE","ADDED","02494868"
"approved",98484,5,"CAPSULE","ADDED","02494876"
"approved",98485,5,"CAPSULE","ADDED","02494884"
"approved",98486,5,"CAPSULE","ADDED","02494892"
"approved",98487,5,"CAPSULE","ADDED","02494906"
"approved",98489,134,"SOLUTION","ADDED","02494914"
"approved",98490,56,"POWDER FOR SOLUTION","ADDED","02494922"
"approved",98491,56,"POWDER FOR SOLUTION","ADDED","02494930"
"approved",98498,98,"SPRAY","ADDED","02495023"
"approved",98501,85,"TABLET","ADDED","02495066"
"approved",98502,85,"TABLET","ADDED","02495074"
"approved",98503,137,"CAPSULE (DELAYED RELEASE)","ADDED","02495082"
"approved",98504,137,"CAPSULE (DELAYED RELEASE)","ADDED","02495090"
"approved",98505,134,"SOLUTION","ADDED","02495104"
"approved",98507,182,"MOUTHWASH","ADDED","02495112"
"approved",98508,182,"MOUTHWASH","ADDED","02495120"
"approved",98513,182,"MOUTHWASH","ADDED","02495198"
"approved",98516,20,"ENEMA","ADDED","02495236"
"approved",94583,134,"SOLUTION","ADDED","02458691"
"active",36404,34,"LIQUID","DELETED","02203375"
"active",77675,34,"LIQUID","DELETED","02291371"
"active",81992,34,"LIQUID","DELETED","02334240"
"active",90015,34,"LIQUID","DELETED","02415569"
"approved",79682,34,"LIQUID","DELETED","02311232"
"approved",80823,114,"GEL","DELETED","02322757"
"approved",80885,34,"LIQUID","DELETED","02323370"
