drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
13876,20365,REMOVED,inactive,,,,02003961
12414,20365,REMOVED,inactive,,,,00872857
470,20365,REMOVED,inactive,,,,00001279
6105,20365,REMOVED,dormant,,,,00622974
6721,20365,REMOVED,dormant,,,,00629707
12492,309,Changed,inactive,IRON (IRON MALATE),7.5,MG,00879851
78122,6343,Changed,approved,PRAMOXINE HYDROCHLORIDE,1,%,02295865
81023,10259,Changed,approved,CHLORPHENIRAMINE MALEATE,2,MG,02324792
6721,3798,ADDED,dormant,PROPARACAINE HYDROCHLORIDE,0.5,%,00629707
98547,1218,ADDED,approved,BISOPROLOL FUMARATE,10,MG,02495570
98578,6417,ADDED,approved,METHADONE HYDROCHLORIDE,10,MG,02495880
98045,20447,ADDED,approved,BEMOTRIZINOL,5,%,02490404
6105,3798,ADDED,dormant,PROPARACAINE HYDROCHLORIDE,.5,%,00622974
98532,1926,ADDED,approved,DILTIAZEM HYDROCHLORIDE,300,MG,02495406
98531,1926,ADDED,approved,DILTIAZEM HYDROCHLORIDE,240,MG,02495392
98279,12049,ADDED,active,OCTINOXATE,6,%,02492792
98555,8376,ADDED,approved,CEPHALEXIN (CEPHALEXIN MONOHYDRATE),500,MG,02495651
98541,10196,ADDED,approved,NITROFURANTOIN,50,MG,02495503
1172,3798,ADDED,active,PROPARACAINE HYDROCHLORIDE,0.5,%,00035076
98288,662,ADDED,active,PYRITHIONE ZINC,1,%,02492881
81023,6492,Changed,approved,PSEUDOEPHEDRINE HYDROCHLORIDE,30,MG,02324792
12298,309,Changed,inactive,IRON (IRON GLUTARATE),.5,MG,01901117
98559,9329,ADDED,approved,TROLAMINE SALICYLATE,10,%,02495708
98575,11101,ADDED,approved,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),125,MG,02495856
98045,1970,ADDED,approved,HOMOSALATE,2,%,02490404
13876,3798,ADDED,inactive,PROPARACAINE HYDROCHLORIDE,5,MG,02003961
98579,4893,ADDED,approved,CALCITRIOL,0.25,MCG,02495899
98567,5319,ADDED,approved,POTASSIUM PHOSPHATE DIBASIC,0.349,G,02495775
98566,55,ADDED,approved,SODIUM CHLORIDE,3.507,G,02495767
88933,13375,ADDED,inactive,DROSPIRENONE,3,MG,02404575
22943,4803,Changed,inactive,CALCIUM (CALCIUM CITRATE),20,MG,01959840
83957,8881,Changed,active,ISOPROPYL ALCOHOL,21,%,02354381
73777,270,Changed,approved,ACETAMINOPHEN,80,MG,02252848
98530,1926,ADDED,approved,DILTIAZEM HYDROCHLORIDE,180,MG,02495384
98045,19130,ADDED,approved,DROMETRIZOLE TRISILOXANE,7,%,02490404
98326,662,ADDED,active,PYRITHIONE ZINC,1,%,02493284
98584,51,ADDED,approved,CALCIUM CHLORIDE,100,MG,02495945
98045,755,ADDED,approved,AVOBENZONE,3,%,02490404
98576,11101,ADDED,approved,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),250,MG,02495864
12305,331,Changed,inactive,ZINC (ZINC GLUTARATE),.5,MG,01900625
12313,331,Changed,inactive,ZINC (ZINC SUCCINATE),.5,MG,00849871
81023,270,Changed,approved,ACETAMINOPHEN,325,MG,02324792
73776,270,Changed,approved,ACETAMINOPHEN,160,MG,02252821
98327,662,ADDED,active,PYRITHIONE ZINC,1,%,02493292
98567,53,ADDED,approved,POTASSIUM CHLORIDE,1.94,G,02495775
98567,42,ADDED,approved,DEXTROSE,149.04,G,02495775
98567,8865,ADDED,approved,GLYCINE,6.756,G,02495775
98045,2280,ADDED,approved,OCTOCRYLENE,5,%,02490404
97743,182,REMOVED,approved,,,,02487276
16629,20365,REMOVED,dormant,,,,02023652
1172,20365,REMOVED,active,,,,00035076
98554,6296,ADDED,approved,PYRIDOSTIGMINE BROMIDE,60,MG,02495643
98565,10021,ADDED,approved,CITRIC ACID,59.9,%,02495759
98538,11865,ADDED,approved,CELECOXIB,100,MG,02495465
98042,7289,ADDED,approved,ZINC OXIDE,1.8,%,02490374
91194,7610,ADDED,approved,BETAMETHASONE (BETAMETHASONE DIPROPIONATE),0.5,MG,02427419
91194,894,ADDED,approved,CALCIPOTRIOL,50,MCG,02427419
98591,10021,ADDED,approved,CITRIC ACID,4.65,%,02496038
98534,2143,ADDED,approved,CYCLOBENZAPRINE HYDROCHLORIDE,10,MG,02495422
98009,20447,ADDED,approved,BEMOTRIZINOL,5,%,02490021
98572,1915,ADDED,approved,CYCLOSPORINE,50,MG,02495821
98533,1926,ADDED,approved,DILTIAZEM HYDROCHLORIDE,360,MG,02495414
98566,4999,ADDED,approved,CALCIUM D-PANTOTHENATE,0.012,G,02495767
98568,6417,ADDED,approved,METHADONE HYDROCHLORIDE,10,MG,02495783
98009,1970,ADDED,approved,HOMOSALATE,2,%,02490021
98589,7487,ADDED,approved,TESTOSTERONE CYPIONATE,100,MG,02496003
98566,4753,ADDED,approved,SODIUM PHOSPHATE MONOBASIC,0.6,G,02495767
16629,3798,ADDED,dormant,PROPARACAINE HYDROCHLORIDE,0.5,%,02023652
98546,1218,ADDED,approved,BISOPROLOL FUMARATE,5,MG,02495562
98577,6417,ADDED,approved,METHADONE HYDROCHLORIDE,10,MG,02495872
98566,8865,ADDED,approved,GLYCINE,6.756,G,02495767
98566,42,ADDED,approved,DEXTROSE,41.734,G,02495767
98537,12759,ADDED,approved,VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE),450,MG,02495457
98566,53,ADDED,approved,POTASSIUM CHLORIDE,1.94,G,02495767
98372,662,ADDED,active,PYRITHIONE ZINC,1,%,02493721
98567,10292,ADDED,approved,SODIUM ACETATE,13.127,G,02495775
98570,1915,ADDED,approved,CYCLOSPORINE,25,MG,02495805
98529,1926,ADDED,approved,DILTIAZEM HYDROCHLORIDE,120,MG,02495376
97743,10247,ADDED,approved,DEXTROMETHORPHAN HYDROBROMIDE,20,MG,02487276
98580,4893,ADDED,approved,CALCITRIOL,0.5,MCG,02495902
98581,11101,ADDED,approved,AMOXICILLIN (AMOXYCILLIN SODIUM),500,MG,02495910
98009,755,ADDED,approved,AVOBENZONE,3,%,02490021
98539,11865,ADDED,approved,CELECOXIB,200,MG,02495473
98571,1915,ADDED,approved,CYCLOSPORINE,100,MG,02495813
98548,13330,ADDED,approved,TERIPARATIDE,250,MCG,02495589
98588,9653,ADDED,approved,KAOLIN,197,MG,02495996
98009,19130,ADDED,approved,DROMETRIZOLE TRISILOXANE,7,%,02490021
98581,11247,ADDED,approved,CLAVULANIC ACID (CLAVULANATE POTASSIUM),100,MG,02495910
12414,3798,ADDED,inactive,PROPARACAINE HYDROCHLORIDE,.5,%,00872857
98287,662,ADDED,active,PYRITHIONE ZINC,1,%,02492873
98565,2196,ADDED,approved,SODIUM CHLORITE,30.5,%,02495759
98542,10196,ADDED,approved,NITROFURANTOIN,100,MG,02495511
98042,727,ADDED,approved,TITANIUM DIOXIDE,3.7,%,02490374
98566,10292,ADDED,approved,SODIUM ACETATE,13.125,G,02495767
98583,11247,ADDED,approved,CLAVULANIC ACID (CLAVULANATE POTASSIUM),200,MG,02495937
98009,2280,ADDED,approved,OCTOCRYLENE,5,%,02490021
98582,11247,ADDED,approved,CLAVULANIC ACID (CLAVULANATE POTASSIUM),200,MG,02495929
98557,10021,ADDED,approved,CITRIC ACID,3,%,02495686
88933,7426,ADDED,inactive,ETHINYL ESTRADIOL,0.02,MG,02404575
98582,11101,ADDED,approved,AMOXICILLIN (AMOXYCILLIN SODIUM),1000,MG,02495929
98045,12634,ADDED,approved,ENSULIZOLE,0.5,%,02490404
98583,11101,ADDED,approved,AMOXICILLIN (AMOXYCILLIN SODIUM),2000,MG,02495937
98567,4999,ADDED,approved,CALCIUM D-PANTOTHENATE,0.012,G,02495775
98009,12048,ADDED,approved,OCTISALATE,5,%,02490021
98567,55,ADDED,approved,SODIUM CHLORIDE,3.507,G,02495775
98566,5319,ADDED,approved,POTASSIUM PHOSPHATE DIBASIC,0.349,G,02495767
98042,12634,ADDED,approved,ENSULIZOLE,2,%,02490374
98553,20792,ADDED,approved,CABAZITAXEL,40,MG,02495635
98592,10021,ADDED,approved,CITRIC ACID,4.65,%,02496046
98289,662,ADDED,active,PYRITHIONE ZINC,1,%,02492903
98009,12634,ADDED,approved,ENSULIZOLE,0.5,%,02490021
98279,7289,ADDED,active,ZINC OXIDE,3,%,02492792
470,3798,ADDED,inactive,PROPARACAINE HYDROCHLORIDE,.5,%,00001279
98045,12048,ADDED,approved,OCTISALATE,5,%,02490404
98567,4753,ADDED,approved,SODIUM PHOSPHATE MONOBASIC,0.6,G,02495775
98588,10005,ADDED,approved,PECTIN,4.33,MG,02495996
