drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
98531,56,ORAL,ADDED,02495392
98553,49,INTRAVENOUS,ADDED,02495635
98584,49,INTRAVENOUS,ADDED,02495945
98548,65,SUBCUTANEOUS,ADDED,02495589
98568,56,ORAL,ADDED,02495783
98327,70,TOPICAL,ADDED,02493292
98575,56,ORAL,ADDED,02495856
98588,56,ORAL,ADDED,02495996
95833,9,DISINFECTANT (Hospital/HC Facilities),ADDED,02469529
98589,22,INTRAMUSCULAR,ADDED,02496003
98572,56,ORAL,ADDED,02495821
98577,56,ORAL,ADDED,02495872
98539,56,ORAL,ADDED,02495473
98557,93,DISINFECTANT (Domestic),ADDED,02495686
98546,56,ORAL,ADDED,02495562
98541,56,ORAL,ADDED,02495503
98578,56,ORAL,ADDED,02495880
98326,70,TOPICAL,ADDED,02493284
98534,56,ORAL,ADDED,02495422
98582,49,INTRAVENOUS,ADDED,02495929
98565,9,DISINFECTANT (Hospital/HC Facilities),ADDED,02495759
98567,56,ORAL,ADDED,02495775
98279,70,TOPICAL,ADDED,02492792
98533,56,ORAL,ADDED,02495414
98529,56,ORAL,ADDED,02495376
98537,56,ORAL,ADDED,02495457
98042,70,TOPICAL,ADDED,02490374
98538,56,ORAL,ADDED,02495465
98591,93,DISINFECTANT (Domestic),ADDED,02496038
98554,56,ORAL,ADDED,02495643
98372,70,TOPICAL,ADDED,02493721
98045,70,TOPICAL,ADDED,02490404
98571,56,ORAL,ADDED,02495813
98565,94,DISINFECTANT (Institutional/Industrial),ADDED,02495759
88933,56,ORAL,ADDED,02404575
95833,2,DISINFECTANT (Barn),ADDED,02469529
98547,56,ORAL,ADDED,02495570
16654,70,TOPICAL,REMOVED,02026538
98288,70,TOPICAL,ADDED,02492881
98542,56,ORAL,ADDED,02495511
98530,56,ORAL,ADDED,02495384
98532,56,ORAL,ADDED,02495406
98581,49,INTRAVENOUS,ADDED,02495910
98565,8,DISINFECTANT (Food Premises),ADDED,02495759
98555,56,ORAL,ADDED,02495651
98566,56,ORAL,ADDED,02495767
98289,70,TOPICAL,ADDED,02492903
98009,70,TOPICAL,ADDED,02490021
98592,93,DISINFECTANT (Domestic),ADDED,02496046
98570,56,ORAL,ADDED,02495805
98580,56,ORAL,ADDED,02495902
98559,70,TOPICAL,ADDED,02495708
98583,49,INTRAVENOUS,ADDED,02495937
98576,56,ORAL,ADDED,02495864
98579,56,ORAL,ADDED,02495899
91194,70,TOPICAL,ADDED,02427419
98287,70,TOPICAL,ADDED,02492873
