drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
10519,MARKETED,2019-12-20,APPROVED,2019-12-20,00828602
85926,MARKETED,2019-09-27,APPROVED,2011-09-20,02374064
88976,MARKETED,2019-07-15,DORMANT,2019-08-02,02404923
95432,MARKETED,2020-01-10,APPROVED,2017-07-07,02466031
95643,MARKETED,2020-01-23,APPROVED,2017-09-01,02468069
95644,MARKETED,2020-01-23,APPROVED,2017-09-01,02468077
95971,MARKETED,2020-01-06,APPROVED,2019-11-28,02470705
95972,MARKETED,2020-01-06,APPROVED,2019-11-28,02470713
95973,MARKETED,2020-01-06,APPROVED,2019-11-28,02470721
96641,MARKETED,2020-01-13,APPROVED,2018-05-24,02476142
96642,MARKETED,2019-12-04,APPROVED,2018-05-24,02476150
96643,MARKETED,2019-12-04,APPROVED,2018-05-24,02476169
96912,MARKETED,2019-12-17,APPROVED,2019-09-19,02478366
96974,MARKETED,2020-01-14,APPROVED,2018-07-17,02479036
96975,MARKETED,2020-01-14,APPROVED,2018-07-17,02479044
96976,MARKETED,2020-01-14,APPROVED,2018-07-17,02479052
97017,MARKETED,2020-01-21,APPROVED,2018-08-01,02479508
97018,MARKETED,2020-01-21,APPROVED,2018-08-01,02479516
97019,MARKETED,2020-01-21,APPROVED,2018-08-01,02479524
97176,MARKETED,2019-12-30,APPROVED,2018-09-28,02481278
97193,MARKETED,2020-01-06,APPROVED,2019-11-28,02481499
97194,MARKETED,2020-01-06,APPROVED,2019-11-28,02481502
97242,MARKETED,2019-08-26,APPROVED,2018-10-24,02481944
97253,MARKETED,2019-02-05,DORMANT,2019-07-26,02482088
97311,MARKETED,2019-12-17,APPROVED,2018-11-13,02482681
97315,MARKETED,2019-12-17,APPROVED,2018-11-13,02482746
97423,MARKETED,2020-01-17,APPROVED,2018-12-12,02483874
97460,MARKETED,2020-01-06,APPROVED,2018-12-27,02484285
97572,MARKETED,2019-12-03,APPROVED,2019-02-04,02485486
97614,MARKETED,2020-01-06,APPROVED,2019-02-21,02485907
97713,MARKETED,2020-01-27,APPROVED,2019-04-02,02486989
97714,MARKETED,2020-01-27,APPROVED,2019-04-02,02486997
97765,MARKETED,2019-12-18,APPROVED,2019-12-17,02487497
97766,MARKETED,2019-12-18,APPROVED,2019-12-17,02487500
97821,MARKETED,2020-01-06,APPROVED,2019-05-01,02488116
97822,MARKETED,2019-08-02,APPROVED,2019-05-01,02488108
97829,MARKETED,2019-12-13,APPROVED,2019-05-03,02488183
97883,MARKETED,2019-07-09,APPROVED,2019-05-21,02488744
97884,MARKETED,2019-07-09,APPROVED,2019-05-21,02488752
97932,MARKETED,2020-01-21,APPROVED,2019-06-07,02489244
97947,MARKETED,2020-01-17,APPROVED,2019-06-13,02489384
97986,MARKETED,2020-01-09,APPROVED,2019-06-27,02489783
97988,MARKETED,2019-12-13,APPROVED,2019-07-03,02489805
97989,MARKETED,2019-12-13,APPROVED,2019-07-03,02489813
97990,MARKETED,2019-12-28,APPROVED,2019-07-10,02489821
98004,MARKETED,2019-07-31,APPROVED,2019-07-05,02489961
98005,MARKETED,2019-07-31,APPROVED,2019-07-05,02489988
98084,MARKETED,2019-12-30,APPROVED,2019-07-23,02490781
98085,MARKETED,2019-12-30,APPROVED,2019-07-23,02490803
98086,MARKETED,2019-12-30,APPROVED,2019-07-23,02490811
98158,MARKETED,2020-01-27,APPROVED,2019-12-09,02491591
98159,MARKETED,2020-01-27,APPROVED,2019-12-09,02491605
98296,MARKETED,2019-12-10,APPROVED,2019-12-10,02492989
98316,MARKETED,2020-01-07,APPROVED,2019-10-15,02493179
98405,MARKETED,2019-11-27,APPROVED,2019-11-18,02494035
98406,MARKETED,2019-11-27,APPROVED,2019-11-18,02494043
98509,MARKETED,2020-01-16,APPROVED,2019-12-23,02495155
12664,CANCELLED POST MARKET,2020-01-06,DORMANT,2018-10-03,00888346
12702,CANCELLED POST MARKET,2020-01-06,DORMANT,2018-10-04,00869325
12968,CANCELLED POST MARKET,2020-01-06,DORMANT,2018-10-30,01949047
12991,CANCELLED POST MARKET,2020-01-06,DORMANT,2018-10-03,00850322
12992,CANCELLED POST MARKET,2020-01-10,DORMANT,2018-10-03,00850330
16242,CANCELLED POST MARKET,2020-01-15,DORMANT,2018-12-13,02023644
16651,CANCELLED POST MARKET,2020-01-15,DORMANT,2018-12-13,02023687
20322,CANCELLED POST MARKET,2020-01-16,MARKETED,1996-07-30,02216086
2334,CANCELLED POST MARKET,2020-01-22,DORMANT,2018-08-21,00328162
31285,CANCELLED POST MARKET,2020-01-06,DORMANT,2017-07-28,02137232
4292,CANCELLED POST MARKET,2020-01-23,DORMANT,2018-08-22,00497312
43277,CANCELLED POST MARKET,2019-12-02,DORMANT,2017-08-04,02220156
43278,CANCELLED POST MARKET,2019-12-02,DORMANT,2017-08-04,02220164
5708,CANCELLED POST MARKET,2020-01-16,MARKETED,2017-08-30,00569046
66968,CANCELLED POST MARKET,2017-10-21,MARKETED,2017-03-09,02243101
69785,CANCELLED PRE MARKET,2020-01-09,APPROVED,2002-04-30,02245685
74675,CANCELLED POST MARKET,2019-12-10,MARKETED,2015-06-22,02261464
76000,CANCELLED POST MARKET,2019-11-08,MARKETED,2013-11-04,02274566
78536,CANCELLED POST MARKET,2020-01-23,MARKETED,2010-01-07,02300036
78537,CANCELLED POST MARKET,2020-01-23,MARKETED,2009-12-11,02300044
78538,CANCELLED POST MARKET,2020-01-23,MARKETED,2009-10-28,02300052
78539,CANCELLED POST MARKET,2020-01-23,MARKETED,2009-11-06,02300060
78992,CANCELLED POST MARKET,2020-01-10,MARKETED,2013-09-11,02304651
79588,CANCELLED POST MARKET,2019-08-06,MARKETED,2008-07-10,02310236
80467,CANCELLED POST MARKET,2019-12-27,MARKETED,2009-12-05,02319209
80968,CANCELLED POST MARKET,2020-01-17,MARKETED,2011-08-31,02324202
83040,CANCELLED POST MARKET,2020-01-13,MARKETED,2010-04-27,02344939
86519,CANCELLED POST MARKET,2020-01-02,MARKETED,2014-07-16,02379317
86520,CANCELLED POST MARKET,2020-01-02,MARKETED,2014-07-16,02379325
88845,CANCELLED POST MARKET,2019-12-16,MARKETED,2013-04-01,02403668
16477,DORMANT,2020-01-21,DORMANT,2017-07-18,02027100
16652,DORMANT,2020-01-21,DORMANT,2017-07-18,02026473
16653,DORMANT,2020-01-14,DORMANT,2017-10-11,02026465
16654,DORMANT,2020-01-30,DORMANT,2017-07-24,02026538
16655,DORMANT,2020-01-27,DORMANT,2017-08-31,02026481
47426,DORMANT,2019-02-15,MARKETED,2004-02-09,02229521
47427,DORMANT,2019-04-11,MARKETED,2004-02-09,02229522
85642,DORMANT,2019-03-20,MARKETED,2012-01-25,02371243
87323,DORMANT,2019-05-31,MARKETED,2013-02-26,02387646
87324,DORMANT,2019-05-29,MARKETED,2017-08-08,02387654
87325,DORMANT,2019-08-02,MARKETED,2013-02-26,02387662
89435,DORMANT,2019-06-02,MARKETED,2014-04-14,02409674
89436,DORMANT,2019-06-02,MARKETED,2014-04-14,02409682
90194,DORMANT,2020-01-20,MARKETED,2016-11-25,02417316
90269,DORMANT,2019-08-25,MARKETED,2017-08-21,02418118
90465,DORMANT,2019-01-05,MARKETED,2016-02-08,02420031
73776,APPROVED,2020-01-14,APPROVED,2004-04-21,02252821
73777,APPROVED,2020-01-14,APPROVED,2004-04-21,02252848
74383,APPROVED,2020-01-09,APPROVED,2004-09-16,02258633
74386,APPROVED,2020-01-08,APPROVED,2004-09-16,02258676
74387,APPROVED,2020-01-22,APPROVED,2004-09-16,02258684
74429,APPROVED,2020-01-22,APPROVED,2004-09-29,02259001
74888,APPROVED,2020-01-14,APPROVED,2004-12-22,02263491
74928,APPROVED,2020-01-09,APPROVED,2005-01-12,02263874
76342,APPROVED,2020-01-15,APPROVED,2006-02-24,02277824
77990,APPROVED,2020-01-30,APPROVED,2007-04-27,02294540
78007,APPROVED,2020-01-27,APPROVED,2007-05-01,02294729
78113,APPROVED,2020-01-30,APPROVED,2007-05-23,02295792
78122,APPROVED,2020-01-22,APPROVED,2007-05-28,02295865
79734,APPROVED,2020-01-27,APPROVED,2008-05-26,02311801
80348,APPROVED,2020-01-22,APPROVED,2008-10-07,02317974
80766,APPROVED,2020-01-07,APPROVED,2009-01-26,02322196
80772,APPROVED,2020-01-14,APPROVED,2009-01-27,02322269
80787,APPROVED,2020-01-22,APPROVED,2009-01-30,02322420
81023,APPROVED,2020-01-15,APPROVED,2009-04-07,02324792
81024,APPROVED,2020-01-03,APPROVED,2009-04-07,02324806
81219,APPROVED,2020-01-07,APPROVED,2009-05-22,02326868
81220,APPROVED,2020-01-07,APPROVED,2009-05-22,02326876
81223,APPROVED,2020-01-07,APPROVED,2009-05-25,02326906
82324,APPROVED,2020-01-08,APPROVED,2009-11-12,02337665
82404,APPROVED,2020-01-28,APPROVED,2009-11-24,02338408
82405,APPROVED,2020-01-15,APPROVED,2009-11-24,02338416
83920,APPROVED,2020-01-28,APPROVED,2010-06-21,02353989
86620,APPROVED,2020-01-03,APPROVED,2012-02-15,02380390
94033,APPROVED,2020-01-23,APPROVED,2016-04-13,02453797
96198,APPROVED,2020-01-14,APPROVED,2018-02-02,02472686
97838,APPROVED,2020-01-23,APPROVED,2019-05-09,02488280
98290,APPROVED,2020-01-28,APPROVED,2019-10-04,02492911
98291,APPROVED,2020-01-28,APPROVED,2019-10-04,02492938
98292,APPROVED,2020-01-28,APPROVED,2019-10-04,02492946
