mp_code,mp_formal_name,changes
"00000809","ISOPTO TEARS 0.5% (hypromellose 0.5 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00000817","ISOPTO TEARS 1% (hypromellose 1 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00000841","ISOPTO CARPINE (pilocarpine hydrochloride 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000868","ISOPTO CARPINE (pilocarpine hydrochloride 2 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000884","ISOPTO CARPINE (pilocarpine hydrochloride 4 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00000981","MYDRIACYL (tropicamide 0.5 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00001007","MYDRIACYL (tropicamide 1 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00001147","ALBALON (naphazoline hydrochloride 0.1 % ophthalmic drops) ALLERGAN INC","ADDED"
"00001694","XYLOCAINE JELLY 2% (lidocaine hydrochloride 2 % mucosal gel 30 mL tube) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.2 mg per 20 mL and lidocaine hydrochloride 200 mg per 20 mL solution for injection vial) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 0.1 mg per 20 mL and lidocaine hydrochloride 200 mg per 20 mL solution for injection vial) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001937","XYLOCARD (lidocaine hydrochloride 100 mg per 5 mL solution for injection ampoule) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001961","XYLOCAINE OINTMENT 5% (lidocaine 5 % cutaneous ointment) ASPEN PHARMACARE CANADA INC.","ADDED"
"00003875","DULCOLAX (bisacodyl 10 mg suppository) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","ADDED"
"00004596","IMURAN (azathioprine 50 mg oral tablet) ASPEN PHARMACARE CANADA INC.","ADDED"
"00004618","MYLERAN (busulfan 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.","ADDED"
"00004626","LEUKERAN (chlorambucil 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.","ADDED"
"00004715","ALKERAN (melphalan 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.","ADDED"
"00004723","PURINETHOL (mercaptopurine 50 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00005606","RITALIN 10MG (methylphenidate hydrochloride 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00005614","RITALIN 20MG (methylphenidate hydrochloride 20 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00009881","PAPAVERINE HYDROCHLORIDE INJECTION USP (papaverine hydrochloride 65 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ADDED"
"00010200","PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN LABS INC","ADDED"
"00010219","PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN LABS INC","ADDED"
"00010332","ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00010340","ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00010383","SINTROM (acenocoumarol 1 mg oral tablet) PALADIN LABS INC","ADDED"
"00010391","SINTROM (acenocoumarol 4 mg oral tablet) PALADIN LABS INC","ADDED"
"00010405","TEGRETOL 200MG (carbamazepine 200 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00012750","MATULANE (procarbazine (procarbazine hydrochloride) 50 mg oral capsule) LEADIANT BIOSCIENCES, INC","ADDED"
"00013285","VALIUM 5 TAB (diazepam 5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","ADDED"
"00013579","GRAVOL IM (dimenhydrinate 50 mg per 1 mL solution for injection vial) CHURCH & DWIGHT CANADA CORP","ADDED"
"00013609","GRAVOL SUPPOSITORIES (dimenhydrinate 100 mg suppository) CHURCH & DWIGHT CANADA CORP","ADDED"
"00013617","OVOL DROPS 40MG (simethicone 40 mg per mL oral drops) CHURCH & DWIGHT CANADA CORP","ADDED"
"00013668","ATASOL FORTE TAB 500MG (acetaminophen 500 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00013803","GRAVOL TABLETS (dimenhydrinate 50 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00015229","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC","ADDED"
"00015237","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC","ADDED"
"00015547","KEFLEX (cephalexin 125 mg per 5 mL oral suspension) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00015741","TAPAZOLE 5MG TABLET (methimazole 5 mg oral tablet) PALADIN LABS INC","ADDED"
"00016055","CUPRIMINE (penicillamine 250 mg oral capsule) BAUSCH HEALTH, CANADA INC.","ADDED"
"00020877","TEVA-AMPICILLIN (ampicillin (ampicillin trihydrate) 250 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"00020885","TEVA-AMPICILLIN (ampicillin (ampicillin trihydrate) 500 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"00021008","TEVA-QUININE (quinine sulfate 200 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"00021016","TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"00021172","NOVO-RYTHRO ESTOLATE SUSPENSION (erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension) TEVA CANADA LIMITED","ADDED"
"00021261","TEVA-CHLOROQUINE (chloroquine phosphate 250 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00021288","TEVA-PHENIRAM (chlorpheniramine maleate 4 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00021423","TEVA-DIMENATE (dimenhydrinate 50 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00021474","TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 25 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00021482","TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 50 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00021555","NOVO-NIDAZOL TAB 250MG (metronidazole 250 mg oral tablet) NOVOPHARM LIMITED","ADDED"
"00021695","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"00022381","CORTROSYN INJ 0.25MG (tetracosactide 0.25 mg per vial powder for solution for injection) AMPHASTAR PHARMACEUTICALS, INC.","ADDED"
"00022772","DILANTIN (phenytoin sodium 30 mg oral capsule) UPJOHN CANADA ULC","ADDED"
"00022780","DILANTIN (phenytoin sodium 100 mg oral capsule) UPJOHN CANADA ULC","ADDED"
"00022799","ZARONTIN CAP 250MG (ethosuximide 250 mg oral capsule) ERFA CANADA 2012 INC","ADDED"
"00023442","DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) UPJOHN CANADA ULC","ADDED"
"00023450","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) UPJOHN CANADA ULC","ADDED"
"00023485","ZARONTIN SYR 250MG/5ML (ethosuximide 250 mg per 5 mL syrup) ERFA CANADA 2012 INC","ADDED"
"00023698","DILANTIN INFATABS (phenytoin 50 mg oral tablet) UPJOHN CANADA ULC","ADDED"
"00023760","NORLUTATE (norethindrone acetate 5 mg oral tablet) ERFA CANADA 2012 INC","ADDED"
"00023949","THYROID TAB 30MG (thyroid 30 mg oral tablet) ERFA CANADA 2012 INC","ADDED"
"00023957","THYROID TAB 60MG (thyroid 60 mg oral tablet) ERFA CANADA 2012 INC","ADDED"
"00023965","THYROID TAB 125MG (thyroid 125 mg oral tablet) ERFA CANADA 2012 INC","ADDED"
"00024325","SINEQUAN (doxepin (doxepin hydrochloride) 10 mg oral capsule) AA PHARMA INC","ADDED"
"00024333","SINEQUAN (doxepin (doxepin hydrochloride) 25 mg oral capsule) AA PHARMA INC","ADDED"
"00024341","SINEQUAN (doxepin (doxepin hydrochloride) 50 mg oral capsule) AA PHARMA INC","ADDED"
"00024694","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC","ADDED"
"00026123","SENOKOT S (docusate sodium 50 mg and sennosides 8.6 mg oral tablet) PURDUE PHARMA","ADDED"
"00027243","DIHYDROERGOTAMINE (DHE), 1MG/ML (dihydroergotamine mesylate 1 mg per 1 mL solution for injection ampoule) STERIMAX INC","ADDED"
"00027944","VALISONE SCALP LOTION (betamethasone (betamethasone valerate) 0.1 % lotion) VALEANT CANADA LP/VALEANT CANADA S.E.C.","ADDED"
"00028096","CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC","ADDED"
"00028606","ALDACTONE 25 MG (spironolactone 25 mg oral tablet) PFIZER CANADA ULC","ADDED"
"00029149","FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH","ADDED"
"00029246","DELATESTRYL (testosterone enanthate 1000 mg per 5 mL solution for injection ampoule) BAUSCH HEALTH, CANADA INC.","ADDED"
"00030570","DALACIN C 150 MG (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) PFIZER CANADA ULC","ADDED"
"00030600","SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","ADDED"
"00030619","SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","ADDED"
"00030627","SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","ADDED"
"00030635","SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","ADDED"
"00030678","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection with diluent solution) PFIZER CANADA ULC","ADDED"
"00030708","BACITRACIN USP (bacitracin 50000 unit per vial powder for solution for injection) PFIZER CANADA ULC","ADDED"
"00030732","LINCOCIN (lincomycin (lincomycin hydrochloride) 600 mg per 2 mL solution for injection vial) PFIZER CANADA ULC","ADDED"
"00030759","DEPO-MEDROL 40 MG/ML (methylprednisolone acetate 40 mg per 1 mL suspension for injection vial) PFIZER CANADA ULC","ADDED"
