tm_code,tm_formal_name,tm_fr_description,tm_status,tm_status_effective_time
"8001541","trimeprazine","triméprazine","Active","19591231"
"8001758","dyclonine and menthol","dyclonine et menthol","Inactive","20170223"
"8001649","ethopropazine","éthopropazine","Active","19521231"
"8001981","trypan blue","bleu trypan","Active","20060906"
"8001152","netupitant and palonosetron","nétupitant et palonosétron","Active","20171120"
"8001135","ocrelizumab","ocrélizumab","Active","20170921"
"8001293","nadroparin","nadroparine","Active","19980205"
"8001965","tizanidine","tizanidine","Active","20041117"
"8000798","clioquinol and hydrocortisone","clioquinol et hydrocortisone","Active","19571231"
"8001815","interferon beta-1b","interféron bêta-1b","Active","19951231"
"8001358","cilastatin and imipenem","cilastatine et imipénem","Active","19871231"
"8001462","eslicarbazepine","eslicarbazépine","Active","20140807"
"8001288","memantine","mémantine","Active","20041216"
"8001665","liothyronine","liothyronine","Active","19931231"
"8001685","sulfinpyrazone","sulfinpyrazone","Active","19781231"
"8001946","succinylcholine","succinylcholine","Active","19521231"
"8001914","pheniramine and phenylephrine","phéniramine et phényléphrine","Active","19921231"
"8000925","brompheniramine and codeine and phenylephrine","bromphéniramine et codéine et phényléphrine","Active","20010905"
"8000828","acetaminophen and codeine and doxylamine","acétaminophène et codéine et doxylamine","Active","19821231"
"8001432","apraclonidine","apraclonidine","Active","19921231"
"8001567","anethole trithione","anéthole trithione","Active","20000802"
"8002062","pentosan polysulfate sodium","pentosane de polysulfate sodique","Active","19931231"
"8002138","mannitol","mannitol","Active","19631231"
"8000251","olopatadine","olopatadine","Active","19980209"
"8001173","betamethasone valerate and gentamicin","valérate de bétaméthasone et gentamicine","Active","19701231"
"8001802","idarubicin","idarubicine","Active","20141104"
"8000012","hydroxychloroquine","hydroxychloroquine","Active","19571231"
"8001918","rasburicase","rasburicase","Active","20040921"
"8001086","orciprenaline","orciprénaline","Active","19971121"
"8000086","propranolol","propranolol","Active","19801231"
"8001729","cisplatin","cisplatine","Active","19970509"
"8000786","pentazocine","pentazocine","Active","19701231"
"8001190","diphenhydramine and phenylephrine","diphenhydramine et phényléphrine","Active","20140805"
"8001593","bortezomib","bortézomib","Active","20050201"
