drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"13233","134","SOLUTION","ADDED","01944037"
"99408","85","TABLET","ADDED","02504685"
"99504","98","SPRAY","ADDED","02505657"
"99511","105","WIPE","ADDED","02505746"
"99413","134","SOLUTION","ADDED","02504731"
"99434","134","SOLUTION","ADDED","02504979"
"99474","151","TABLET (CHEWABLE)","ADDED","02505398"
"94980","85","TABLET","ADDED","02462060"
"99388","85","TABLET","ADDED","02504464"
"99447","56","POWDER FOR SOLUTION","ADDED","02505126"
"99437","85","TABLET","ADDED","02505002"
"99379","105","WIPE","ADDED","02504383"
"99402","43","OINTMENT","ADDED","02504626"
"99454","85","TABLET","ADDED","02505185"
"99413","98","SPRAY","ADDED","02504731"
"99497","85","TABLET","ADDED","02505606"
"76051","34","LIQUID","REMOVED","02274981"
"99476","105","WIPE","ADDED","02505428"
"99496","85","TABLET","ADDED","02505592"
"99530","134","SOLUTION","ADDED","02505940"
"99459","98","SPRAY","ADDED","02505231"
"99449","5","CAPSULE","ADDED","02505142"
"99529","134","SOLUTION","ADDED","02505932"
"99508","83","BOLUS","ADDED","02505703"
"99502","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02505649"
"99441","56","POWDER FOR SOLUTION","ADDED","02505045"
"13233","34","LIQUID","REMOVED","01944037"
"99516","85","TABLET","ADDED","02505789"
"76051","134","SOLUTION","ADDED","02274981"
"99435","85","TABLET","ADDED","02504987"
"99494","85","TABLET","ADDED","02505576"
"99481","134","SOLUTION","ADDED","02505479"
"99401","85","TABLET","ADDED","02504618"
"99404","56","POWDER FOR SOLUTION","ADDED","02504642"
"99459","134","SOLUTION","ADDED","02505231"
"99389","85","TABLET","ADDED","02504472"
"99431","105","WIPE","ADDED","02504944"
"99513","105","WIPE","ADDED","02505754"
"99433","134","SOLUTION","ADDED","02504960"
"99387","85","TABLET","ADDED","02504456"
"99405","105","WIPE","ADDED","02504650"
"99457","5","CAPSULE","ADDED","02505215"
"71516","34","LIQUID","REMOVED","02247273"
"99498","134","SOLUTION","ADDED","02505614"
"95999","134","SOLUTION","REMOVED","02470926"
"99499","134","SOLUTION","ADDED","02505622"
"99477","134","SOLUTION","ADDED","02505436"
"69698","134","SOLUTION","ADDED","02245599"
"91036","85","TABLET","ADDED","02425726"
"99400","85","TABLET","ADDED","02504596"
"99416","105","WIPE","ADDED","02504774"
"99418","56","POWDER FOR SOLUTION","ADDED","02504790"
"99472","85","TABLET","ADDED","02505363"
"99419","56","POWDER FOR SOLUTION","ADDED","02504804"
"99247","134","SOLUTION","ADDED","02502941"
"99420","56","POWDER FOR SOLUTION","ADDED","02504812"
"98678","36","LOTION","ADDED","02496909"
"99407","85","TABLET","ADDED","02504677"
"13249","34","LIQUID","REMOVED","01944029"
"13294","34","LIQUID","REMOVED","01944045"
"25876","34","LIQUID","REMOVED","02008459"
"99436","85","TABLET","ADDED","02504995"
"99463","134","SOLUTION","ADDED","02505274"
"95999","98","SPRAY","ADDED","02470926"
"99479","105","WIPE","ADDED","02505452"
"99448","134","SOLUTION","ADDED","02505134"
"99485","134","SOLUTION","ADDED","02505495"
"99257","134","SOLUTION","ADDED","02503069"
"99432","134","SOLUTION","ADDED","02504952"
"99510","105","WIPE","ADDED","02505738"
"99438","85","TABLET","ADDED","02505010"
"99415","105","WIPE","ADDED","02504766"
"99495","85","TABLET","ADDED","02505584"
"99429","56","POWDER FOR SOLUTION","ADDED","02504928"
"69698","34","LIQUID","REMOVED","02245599"
"99480","105","WIPE","ADDED","02505460"
"99464","134","SOLUTION","ADDED","02505282"
"99458","5","CAPSULE","ADDED","02505223"
"99403","9","CREAM","ADDED","02504634"
"99409","85","TABLET","ADDED","02504693"
"99468","98","SPRAY","ADDED","02505312"
"71516","134","SOLUTION","ADDED","02247273"
"99489","134","SOLUTION","ADDED","02505517"
"99452","126","POWDER FOR SUSPENSION","ADDED","02505177"
"99455","85","TABLET","ADDED","02505193"
"99439","105","WIPE","ADDED","02505029"
"25876","134","SOLUTION","ADDED","02008459"
"98886","114","GEL","ADDED","02499118"
"99386","85","TABLET","ADDED","02504448"
"98672","9","CREAM","ADDED","02496879"
"13294","134","SOLUTION","ADDED","01944045"
"99471","134","SOLUTION","ADDED","02505355"
"13249","134","SOLUTION","ADDED","01944029"
"98858","114","GEL","ADDED","02498847"
"99465","98","SPRAY","ADDED","02505320"
"99440","114","GEL","ADDED","02505037"
"99462","105","WIPE","ADDED","02505266"
"99473","85","TABLET","ADDED","02505371"
