mp_code,mp_fr_description,ntp_code,ntp_fr_description,tm_code,tm_fr_description
"48a36546c58bd57f864aae6c85443187","METHOTREXATE INJECTION BP (méthotrexate (méthotrexate sodique) 50 mg par 2 mL solution injectable fiole) ACCORD HEALTHCARE INC","9000612","méthotrexate (méthotrexate sodique) 50 mg par 2 mL solution injectable fiole","8000217","méthotrexate"
"7599c376fcf4cc597778b038b073cba7","METHOTREXATE INJECTION BP (méthotrexate (méthotrexate sodique) 500 mg par 20 mL solution injectable fiole) ACCORD HEALTHCARE INC","9000611","méthotrexate (méthotrexate sodique) 500 mg par 20 mL solution injectable fiole","8000217","méthotrexate"
"02487993","METHYLENE BLUE INJECTION (bleu de méthylène 50 mg par 5 mL solution injectable fiole) PHEBRA PTY LTD","9013579","bleu de méthylène 50 mg par 5 mL solution injectable fiole","8002140","bleu de méthylène"
"02495589","OSNUVO (tériparatide 600 mcg par 2,4 mL solution injectable cartouche) AVIR PHARMA INC.","c31f77bd1b1aca2add90cfc9284d2d1a","tériparatide 600 mcg par 2,4 mL solution injectable cartouche","8001688","tériparatide"
"02496003","TARO-TESTOSTERONE CYPIONATE INJECTION (cypionate de testostérone 1000 mg par 10 mL solution injectable fiole) TARO PHARMACEUTICALS INC","9000010","cypionate de testostérone 1000 mg par 10 mL solution injectable fiole","8000006","testostérone"
"64f6e3f354f4b51c240e8c768ae4eada","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodique) 500 mg par 10 mL solution injectable fiole) AURO PHARMA INC","9000800","acyclovir (acyclovir sodique) 500 mg par 10 mL solution injectable fiole","8000095","acyclovir"
"42360c9e9353536abac6234be3417d9d","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodique) 1000 mg par 20 mL solution injectable fiole) AURO PHARMA INC","9000799","acyclovir (acyclovir sodique) 1000 mg par 20 mL solution injectable fiole","8000095","acyclovir"
"02498022","MIDAZOLAM INJECTION USP (midazolam 100 mg par 100 mL solution injectable sac) STERINOVA INC.","1f81fd71a3ecf0015805c4953521c458","midazolam 100 mg par 100 mL solution injectable sac","8001107","midazolam"
"02501783","SUCCINYLCHOLINE CHLORIDE INJECTION, USP (chlorure de succinylcholine 200 mg par 10 mL solution injectable fiole) DR REDDY'S LABORATORIES LTD","9013350","chlorure de succinylcholine 200 mg par 10 mL solution injectable fiole","8001946","succinylcholine"
"02496143","FENTANYL INJECTION BP (fentanyl (citrate de fentanyl) 100 mcg par 2 mL solution injectable ampoule) STERIMAX INC","9000321","fentanyl (citrate de fentanyl) 100 mcg par 2 mL solution injectable ampoule","8000127","fentanyl"
"02458454","EMERADE (épinéphrine (bitartrate d'épinéphrine) 0,5 mg par 0,5 mL solution injectable seringue) BAUSCH HEALTH, CANADA INC.","9014378","épinéphrine (bitartrate d'épinéphrine) 0,5 mg par 0,5 mL solution injectable seringue","8000003","épinéphrine"
