mp_code,mp_formal_name,mp_fr_description,changes
"00015741","TAPAZOLE (methimazole 5 mg oral tablet) PALADIN LABS INC.","TAPAZOLE (méthimazole 5 mg comprimé oral) PALADIN LABS INC.","Health_Canada_product_name: ""TAPAZOLE 5MG TABLET"" -> ""TAPAZOLE""
mp_formal_name: ""TAPAZOLE 5MG TABLET (methimazole 5 mg oral tablet) PALADIN LABS INC."" -> ""TAPAZOLE (methimazole 5 mg oral tablet) PALADIN LABS INC.""
mp_fr_description: ""TAPAZOLE 5MG TABLET (méthimazole 5 mg comprimé oral) PALADIN LABS INC."" -> ""TAPAZOLE (méthimazole 5 mg comprimé oral) PALADIN LABS INC."""
"00029149","FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH","FUNGIZONE (amphotéricine B 50 mg par fiole poudre pour solution injectable) CHEPLAPHARM ARZNEIMITTEL GMBH","ADDED"
"00037869","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (chlorure de potassium 149 mg par mL solution injectable) PFIZER CANADA ULC","ADDED"
"00038083","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 45 mmol per 50 mL solution for injection syringe) PFIZER CANADA ULC","SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 45 mmol par 50 mL solution injectable seringue) PFIZER CANADA ULC","ADDED"
"00156876","PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) PRO DOC LIMITEE","PREDNISONE TAB 5MG (prednisone 5 mg comprimé oral) PRO DOC LIMITEE","DELETED"
"00261971","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 5 mmol per 10 mL solution for injection syringe) PFIZER CANADA ULC","SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 5 mmol par 10 mL solution injectable seringue) PFIZER CANADA ULC","ADDED"
"00261998","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC","SODIUM BICARBONATE INJECTION USP (bicarbonate de sodium 84 mg par mL solution injectable) PFIZER CANADA ULC","ADDED"
"00266507","ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD","ADASEPT LIQ 0.5% (triclosan 0,5 % liquide cutané) ODAN LABORATORIES LTD","ADDED"
"00268313","SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) BAUSCH HEALTH, CANADA INC.","SODIUM EDECRIN (acide éthacrynique (éthacrynate sodique) 50 mg par fiole poudre pour solution injectable) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) BAUSCH HEALTH, CANADA INC.""
mp_fr_description: ""SODIUM EDECRIN (acide éthacrynique (éthacrynate sodique) 50 mg par fiole poudre pour solution injectable) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""SODIUM EDECRIN (acide éthacrynique (éthacrynate sodique) 50 mg par fiole poudre pour solution injectable) BAUSCH HEALTH, CANADA INC.""
mp_status_effective_time: ""20200730"" -> ""20201222"""
"00328219","SINEMET 250/25 (carbidopa 25 mg and levodopa 250 mg oral tablet) MERCK CANADA INC","SINEMET 250/25 (carbidopa 25 mg et lévodopa 250 mg comprimé oral) MERCK CANADA INC","DELETED"
"00373435","DETTOL (chloroxylenol 4.8 % cutaneous solution) RB HEALTH (CANADA) INC.","DETTOL (chloroxylénol 4,8 % solution pour application cutanée) RB HEALTH (CANADA) INC.","ADDED"
"00402206","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (potassium chloride 20 meq per 10 mL solution for injection) OMEGA LABORATORIES LTD","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (chlorure de potassium 20 meq par 10 mL solution injectable) OMEGA LABORATORIES LTD","ADDED"
"00438898","FORMULE C34 (piperazine 100 mg per mL oral liquid) HERBAGES NATURBEC LTÉE.","FORMULE C34 (pipérazine 100 mg par mL liquide oral) HERBAGES NATURBEC LTÉE.","ADDED"
"00455881","LIORESAL TAB 10MG (baclofen 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","LIORESAL TAB 10MG (baclofène 10 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC","DELETED"
"00469203","FORMULE L2 (antipyrine 10 mg per mL and sodium salicylate 56 mg per mL oral liquid) HERBAGES NATURBEC LTÉE.","FORMULE L2 (antipyrine 10 mg par mL et salicylate de sodium 56 mg par mL liquide oral) HERBAGES NATURBEC LTÉE.","ADDED"
"00569771","ZOVIRAX (acyclovir 5 % cutaneous ointment) BAUSCH HEALTH, CANADA INC.","ZOVIRAX (acyclovir 5 % pommade cutanée) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""ZOVIRAX (acyclovir 5 % cutaneous ointment) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""ZOVIRAX (acyclovir 5 % cutaneous ointment) BAUSCH HEALTH, CANADA INC.""
mp_fr_description: ""ZOVIRAX (acyclovir 5 % pommade cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""ZOVIRAX (acyclovir 5 % pommade cutanée) BAUSCH HEALTH, CANADA INC."""
"00637734","PERSANTINE (dipyridamole 50 mg per 10 mL solution for injection vial) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE","PERSANTINE (dipyridamole 50 mg par 10 mL solution injectable fiole) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE","mp_formal_name: ""PERSANTINE (dipyridamole 50 mg per 10 mL solution for injection vial) BOEHRINGER INGELHEIM (CANADA) LTD LTEE"" -> ""PERSANTINE (dipyridamole 50 mg per 10 mL solution for injection vial) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE""
mp_fr_description: ""PERSANTINE (dipyridamole 50 mg par 10 mL solution injectable fiole) BOEHRINGER INGELHEIM (CANADA) LTD LTEE"" -> ""PERSANTINE (dipyridamole 50 mg par 10 mL solution injectable fiole) GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE"""
"00674915","ANTIMICROBIAL 0.3% TRICLOSAN / ANTIMICROBIEN 0.3% TRICLOSAN (triclosan 0.3 % lotion) AVMOR LTD","ANTIMICROBIAL 0.3% TRICLOSAN / ANTIMICROBIEN 0.3% TRICLOSAN (triclosan 0,3 % lotion) AVMOR LTD","ADDED"
"00691623","BICARBONATE CONCENTRATE D17000 (sodium bicarbonate 81.3 g per l solution for haemodialysis) BAXTER CORPORATION","BICARBONATE CONCENTRATE D17000 (bicarbonate de sodium 81,3 g par l solution pour hémodialyse) BAXTER CORPORATION","ADDED"
"00708232","FLORAFREE GEL 0.3% (triclosan 0.3 % cutaneous gel) DEB CANADA","FLORAFREE GEL 0.3% (triclosan 0,3 % gel cutané) DEB CANADA","ADDED"
"00741515","WHITE PETROLEUM JELLY USP OINTMENT (petrolatum 100 % cutaneous ointment) CANADIAN CUSTOM PACKAGING COMPANY","WHITE PETROLEUM JELLY USP OINTMENT (pétrolatum 100 % pommade cutanée) CANADIAN CUSTOM PACKAGING COMPANY","ADDED"
"00745790","WHITE PETROLEUM JELLY 100% BP (petrolatum 100 % cutaneous cream) H.J. SUTTON INDUSTRIES LTD.","WHITE PETROLEUM JELLY 100% BP (pétrolatum 100 % crème cutanée) H.J. SUTTON INDUSTRIES LTD.","ADDED"
"00774995","800 SODIUM BICARBONATE POWDER (sodium bicarbonate 650 g per 8 l powder for concentrate for solution for haemodialysis) BAXTER CORPORATION","800 SODIUM BICARBONATE POWDER (bicarbonate de sodium 650 g par 8 l poudre pour solution à diluer pour solution pour hémodialyse) BAXTER CORPORATION","ADDED"
"00779237","BACTI-STAT 0.3% (triclosan 0.3 % cutaneous liquid) ECOLAB CO","BACTI-STAT 0.3% (triclosan 0,3 % liquide cutané) ECOLAB CO","ADDED"
"00790516","PETROLATUM BLANC ONT USP (petrolatum 100 % cutaneous ointment) LABORATOIRE ATLAS INC","PETROLATUM BLANC ONT USP (pétrolatum 100 % pommade cutanée) LABORATOIRE ATLAS INC","ADDED"
"00804789","POTASSIUM PHOSPHATES (phosphorus (potassium phosphate dibasic and potassium phosphate monobasic) 30 mmol per 10 mL and potassium (potassium phosphate dibasic and potassium phosphate monobasic) 44 mmol per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","POTASSIUM PHOSPHATES (phosphore (phosphate de potassium dibasique et phosphate de potassium monobasique) 30 mmol par 10 mL et potassium (phosphate de potassium dibasique et phosphate de potassium monobasique) 44 mmol par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","ADDED"
