mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name
"02494272","TARO-BUDESONIDE (budesonide 0.5 mg per 2 mL nebulizer suspension unit dose vial) TARO PHARMACEUTICALS INC","NA","TARO-BUDESONIDE (budésonide 0,5 mg par 2 mL suspension pour inhalation par nébuliseur fiole unidose) TARO PHARMACEUTICALS INC","Active","20210604","DIN","02494272","TARO-BUDESONIDE"
"02494280","TARO-BUDESONIDE (budesonide 1 mg per 2 mL nebulizer suspension unit dose vial) TARO PHARMACEUTICALS INC","NA","TARO-BUDESONIDE (budésonide 1 mg par 2 mL suspension pour inhalation par nébuliseur fiole unidose) TARO PHARMACEUTICALS INC","Active","20210604","DIN","02494280","TARO-BUDESONIDE"
"02522454","COMIRNATY (tozinameran 10 mcg per 0.2 mL suspension for injection 2 mL vial) BIONTECH MANUFACTURING GMBH","NA","COMIRNATY (tozinaméran 10 mcg par 0,2 mL suspension injectable 2 mL fiole) BIONTECH MANUFACTURING GMBH","Active","20211122","DIN","02522454","COMIRNATY"
"77701099","HUMIRA (adalimumab 40 mg per 0.8 mL solution for injection pen) ABBVIE CORPORATION","NA","HUMIRA (adalimumab 40 mg par 0,8 mL solution injectable stylo) ABBVIE CORPORATION","Active","20040924","CCDD","02258595","HUMIRA"
"77701100","HUMIRA (adalimumab 40 mg per 0.8 mL solution for injection syringe) ABBVIE CORPORATION","NA","HUMIRA (adalimumab 40 mg par 0,8 mL solution injectable seringue) ABBVIE CORPORATION","Active","20040924","CCDD","02258595","HUMIRA"
"02470667","PERGOVERIS (follitropin alfa 900 unit per 1.44 mL and lutropin alfa 450 unit per 1.44 mL solution for injection pen) EMD SERONO, A DIVISION OF EMD INC., CANADA","NA","PERGOVERIS (follitropine alfa 900 unité par 1,44 mL et lutropine alfa 450 unité par 1,44 mL solution injectable stylo) EMD SERONO, A DIVISION OF EMD INC., CANADA","Active","20211029","DIN","02470667","PERGOVERIS"
"02470659","PERGOVERIS (follitropin alfa 450 unit per 0.72 mL and lutropin alfa 225 unit per 0.72 mL solution for injection pen) EMD SERONO, A DIVISION OF EMD INC., CANADA","NA","PERGOVERIS (follitropine alfa 450 unité par 0,72 mL et lutropine alfa 225 unité par 0,72 mL solution injectable stylo) EMD SERONO, A DIVISION OF EMD INC., CANADA","Active","20211029","DIN","02470659","PERGOVERIS"
"02470640","PERGOVERIS (follitropin alfa 300 unit per 0.48 mL and lutropin alfa 150 unit per 0.48 mL solution for injection pen) EMD SERONO, A DIVISION OF EMD INC., CANADA","NA","PERGOVERIS (follitropine alfa 300 unité par 0,48 mL et lutropine alfa 150 unité par 0,48 mL solution injectable stylo) EMD SERONO, A DIVISION OF EMD INC., CANADA","Active","20211021","DIN","02470640","PERGOVERIS"
"02520737","BAMBEVI (bevacizumab 400 mg per 16 mL solution for injection vial) APOTEX INC","NA","BAMBEVI (bévacizumab 400 mg par 16 mL solution injectable fiole) APOTEX INC","Active","20211109","DIN","02520737","BAMBEVI"
"02520729","BAMBEVI (bevacizumab 100 mg per 4 mL solution for injection vial) APOTEX INC","NA","BAMBEVI (bévacizumab 100 mg par 4 mL solution injectable fiole) APOTEX INC","Active","20211109","DIN","02520729","BAMBEVI"
"02518341","SOTROVIMAB FOR INJECTION (sotrovimab 500 mg per 8 mL solution for injection vial) GLAXOSMITHKLINE INC","NA","SOTROVIMAB FOR INJECTION (sotrovimab 500 mg par 8 mL solution injectable fiole) GLAXOSMITHKLINE INC","Active","20211008","DIN","02518341","SOTROVIMAB FOR INJECTION"
"02491524","AURO-ONDANSETRON INJECTION (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) AURO PHARMA INC","NA","AURO-ONDANSETRON INJECTION (ondansétron (chlorhydrate d'ondansétron dihydraté) 4 mg par 2 mL solution injectable fiole) AURO PHARMA INC","Active","20211007","DIN","02491524","AURO-ONDANSETRON INJECTION"
"02513579","BIPAZEN (desmopressin acetate 4 mcg per 1 mL solution for injection ampoule) KVR PHARMACEUTICALS INC.","NA","BIPAZEN (acétate de desmopressine 4 mcg par 1 mL solution injectable ampoule) KVR PHARMACEUTICALS INC.","Active","20211013","DIN","02513579","BIPAZEN"
"02512424","BUPIVACAINE HYDROCHLORIDE IN DEXTROSE INJECTION USP (bupivacaine hydrochloride 15 mg per 2 mL solution for injection vial) OMEGA LABORATORIES LIMITED","NA","BUPIVACAINE HYDROCHLORIDE IN DEXTROSE INJECTION USP (chlorhydrate de bupivacaïne 15 mg par 2 mL solution injectable fiole) OMEGA LABORATORIES LIMITED","Active","20211002","DIN","02512424","BUPIVACAINE HYDROCHLORIDE IN DEXTROSE INJECTION USP"
