tm_code,tm_formal_name,tm_fr_description,changes
8001757,doxorubicin,doxorubicine,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8002453,davesomeran and elasomeran,davésoméran et élasoméran,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8001976,triclosan,triclosan,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
b88a4307e42b73ccbe5093ff94a00ddb,mavacamten,mavacamten,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
ecaecfe0e3575e964d3e0eacb7e687b0,selumetinib,sélumétinib,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8001344,brompheniramine and dextromethorphan and phenylephrine,bromphéniramine et dextrométhorphane et phényléphrine,"tm_status_effective_time: ""20010725"" -> ""20100423"""
8001465,exenatide,exénatide,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20110531"" -> ""20220401"""
8001955,tesamorelin,tésamoréline,DELETED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8001098,asparaginase,asparaginase,ADDED
8001691,allantoin and chloroxylenol,allantoïne et chloroxylénol,DELETED
8002278,coagulation factor IX human and coagulation factor ii (human) and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur IX de coagulation humain et facteur II de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8000940,alcohol anhydrous and butanediol and propyl alcohol and propylene glycol,alcool anhydre et butanédiol et alcool propylique et propylène glycol,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002088,acetic acid and sodium acetate,acide acétique et acétate de sodium,ADDED
8000925,brompheniramine and codeine and phenylephrine,bromphéniramine et codéine et phényléphrine,DELETED
8001659,glycopyrrolate,glycopyrrolate,DELETED
8001878,sodium iodide,iodure de sodium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8000922,brompheniramine and phenylephrine,bromphéniramine et phényléphrine,"tm_status_effective_time: ""20010723"" -> ""20110423"""
