drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"102380","5900","ADDED","approved","METHOTREXATE (METHOTREXATE DISODIUM)","2.5","MG","02534916"
"100963","22238","ADDED","approved","POMALIDOMIDE","2","MG","02520435"
"102397","197","ADDED","approved","BENZALKONIUM CHLORIDE","5","%","02535092"
"102388","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","50","MG","02534991"
"102425","11485","ADDED","approved","DONEPEZIL HYDROCHLORIDE","10","MG","02535394"
"102435","11764","ADDED","approved","MELOXICAM","2.5","MG","02535505"
"102454","11171","ADDED","approved","VITAMIN B2 (RIBOFLAVIN)","3.4","MG","02535718"
"102360","5325","ADDED","approved","LEVOTHYROXINE SODIUM","300","MCG","02534703"
"101904","662","ADDED","approved","PYRITHIONE ZINC","1","%","02529807"
"102433","12759","ADDED","approved","VALGANCICLOVIR (VALGANCICLOVIR HYDROCHLORIDE)","50","MG","02535483"
"102454","11169","ADDED","approved","VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE)","10","MG","02535718"
"99578","22238","ADDED","active","POMALIDOMIDE","3","MG","02506416"
"102455","197","ADDED","approved","BENZALKONIUM CHLORIDE","2.69","%","02535726"
"102454","701","ADDED","approved","VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE)","13.8","MG","02535718"
"102399","20430","ADDED","approved","DESVENLAFAXINE","100","MG","02535114"
"102417","11104","ADDED","approved","ONDANSETRON","4","MG","02535319"
"102450","1201","ADDED","approved","PRAVASTATIN SODIUM","10","MG","02535653"
"102383","12209","ADDED","approved","MIRTAZAPINE","45","MG","02534940"
"102414","1755","ADDED","approved","CARBOPLATIN","10","MG","02535289"
"102458","270","ADDED","approved","ACETAMINOPHEN","1000","MG","02535750"
"102421","2493","ADDED","approved","BUPIVACAINE HYDROCHLORIDE","15","MG","02535351"
"102381","12209","ADDED","approved","MIRTAZAPINE","15","MG","02534924"
"102386","2474","ADDED","approved","NALOXONE HYDROCHLORIDE","4","MG","02534975"
"101522","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","10.53","%","02526107"
"102454","7218","ADDED","approved","IODINE (POTASSIUM IODIDE)","0.15","MG","02535718"
"102454","331","ADDED","approved","ZINC (ZINC OXIDE)","15","MG","02535718"
"102359","5325","ADDED","approved","LEVOTHYROXINE SODIUM","100","MCG","02534681"
"99356","22238","ADDED","approved","POMALIDOMIDE","4","MG","02504111"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"102454","5015","ADDED","approved","NICOTINAMIDE","20","MG","02535718"
"102379","10303","ADDED","approved","ACETYLCYSTEINE","200","MG","02534908"
"102377","1204","ADDED","approved","FLUCONAZOLE","50","MG","02534886"
"102419","12371","ADDED","approved","ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","02535335"
"102454","582","ADDED","approved","COPPER (COPPER GLUCONATE)","2","MG","02535718"
"102431","11253","ADDED","approved","PYRANTEL (PYRANTEL PAMOATE)","125","MG","02535467"
"102385","2474","ADDED","approved","NALOXONE HYDROCHLORIDE","0.4","MG","02534967"
"100643","22238","ADDED","approved","POMALIDOMIDE","4","MG","02517094"
"102387","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","25","MG","02534983"
"102454","11079","ADDED","approved","BETA-CAROTENE","1.6","MG","02535718"
"102456","270","ADDED","approved","ACETAMINOPHEN","100","MG","02535734"
"102395","13356","ADDED","approved","ADALIMUMAB","80","MG","02535076"
"102452","1201","ADDED","approved","PRAVASTATIN SODIUM","40","MG","02535688"
"102384","626","ADDED","approved","CHLORHEXIDINE GLUCONATE","4","%","02534959"
"102449","11190","ADDED","approved","KETAMINE (KETAMINE HYDROCHLORIDE)","50","MG","02535645"
"100962","22238","ADDED","approved","POMALIDOMIDE","1","MG","02520427"
"102418","11104","ADDED","approved","ONDANSETRON","8","MG","02535327"
"102378","1204","ADDED","approved","FLUCONAZOLE","100","MG","02534894"
"102373","11458","ADDED","approved","LATANOPROST","50","MCG","02534835"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"102374","1966","ADDED","approved","NIFEDIPINE","30","MG","02534843"
"102455","2232","ADDED","approved","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","4.03","%","02535726"
"100639","22238","ADDED","approved","POMALIDOMIDE","1","MG","02517051"
"102454","4991","ADDED","approved","FOLIC ACID","1.1","MG","02535718"
"101304","22238","ADDED","approved","POMALIDOMIDE","3","MG","02524007"
"102454","781","ADDED","approved","VITAMIN B12 (CYANOCOBALAMIN)","12","MCG","02535718"
"102457","270","ADDED","approved","ACETAMINOPHEN","500","MG","02535742"
"102427","7581","ADDED","approved","BUDESONIDE","0.25","MG","02535416"
"102447","768","ADDED","approved","FINASTERIDE","5","MG","02535637"
"102396","13356","ADDED","approved","ADALIMUMAB","80","MG","02535084"
"102434","11764","ADDED","approved","MELOXICAM","1","MG","02535491"
"101522","197","ADDED","approved","BENZALKONIUM CHLORIDE","7.02","%","02526107"
"102389","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","100","MG","02535009"
"102454","4803","ADDED","approved","CALCIUM (CALCIUM CARBONATE)","300","MG","02535718"
"99576","22238","ADDED","active","POMALIDOMIDE","1","MG","02506394"
"102413","470","ADDED","approved","GABAPENTIN","400","MG","02535262"
"101305","22238","ADDED","approved","POMALIDOMIDE","4","MG","02524015"
"101302","22238","ADDED","approved","POMALIDOMIDE","1","MG","02523973"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"102454","645","ADDED","approved","ASCORBIC ACID (ASCORBIC ACID)","120","MG","02535718"
"99577","22238","ADDED","active","POMALIDOMIDE","2","MG","02506408"
"99353","22238","ADDED","approved","POMALIDOMIDE","1","MG","02504073"
"100965","22238","ADDED","approved","POMALIDOMIDE","4","MG","02520451"
"99355","22238","ADDED","approved","POMALIDOMIDE","3","MG","02504103"
"102397","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","5","%","02535092"
"99354","22238","ADDED","approved","POMALIDOMIDE","2","MG","02504081"
"102451","1201","ADDED","approved","PRAVASTATIN SODIUM","20","MG","02535661"
"102382","12209","ADDED","approved","MIRTAZAPINE","30","MG","02534932"
"102454","5000","ADDED","approved","D-PANTOTHENIC ACID (CALCIUM PANTOTHENATE)","5","MG","02535718"
"102432","13350","ADDED","approved","FROVATRIPTAN (FROVATRIPTAN SUCCINATE)","2.5","MG","02535475"
"99579","22238","ADDED","active","POMALIDOMIDE","4","MG","02506424"
"102454","4922","ADDED","approved","VITAMIN D3 (CHOLECALCIFEROL)","600","UNIT","02535718"
"102398","20430","ADDED","approved","DESVENLAFAXINE","50","MG","02535106"
"102454","309","ADDED","approved","IRON (FERROUS FUMARATE)","35","MG","02535718"
"102454","11170","ADDED","approved","VITAMIN B1 (THIAMINE MONONITRATE)","3","MG","02535718"
"102454","6487","ADDED","approved","MAGNESIUM (MAGNESIUM OXIDE)","50","MG","02535718"
"102463","9880","ADDED","approved","METRONIDAZOLE","250","MG","02535807"
"100964","22238","ADDED","approved","POMALIDOMIDE","3","MG","02520443"
"102424","11485","ADDED","approved","DONEPEZIL HYDROCHLORIDE","5","MG","02535386"
"101926","662","ADDED","approved","PYRITHIONE ZINC","1","%","02530058"
"100642","22238","ADDED","approved","POMALIDOMIDE","3","MG","02517086"
"100641","22238","ADDED","approved","POMALIDOMIDE","2","MG","02517078"
"101303","22238","ADDED","approved","POMALIDOMIDE","2","MG","02523981"
"102411","470","ADDED","approved","GABAPENTIN","100","MG","02535246"
"101946","10021","ADDED","approved","CITRIC ACID","5","%","02530279"
"102412","470","ADDED","approved","GABAPENTIN","300","MG","02535254"
