drug_code,mp_code,mp_formal_name,changes
933,00029149,FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH,ADDED
1036,00022772,DILANTIN (phenytoin sodium 30 mg oral capsule) BGP PHARMA ULC,"mp_formal_name: ""DILANTIN (phenytoin sodium 30 mg oral capsule) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""DILANTIN (phenytoin sodium 30 mg oral capsule) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
1037,00022780,DILANTIN (phenytoin sodium 100 mg oral capsule) BGP PHARMA ULC,"mp_formal_name: ""DILANTIN (phenytoin sodium 100 mg oral capsule) U̲P̲J̲O̲H̲N̲ ̲C̲A̲N̲A̲D̲A ULC"" -> ""DILANTIN (phenytoin sodium 100 mg oral capsule) B̲G̲P̲ ̲P̲H̲A̲R̲M̲A ULC"""
1668,00266507,ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD,ADDED
1905,00261998,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC,ADDED
2527,00037869,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC,ADDED
3394,00402206,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE (potassium chloride 20 meq per 10 mL solution for injection) OMEGA LABORATORIES LIMITED,ADDED
3837,00038083,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 45 mmol per 50 mL solution for injection syringe) PFIZER CANADA ULC,ADDED
4037,00510335,TARGEL SA (coal tar 10 % and salicylic acid 3 % cutaneous gel) ODAN LABORATORIES LTD,DELETED
4544,00507415,DAN-GARD (pyrithione zinc 2 % shampoo) BAUSCH & LOMB INC,"mp_formal_name: ""DAN-GARD (pyrithione zinc 2 % shampoo) BAUSCH H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"" -> ""DAN-GARD (pyrithione zinc 2 % shampoo) BAUSCH &̲ ̲L̲O̲M̲B̲ ̲I̲N̲C̲"""
5121,00579408,TEARS PLUS (polyvinyl alcohol 1.4 % ophthalmic drops) ABBVIE CORPORATION,"mp_formal_name: ""TEARS PLUS ̲1̲.̲4̲%̲ (polyvinyl alcohol 1.4 % ophthalmic drops) AL̲L̲E̲R̲G̲A̲N̲ ̲I̲N̲C̲"" -> ""TEARS PLUS (polyvinyl alcohol 1.4 % ophthalmic drops) AB̲B̲V̲I̲E̲ ̲C̲O̲R̲P̲O̲R̲A̲T̲I̲O̲N̲"""
6775,00691623,BICARBONATE CONCENTRATE D17000 (sodium bicarbonate 81.3 g per l solution for haemodialysis) BAXTER CORPORATION,ADDED
7152,00623377,EURAX CREAM 10% (crotamiton 10 % cutaneous cream) COLUMBIA LABORATORIES CANADA INC,DELETED
8350,00261971,SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 5 mmol per 10 mL solution for injection syringe) PFIZER CANADA ULC,ADDED
10509,00804789,POTASSIUM PHOSPHATES (phosphorus (potassium phosphate dibasic and potassium phosphate monobasic) 30 mmol per 10 mL and potassium (potassium phosphate dibasic and potassium phosphate monobasic) 44 mmol per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,ADDED
