ntp_code,ntp_formal_name,ntp_fr_description,changes
017e73cdce4e84bc902ff98f4da8fddd,teclistamab 153 mg per 1.7 mL solution for injection,"téclistamab 153 mg par 1,7 mL solution injectable",ADDED
061b3081034e7f94dd2ab4408278f3ba,clevidipine 25 mg per 50 mL emulsion for injection vial,clévidipine 25 mg par 50 mL émulsion injectable fiole,ADDED
25dd545bf5f5320aa202ca90625e6ad6,rocuronium bromide 10 mg per mL solution for injection,bromure de rocuronium 10 mg par mL solution injectable,ADDED
407a7cf3931b18ac850c0af846da1de3,clevidipine 50 mg per 100 mL emulsion for injection vial,clévidipine 50 mg par 100 mL émulsion injectable fiole,ADDED
6201ab7bf1ba676386e5c9b033bd9c70,teclistamab 30 mg per 3 mL solution for injection,téclistamab 30 mg par 3 mL solution injectable,ADDED
677a704fc7c921a50396d64486e42c9e,andusomeran 0.1 mg per mL dispersion for injection,"andusoméran 0,1 mg par mL dispersion injectable",ADDED
7cb5d45427f9c520c562a1f2beb49f8e,tremelimumab 20 mg per mL solution for injection,trémélimumab 20 mg par mL solution injectable,ADDED
9000870,methotrexate 2.5 mg oral tablet,"méthotrexate 2,5 mg comprimé oral","ntp_status_effective_time: ""19961115"" -> ""19990917"""
9001515,lidocaine hydrochloride 20 mg per mL cutaneous gel,chlorhydrate de lidocaïne 20 mg par mL gel cutané,ADDED
9001523,potassium chloride 149 mg per mL solution for injection,chlorure de potassium 149 mg par mL solution injectable,ADDED
9001709,triclosan 0.5 % cutaneous liquid,"triclosan 0,5 % liquide cutané",ADDED
9001725,sodium bicarbonate 84 mg per mL solution for injection,bicarbonate de sodium 84 mg par mL solution injectable,ADDED
9001819,potassium chloride 20 meq per 10 mL solution for injection,chlorure de potassium 20 meq par 10 mL solution injectable,ADDED
9001867,benzalkonium chloride 0.1 % cutaneous liquid,"chlorure de benzalkonium 0,1 % liquide cutané",ADDED
9002030,potassium phosphate dibasic 236 mg per mL and potassium phosphate monobasic 224 mg per mL solution for injection,phosphate de potassium dibasique 236 mg par mL et phosphate de potassium monobasique 224 mg par mL solution injectable,ADDED
9002087,sodium bicarbonate 81.3 g per l solution for haemodialysis,"bicarbonate de sodium 81,3 g par l solution pour hémodialyse",ADDED
9002113,sodium bicarbonate 42 mg per mL solution for injection,bicarbonate de sodium 42 mg par mL solution injectable,ADDED
9002180,chloroxylenol 0.6 % cutaneous liquid,"chloroxylénol 0,6 % liquide cutané",ADDED
9002321,potassium chloride 251.6 g per l solution for haemodialysis,"chlorure de potassium 251,6 g par l solution pour hémodialyse",ADDED
9002392,triclosan 0.3 % cutaneous liquid,"triclosan 0,3 % liquide cutané",ADDED
9002781,desmopressin acetate 0.1 mg oral tablet,"acétate de desmopressine 0,1 mg comprimé oral","ntp_status_effective_time: ""19951231"" -> ""20070131"""
9002902,sodium acetate 328 mg per mL solution for injection,acétate de sodium 328 mg par mL solution injectable,ADDED
9002961,desonide 0.05 % cutaneous cream,"désonide 0,05 % crème cutanée","ntp_status_effective_time: ""19961111"" -> ""19970114"""
9003031,magnesium chloride 20.5 g per 4.5 l powder for concentrate for solution for haemodialysis,"chlorure de magnésium 20,5 g par 4,5 l poudre pour solution à diluer pour solution pour hémodialyse",ADDED
9003081,tazarotene 0.1 % cutaneous gel,"tazarotène 0,1 % gel cutané",DELETED
9003097,doxorubicin hydrochloride 150 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 150 mg par fiole poudre pour solution injectable,ADDED
9003126,doxorubicin hydrochloride 50 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 50 mg par fiole poudre pour solution injectable,ADDED
9003231,doxorubicin hydrochloride 10 mg per vial powder for solution for injection,chlorhydrate de doxorubicine 10 mg par fiole poudre pour solution injectable,ADDED
9003378,benzalkonium chloride 0.13 % cutaneous liquid,"chlorure de benzalkonium 0,13 % liquide cutané",ADDED
9003511,chloroxylenol 0.3 % cutaneous liquid,"chloroxylénol 0,3 % liquide cutané",ADDED
9003565,chloroxylenol 1 % cutaneous liquid,chloroxylénol 1 % liquide cutané,ADDED
9003605,chloroxylenol 0.5 % cutaneous solution,"chloroxylénol 0,5 % solution pour application cutanée",ADDED
9003657,follitropin beta 833 unit per mL solution for injection,follitropine bêta 833 unité par mL solution injectable,ADDED
9003780,ursodiol 500 mg oral tablet,ursodiol 500 mg comprimé oral,"ntp_status_effective_time: ""20030203"" -> ""20060501"""
