drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"103505","56","ORAL","ADDED","02546345"
"103489","65","SUBCUTANEOUS","ADDED","02546175"
"103482","56","ORAL","ADDED","02546108"
"103546","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546787"
"103508","94","DISINFECTANT (Institutional/Industrial)","ADDED","02546388"
"103507","56","ORAL","ADDED","02546361"
"103476","56","ORAL","ADDED","02546035"
"103468","56","ORAL","ADDED","02545969"
"103518","56","ORAL","ADDED","02546493"
"103444","56","ORAL","ADDED","02545691"
"103520","56","ORAL","ADDED","02546515"
"103508","2","DISINFECTANT (Barn)","ADDED","02546388"
"103544","93","DISINFECTANT (Domestic)","ADDED","02546760"
"103546","94","DISINFECTANT (Institutional/Industrial)","ADDED","02546787"
"103319","22","INTRAMUSCULAR","ADDED","02544628"
"103508","93","DISINFECTANT (Domestic)","ADDED","02546388"
"103527","65","SUBCUTANEOUS","ADDED","02546590"
"101727","56","ORAL","ADDED","02528002"
"103506","56","ORAL","ADDED","02546353"
"103473","56","ORAL","ADDED","02545993"
"103492","65","SUBCUTANEOUS","ADDED","02546205"
"103509","56","ORAL","ADDED","02546396"
"103523","65","SUBCUTANEOUS","ADDED","02546558"
"103525","65","SUBCUTANEOUS","ADDED","02546574"
"103502","65","SUBCUTANEOUS","ADDED","02546310"
"103475","56","ORAL","ADDED","02546027"
"103511","56","ORAL","ADDED","02546426"
"103528","65","SUBCUTANEOUS","ADDED","02546604"
"103490","49","INTRAVENOUS","ADDED","02546183"
"103529","65","SUBCUTANEOUS","ADDED","02546612"
"103526","65","SUBCUTANEOUS","ADDED","02546582"
"103318","22","INTRAMUSCULAR","ADDED","02544601"
"103490","22","INTRAMUSCULAR","ADDED","02546183"
"103455","56","ORAL","ADDED","02545810"
"103524","65","SUBCUTANEOUS","ADDED","02546566"
"103513","56","ORAL","ADDED","02546442"
"103516","56","ORAL","ADDED","02546477"
"103478","93","DISINFECTANT (Domestic)","ADDED","02546051"
"103488","56","ORAL","ADDED","02546167"
"98919","56","ORAL","ADDED","02499452"
"101726","56","ORAL","ADDED","02527995"
"103546","2","DISINFECTANT (Barn)","ADDED","02546787"
"103494","65","SUBCUTANEOUS","ADDED","02546221"
"103510","56","ORAL","ADDED","02546418"
"103508","8","DISINFECTANT (Food Premises)","ADDED","02546388"
"103489","22","INTRAMUSCULAR","ADDED","02546175"
"103474","56","ORAL","ADDED","02546019"
"103145","70","TOPICAL","ADDED","02542927"
"103553","70","TOPICAL","ADDED","02546868"
"98543","56","ORAL","ADDED","02495538"
"103491","49","INTRAVENOUS","ADDED","02546191"
"103491","65","SUBCUTANEOUS","ADDED","02546191"
"103483","56","ORAL","ADDED","02546116"
"103481","56","ORAL","ADDED","02546094"
"103546","93","DISINFECTANT (Domestic)","ADDED","02546787"
"103503","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546329"
"103504","56","ORAL","ADDED","02546337"
"103471","56","ORAL","ADDED","02546000"
"103450","65","SUBCUTANEOUS","ADDED","02545764"
"103479","49","INTRAVENOUS","ADDED","02546078"
"103489","49","INTRAVENOUS","ADDED","02546175"
"103454","56","ORAL","ADDED","02545802"
"103469","56","ORAL","ADDED","02545977"
"103467","49","INTRAVENOUS","ADDED","02545950"
"103515","56","ORAL","ADDED","02546469"
"103493","65","SUBCUTANEOUS","ADDED","02546213"
"103472","56","ORAL","ADDED","02545985"
"103503","93","DISINFECTANT (Domestic)","ADDED","02546329"
"103477","56","ORAL","ADDED","02546043"
"103543","56","ORAL","ADDED","02546752"
"103508","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02546388"
"103546","8","DISINFECTANT (Food Premises)","ADDED","02546787"
"103490","65","SUBCUTANEOUS","ADDED","02546183"
"103512","56","ORAL","ADDED","02546434"
"103480","56","ORAL","ADDED","02546086"
"103522","65","SUBCUTANEOUS","ADDED","02546531"
"103514","56","ORAL","ADDED","02546450"
"101728","56","ORAL","ADDED","02528010"
"103491","22","INTRAMUSCULAR","ADDED","02546191"
