drug_code,mp_code,mp_formal_name,mp_fr_description,changes
9,00015741,TAPAZOLE (methimazole 5 mg oral tablet) PALADIN PHARMA INC.,TAPAZOLE (méthimazole 5 mg comprimé oral) PALADIN PHARMA INC.,"mp_formal_name: ""TAPAZOLE (methimazole 5 mg oral tablet) PALADIN L̲A̲B̲S̲ INC."" -> ""TAPAZOLE (methimazole 5 mg oral tablet) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""TAPAZOLE (méthimazole 5 mg comprimé oral) PALADIN L̲A̲B̲S̲ INC."" -> ""TAPAZOLE (méthimazole 5 mg comprimé oral) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
158,00010200,PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN PHARMA INC.,PROPYL-THYRACIL (propylthiouracile 50 mg comprimé oral) PALADIN PHARMA INC.,"mp_formal_name: ""PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN L̲A̲B̲S̲ INC."" -> ""PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""PROPYL-THYRACIL (propylthiouracile 50 mg comprimé oral) PALADIN L̲A̲B̲S̲ INC."" -> ""PROPYL-THYRACIL (propylthiouracile 50 mg comprimé oral) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
159,00010219,PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN PHARMA INC.,PROPYL-THYRACIL (propylthiouracile 100 mg comprimé oral) PALADIN PHARMA INC.,"mp_formal_name: ""PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN L̲A̲B̲S̲ INC."" -> ""PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""PROPYL-THYRACIL (propylthiouracile 100 mg comprimé oral) PALADIN L̲A̲B̲S̲ INC."" -> ""PROPYL-THYRACIL (propylthiouracile 100 mg comprimé oral) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
631,00074462,LOCACORTEN VIOFORM (clioquinol 3 % and flumethasone pivalate 0.02 % cutaneous cream) PALADIN PHARMA INC.,"LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) PALADIN PHARMA INC.","mp_formal_name: ""LOCACORTEN VIOFORM (clioquinol 3 % and flumethasone pivalate 0.02 % cutaneous cream) PALADIN L̲A̲B̲S̲ INC."" -> ""LOCACORTEN VIOFORM (clioquinol 3 % and flumethasone pivalate 0.02 % cutaneous cream) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) PALADIN L̲A̲B̲S̲ INC."" -> ""LOCACORTEN VIOFORM (clioquinol 3 % et pivalate de fluméthasone 0,02 % crème cutanée) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
810,00074500,VIOFORM HYDROCORTISONE (clioquinol 3 % and hydrocortisone 1 % cutaneous cream) PALADIN PHARMA INC.,VIOFORM HYDROCORTISONE (clioquinol 3 % et hydrocortisone 1 % crème cutanée) PALADIN PHARMA INC.,"mp_formal_name: ""VIOFORM HYDROCORTISONE (clioquinol 3 % and hydrocortisone 1 % cutaneous cream) PALADIN L̲A̲B̲S̲ INC."" -> ""VIOFORM HYDROCORTISONE (clioquinol 3 % and hydrocortisone 1 % cutaneous cream) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""VIOFORM HYDROCORTISONE (clioquinol 3 % et hydrocortisone 1 % crème cutanée) PALADIN L̲A̲B̲S̲ INC."" -> ""VIOFORM HYDROCORTISONE (clioquinol 3 % et hydrocortisone 1 % crème cutanée) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
868,00074454,LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % and flumethasone pivalate 0.02 % otic drops) PALADIN PHARMA INC.,"LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques) PALADIN PHARMA INC.","mp_formal_name: ""LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % and flumethasone pivalate 0.02 % otic drops) PALADIN L̲A̲B̲S̲ INC."" -> ""LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % and flumethasone pivalate 0.02 % otic drops) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques) PALADIN L̲A̲B̲S̲ INC."" -> ""LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % et pivalate de fluméthasone 0,02 % gouttes otiques) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
933,00029149,FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH,FUNGIZONE (amphotéricine B 50 mg par fiole poudre pour solution injectable) CHEPLAPHARM ARZNEIMITTEL GMBH,ADDED
1084,00010391,SINTROM (acenocoumarol 4 mg oral tablet) PALADIN PHARMA INC.,SINTROM (acénocoumarol 4 mg comprimé oral) PALADIN PHARMA INC.,"mp_formal_name: ""SINTROM (acenocoumarol 4 mg oral tablet) PALADIN L̲A̲B̲S̲ INC."" -> ""SINTROM (acenocoumarol 4 mg oral tablet) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""SINTROM (acénocoumarol 4 mg comprimé oral) PALADIN L̲A̲B̲S̲ INC."" -> ""SINTROM (acénocoumarol 4 mg comprimé oral) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
1118,00010383,SINTROM (acenocoumarol 1 mg oral tablet) PALADIN PHARMA INC.,SINTROM (acénocoumarol 1 mg comprimé oral) PALADIN PHARMA INC.,"mp_formal_name: ""SINTROM (acenocoumarol 1 mg oral tablet) PALADIN L̲A̲B̲S̲ INC."" -> ""SINTROM (acenocoumarol 1 mg oral tablet) PALADIN P̲H̲A̲R̲M̲A̲ INC.""
mp_fr_description: ""SINTROM (acénocoumarol 1 mg comprimé oral) PALADIN L̲A̲B̲S̲ INC."" -> ""SINTROM (acénocoumarol 1 mg comprimé oral) PALADIN P̲H̲A̲R̲M̲A̲ INC."""
1668,00266507,ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD,"ADASEPT LIQ 0.5% (triclosan 0,5 % liquide cutané) ODAN LABORATORIES LTD",ADDED
