drug_code,drug_identification_number,current_brand_name,previous_brand_name
"100558","02516209","COLACE PLUS STIMULANT LAXATIVE","COLACE + STIMULANT LAXATIVE"
"75626","02270889","RIVA-ALENDRONATE FC","RIVA-ALENDRONATE"
"84320","02358131","PAIN RELIEF CREAM REGULAR STRENGTH","NO ODOUR PAIN RELIEF CREAM"
"86890","02383136","TARO-SILDENAFIL","RAN-SILDENAFIL"
"25882","02008505","NUGEN S-38","LONZA FORMULATION S-38"
"4276","00402818","APO-ALLOPURINOL TABLETS","ZYLOPRIM"
"4302","00402796","APO-ALLOPURINOL TABLETS","ZYLOPRIM"
"4303","00479799","APO-ALLOPURINOL TABLETS","ZYLOPRIM"
"98866","02498944","AG-VITAMINE D TABLETS","AG-VITAMIN D"
"99431","02504944","ATTITUDE HOME + TECHNOLOGY ALL-PURPOSE CLEANING & DISINFECTING WIPES","ATTITUDE ALL-PURPOSE CLEANING & DISINFECTING 99.99% WIPES"
"86888","02383101","TARO-SILDENAFIL","RAN-SILDENAFIL"
"86889","02383128","TARO-SILDENAFIL","RAN-SILDENAFIL"
"67561","02243635","NUGEN S-38F","LONZA FORMULATION S-38F"
