drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"104182","56","ORAL","ADDED","02552906"
"104183","56","ORAL","ADDED","02552892"
"104239","56","ORAL","ADDED","02553457"
"104222","55","OPHTHALMIC","ADDED","02553287"
"104209","56","ORAL","ADDED","02553139"
"47425","56","ORAL","ADDED","02229520"
"104241","94","DISINFECTANT (Institutional/Industrial)","ADDED","02553473"
"104255","56","ORAL","ADDED","02553635"
"104185","56","ORAL","ADDED","02552876"
"104215","56","ORAL","ADDED","02553201"
"61803","93","DISINFECTANT (Domestic)","ADDED","02238390"
"104191","56","ORAL","ADDED","02553007"
"104180","56","ORAL","ADDED","02552833"
"104200","56","ORAL","ADDED","02553031"
"104178","56","ORAL","ADDED","02552817"
"104225","65","SUBCUTANEOUS","ADDED","02553309"
"71710","93","DISINFECTANT (Domestic)","ADDED","02247462"
"104244","56","ORAL","ADDED","02553511"
"104256","56","ORAL","ADDED","02553643"
"104164","49","INTRAVENOUS","ADDED","02552671"
"104186","56","ORAL","ADDED","02552884"
"104214","56","ORAL","ADDED","02553198"
"104207","56","ORAL","ADDED","02553112"
"104241","8","DISINFECTANT (Food Premises)","ADDED","02553473"
"104190","56","ORAL","ADDED","02552949"
"104212","56","ORAL","ADDED","02553163"
"104241","2","DISINFECTANT (Barn)","ADDED","02553473"
"104220","56","ORAL","ADDED","02553260"
"104229","31","INTRATHECAL","ADDED","02553341"
"104232","56","ORAL","ADDED","02553384"
"104208","49","INTRAVENOUS","ADDED","02553120"
"104179","56","ORAL","ADDED","02552825"
"104189","56","ORAL","ADDED","02552930"
"104175","49","INTRAVENOUS","ADDED","02552787"
"104192","56","ORAL","ADDED","02552957"
"104231","56","ORAL","ADDED","02553376"
"81851","94","DISINFECTANT (Institutional/Industrial)","ADDED","02332868"
"104181","70","TOPICAL","ADDED","02552841"
"104230","56","ORAL","ADDED","02553368"
"104233","56","ORAL","ADDED","02553392"
"104240","70","TOPICAL","ADDED","02553465"
"104202","56","ORAL","ADDED","02553066"
"81851","2","DISINFECTANT (Barn)","ADDED","02332868"
"104184","56","ORAL","ADDED","02552868"
"104226","65","SUBCUTANEOUS","ADDED","02553317"
"104203","56","ORAL","ADDED","02553074"
"104216","56","ORAL","ADDED","02553228"
"104206","49","INTRAVENOUS","ADDED","02553104"
"104199","56","ORAL","ADDED","02553023"
"104221","56","ORAL","ADDED","02553279"
"104259","56","ORAL","ADDED","02553686"
"104201","56","ORAL","ADDED","02553058"
"104217","56","ORAL","ADDED","02553236"
"104213","56","ORAL","ADDED","02553171"
