tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
6a45ffcc149f379bfcfb8c3450d9fac8,alpha1-proteinase inhibitor human and tapinarof,inhibiteur de l'alpha1-protéinase humain et tapinarof,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8002392,ravulizumab,ravulizumab,"tm_status_effective_time: ""20210909"" -> ""20230419"""
8002153,polyethylene glycol 400 and propylene glycol,polyethylene glycol 400 et propylène glycol,DELETED
8000835,hydrochlorothiazide and pindolol,hydrochlorothiazide et pindolol,DELETED
11f66160090e14a1cd01239097073e7e,bulevirtide,bulévirtide,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8002552,belantamab mafodotin,bélantamab mafodotine,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8002556,rozanolixizumab,rozanolixizumab,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
