drug_code,drug_identification_number,current_brand_name,previous_brand_name
"75209","02266687","AA-METHYLPHENIDATE SR","APO-METHYLPHENIDATE SR"
"77893","02293579","SPC-CEFPROZIL","TARO-CEFPROZIL"
"81489","02329204","SPC-CEFPROZIL","TARO-CEFPROZIL"
"87778","02392526","ACH-GABAPENTIN","GABAPENTIN TABLETS USP"
"87779","02392534","ACH-GABAPENTIN","GABAPENTIN TABLETS USP"
"88072","02395649","PRO-ANASTROZOLE","ANASTROZOLE"
"88956","02404761","GANCICLOVIR FOR INJECTION, USP","GANCICLOVIR FOR INJECTION"
"90041","02415828","PRO-LEFLUNOMIDE","LEFLUNOMIDE"
"90042","02415836","PRO-LEFLUNOMIDE","LEFLUNOMIDE"
"90145","02416840","ACH-GABAPENTIN","GABAPENTIN CAPSULES USP"
"90146","02416859","ACH-GABAPENTIN","GABAPENTIN CAPSULES USP"
"90147","02416867","ACH-GABAPENTIN","GABAPENTIN CAPSULES USP"
"94139","02454696","SPC-FENOFIBRATE E","SN-FENOFIBRATE E"
"95779","02469138","ALTA-PANTOPRAZOLE","PANTOPRAZOLE"
"98286","02492865","NIGHTTIME COLD & FLU COMPLETE","COMPLETE COLD & FLU RELIEF"
