drug_code,extract_current,extract_previous,drug_identification_number,current_company_name,previous_company_name
"46803","active","active","01900978","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"62594","active","active","02239138","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"62611","active","active","02239155","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"62612","active","active","02239156","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"63874","active","active","02240335","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"66820","active","active","02242980","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"70165","active","active","02246034","HIGHLINE WARREN LLC","PLZ CORP."
"70300","active","active","02246156","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"75088","active","active","02265419","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"75089","active","active","02265427","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"76653","active","active","02280868","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"77584","active","active","02290510","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"82425","active","active","02338602","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"84247","active","active","02357356","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"88981","active","active","02404982","RECKITT BENCKISER (CANADA) INC","RB HEALTH (CANADA) INC."
"89643","active","active","02411849","KNIGHT THERAPEUTICS INC.","ENDO OPERATIONS LTD."
"91765","active","active","02433257","RECKITT BENCKISER (CANADA) INC","RB HEALTH (CANADA) INC."
"92296","active","active","02438585","KENVUE CANADA INC.","JOHNSON & JOHNSON INC"
"94265","active","active","02455838","SOLVENTUM CANADA LIMITED","3M HEALTHCARE CANADA COMPANY LIMITED"
"94846","active","active","02460947","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"94847","active","active","02460955","JUNO PHARMA CANADA INC.","JUNO PHARMACEUTICALS CORP."
"95910","active","active","02470144","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"102523","active","active","02536455","LEO PHARMA INC","BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
"103430","active","active","02545543","BOUMATIC LLC","GENESIS CHEMICALS LTD"
"103690","active","active","02547996","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"103912","active","active","02550296","LEO PHARMA INC","BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
"27547","dormant","dormant","02061287","KENVUE CANADA INC.","MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"
"103210","dormant","dormant","02543656","SANOFI VACCINES CANADA LTD.","NOVAVAX INC."
"106219","approved","approved","02558998","SANOFI VACCINES CANADA LTD.","NOVAVAX INC."
"106463","approved","approved","02561697","LEO PHARMA INC","BOEHRINGER INGELHEIM (CANADA) LTD LTEE"
