drug_code,current_status,current_history_date,previous_status,previous_history_date,drug_identification_number
"11977","MARKETED","2026-04-29","DORMANT","2025-07-23","01923838"
"92662","MARKETED","2026-03-19","DORMANT","2017-07-20","02442264"
"92664","MARKETED","2026-03-19","DORMANT","2017-07-20","02442280"
"93393","MARKETED","2026-04-21","APPROVED","2025-03-28","02448262"
"94432","MARKETED","2026-04-13","DORMANT","2025-05-08","02457245"
"97609","MARKETED","2026-03-23","APPROVED","2026-03-23","02485877"
"98368","MARKETED","2026-03-31","DORMANT","2025-07-31","02493683"
"98369","MARKETED","2026-03-31","DORMANT","2025-07-31","02493691"
"99890","MARKETED","2026-04-13","DORMANT","2025-08-29","02509628"
"99891","MARKETED","2026-04-13","DORMANT","2025-08-29","02509636"
"101046","MARKETED","2026-03-05","APPROVED","2025-05-07","02521237"
"101780","MARKETED","2026-04-20","APPROVED","2022-07-06","02528592"
"102447","MARKETED","2026-04-21","APPROVED","2023-02-21","02535637"
"102586","MARKETED","2026-04-02","APPROVED","2023-04-06","02537133"
"104178","MARKETED","2026-04-07","APPROVED","2024-11-06","02552817"
"104191","MARKETED","2026-04-01","APPROVED","2026-02-26","02553007"
"106162","MARKETED","2026-03-30","APPROVED","2025-06-09","02558378"
"104323","MARKETED","2026-03-26","APPROVED","2025-01-23","02554372"
"104430","MARKETED","2026-03-23","APPROVED","2025-02-14","02555549"
"104463","MARKETED","2026-03-23","APPROVED","2025-02-27","02555905"
"106021","MARKETED","2026-03-24","APPROVED","2025-04-10","02556820"
"106022","MARKETED","2026-03-24","APPROVED","2025-04-10","02556839"
"106023","MARKETED","2026-03-24","APPROVED","2025-04-10","02556847"
"106024","MARKETED","2026-03-24","APPROVED","2025-04-10","02556855"
"106025","MARKETED","2026-03-24","APPROVED","2025-04-10","02556863"
"106029","MARKETED","2026-03-26","APPROVED","2025-04-14","02556928"
"106094","MARKETED","2026-04-15","APPROVED","2025-05-12","02557630"
"106108","MARKETED","2026-04-17","APPROVED","2025-05-20","02557789"
"106109","MARKETED","2026-04-17","APPROVED","2025-05-20","02557797"
"106110","MARKETED","2026-04-17","APPROVED","2025-05-20","02557800"
"106111","MARKETED","2026-04-17","APPROVED","2025-05-20","02557819"
"106149","MARKETED","2026-04-01","APPROVED","2025-06-03","02558203"
"106181","MARKETED","2026-03-05","APPROVED","2025-06-19","02558572"
"106214","MARKETED","2026-02-19","APPROVED","2025-07-03","02558939"
"106252","MARKETED","2026-03-16","APPROVED","2025-07-11","02559366"
"106285","MARKETED","2026-03-23","APPROVED","2025-07-25","02559722"
"106300","MARKETED","2026-04-22","APPROVED","2025-08-01","02559897"
"106301","MARKETED","2026-04-22","APPROVED","2025-08-01","02559900"
"106324","MARKETED","2026-04-08","APPROVED","2025-08-07","02560151"
"106345","MARKETED","2026-03-19","APPROVED","2025-08-14","02560380"
"106376","MARKETED","2026-03-12","APPROVED","2025-08-27","02560720"
"106397","MARKETED","2026-04-01","APPROVED","2025-09-03","02560968"
"106417","MARKETED","2026-03-19","APPROVED","2025-09-17","02561182"
"106433","MARKETED","2026-04-03","APPROVED","2025-10-01","02561360"
"106434","MARKETED","2026-04-03","APPROVED","2025-10-01","02561379"
"106435","MARKETED","2026-04-03","APPROVED","2025-10-01","02561387"
"106436","MARKETED","2026-04-03","APPROVED","2025-10-01","02561395"
"106446","MARKETED","2026-04-24","APPROVED","2025-09-29","02561506"
"106470","MARKETED","2026-03-31","APPROVED","2025-10-14","02561778"
"106471","MARKETED","2026-03-31","APPROVED","2025-10-14","02561786"
"106472","MARKETED","2026-03-31","APPROVED","2025-10-14","02561794"
"106473","MARKETED","2026-03-31","APPROVED","2025-10-14","02561808"
"106474","MARKETED","2026-03-31","APPROVED","2025-10-14","02561816"
"106483","MARKETED","2026-04-21","APPROVED","2025-10-10","02561905"
"106513","MARKETED","2026-04-21","APPROVED","2025-10-17","02562235"
"106543","MARKETED","2026-04-16","APPROVED","2025-10-31","02562553"
"106585","MARKETED","2026-04-13","APPROVED","2025-11-21","02563029"
"106623","MARKETED","2026-04-28","APPROVED","2025-12-04","02563452"
"106624","MARKETED","2026-04-28","APPROVED","2025-12-04","02563460"
"106674","MARKETED","2026-04-01","APPROVED","2025-12-18","02564009"
"106718","MARKETED","2026-04-20","APPROVED","2026-01-09","02564483"
"106762","MARKETED","2026-04-01","APPROVED","2026-01-30","02564963"
"106763","MARKETED","2026-04-01","APPROVED","2026-01-30","02564971"
"106780","MARKETED","2026-04-10","APPROVED","2026-01-28","02565161"
"106781","MARKETED","2026-04-10","APPROVED","2026-01-28","02565188"
"106785","MARKETED","2026-04-13","APPROVED","2026-01-30","02565234"
"106786","MARKETED","2026-04-13","APPROVED","2026-01-30","02565242"
"106787","MARKETED","2026-04-13","APPROVED","2026-01-30","02565250"
"106788","MARKETED","2026-04-13","APPROVED","2026-01-30","02565269"
"106789","MARKETED","2026-04-13","APPROVED","2026-01-30","02565277"
"14518","CANCELLED POST MARKET","2026-04-01","MARKETED","2002-06-20","02047454"
"41753","CANCELLED POST MARKET","2026-04-27","DORMANT","2018-05-16","00778400"
"50599","CANCELLED POST MARKET","2026-02-19","MARKETED","2019-10-23","02231289"
"50719","CANCELLED POST MARKET","2026-04-27","DORMANT","2018-08-03","02231404"
"60760","CANCELLED POST MARKET","2026-04-27","DORMANT","2018-08-03","02237429"
"61054","CANCELLED PRE MARKET","2026-04-27","APPROVED","2015-05-14","02237707"
"65322","CANCELLED PRE MARKET","2026-04-29","APPROVED","2000-01-27","02241662"
"65698","CANCELLED PRE MARKET","2026-04-29","APPROVED","2000-03-24","02242027"
"65699","CANCELLED PRE MARKET","2026-04-29","APPROVED","2000-03-24","02242028"
"68232","CANCELLED POST MARKET","2026-04-14","MARKETED","2006-05-24","02244265"
"69700","CANCELLED PRE MARKET","2026-04-29","APPROVED","2002-02-26","02245601"
"69789","CANCELLED POST MARKET","2026-03-27","MARKETED","2013-02-23","02245688"
"70790","CANCELLED POST MARKET","2026-03-16","MARKETED","2024-04-12","02246602"
"72277","CANCELLED PRE MARKET","2026-04-29","APPROVED","2003-07-22","02247967"
"74902","CANCELLED POST MARKET","2026-04-07","MARKETED","2022-04-19","02263645"
"74978","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264323"
"74979","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264331"
"74980","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264358"
"74981","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264366"
"74982","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264374"
"74984","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264390"
"74985","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264404"
"74986","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264412"
"74987","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264420"
"74988","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264439"
"74989","CANCELLED POST MARKET","2026-02-09","DORMANT","2017-06-19","02264447"
"74991","CANCELLED POST MARKET","2026-04-01","DORMANT","2017-06-19","02264455"
"76194","CANCELLED PRE MARKET","2026-04-29","APPROVED","2006-01-31","02276267"
"76389","CANCELLED PRE MARKET","2026-04-29","APPROVED","2006-03-06","02278316"
"76390","CANCELLED PRE MARKET","2026-04-29","APPROVED","2006-03-06","02278324"
"78065","CANCELLED PRE MARKET","2026-04-27","APPROVED","2010-03-05","02295350"
"80282","CANCELLED PRE MARKET","2026-04-29","APPROVED","2008-09-25","02317273"
"84491","CANCELLED PRE MARKET","2026-04-27","APPROVED","2010-11-26","02359944"
"87001","CANCELLED POST MARKET","2025-12-31","DORMANT","2022-06-30","02384272"
"87469","CANCELLED POST MARKET","2026-04-08","MARKETED","2014-11-08","02389185"
"87733","CANCELLED POST MARKET","2026-04-10","DORMANT","2017-06-15","02392046"
"88048","CANCELLED POST MARKET","2026-02-10","DORMANT","2023-09-17","02395371"
"89389","CANCELLED POST MARKET","2026-03-12","MARKETED","2024-04-10","02409178"
"89939","CANCELLED PRE MARKET","2026-02-13","APPROVED","2013-11-05","02414767"
"89940","CANCELLED POST MARKET","2026-02-13","DORMANT","2017-08-03","02414775"
"91654","CANCELLED POST MARKET","2026-03-19","DORMANT","2018-09-30","02432099"
"91655","CANCELLED POST MARKET","2026-03-19","DORMANT","2018-09-30","02432102"
"91656","CANCELLED POST MARKET","2026-03-19","DORMANT","2018-09-30","02432110"
"92624","CANCELLED POST MARKET","2026-04-24","MARKETED","2017-09-25","02441853"
"93263","CANCELLED POST MARKET","2026-03-18","DORMANT","2023-02-19","02447053"
"94410","CANCELLED POST MARKET","2026-03-16","MARKETED","2024-05-01","02456982"
"94556","CANCELLED PRE MARKET","2026-03-16","APPROVED","2019-03-22","02458438"
"94557","CANCELLED POST MARKET","2026-03-16","MARKETED","2020-10-08","02458446"
"94558","CANCELLED POST MARKET","2026-03-16","MARKETED","2020-10-08","02458454"
"95553","CANCELLED POST MARKET","2026-03-27","MARKETED","2024-07-18","02467135"
"95718","CANCELLED POST MARKET","2026-04-24","MARKETED","2018-06-29","02468700"
"95719","CANCELLED POST MARKET","2026-04-24","MARKETED","2018-06-29","02468719"
"95720","CANCELLED POST MARKET","2026-04-24","MARKETED","2018-06-29","02468727"
"98593","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-04","02496054"
"98594","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-04","02496062"
"98595","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-04","02496070"
"98596","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-04","02496089"
"98646","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-25","02496607"
"98647","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-25","02496615"
"98648","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-25","02496623"
"98649","CANCELLED PRE MARKET","2026-04-22","APPROVED","2020-02-25","02496631"
"98850","CANCELLED PRE MARKET","2026-04-07","APPROVED","2020-05-06","02498715"
"98851","CANCELLED PRE MARKET","2026-04-07","APPROVED","2020-05-06","02498723"
"99014","CANCELLED POST MARKET","2026-03-18","MARKETED","2022-05-18","02500469"
"99277","CANCELLED PRE MARKET","2026-04-17","APPROVED","2020-08-13","02503271"
"99278","CANCELLED PRE MARKET","2026-04-17","APPROVED","2020-08-13","02503298"
"99279","CANCELLED PRE MARKET","2026-04-17","APPROVED","2020-08-13","02503301"
"99517","CANCELLED POST MARKET","2026-04-02","DORMANT","2023-09-09","02505797"
"99518","CANCELLED POST MARKET","2026-04-02","DORMANT","2023-08-11","02505800"
"99519","CANCELLED POST MARKET","2026-04-02","DORMANT","2023-08-17","02505819"
"100026","CANCELLED POST MARKET","2026-03-18","DORMANT","2021-11-01","02511010"
"100027","CANCELLED POST MARKET","2026-03-18","DORMANT","2022-11-01","02511029"
"100028","CANCELLED PRE MARKET","2026-03-18","APPROVED","2021-01-15","02511037"
"101447","CANCELLED POST MARKET","2026-03-18","MARKETED","2022-05-20","02525453"
"101719","CANCELLED POST MARKET","2026-04-27","MARKETED","2023-03-17","02527928"
"101720","CANCELLED POST MARKET","2026-04-27","MARKETED","2023-03-17","02527936"
"101721","CANCELLED POST MARKET","2026-04-27","MARKETED","2023-03-17","02527944"
