drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"107051","56","POWDER FOR SOLUTION","ADDED","02568179"
"107042","85","TABLET","ADDED","02568063"
"107054","56","POWDER FOR SOLUTION","ADDED","02568209"
"107095","85","TABLET","ADDED","02568659"
"107039","75","TABLET (EXTENDED-RELEASE)","ADDED","02568039"
"107063","134","SOLUTION","ADDED","02568306"
"107015","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","ADDED","02567776"
"107057","134","SOLUTION","ADDED","02568233"
"107070","134","SOLUTION","ADDED","02568373"
"106969","134","SOLUTION","ADDED","02567253"
"107044","9","CREAM","ADDED","02568098"
"107041","85","TABLET","ADDED","02568055"
"107050","59","SHAMPOO","ADDED","02568160"
"107056","56","POWDER FOR SOLUTION","ADDED","02568225"
"107017","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","ADDED","02567792"
"106609","56","POWDER FOR SOLUTION","ADDED","02563290"
"107088","85","TABLET","ADDED","02568586"
"107016","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","ADDED","02567784"
"107053","56","POWDER FOR SOLUTION","ADDED","02568195"
"107082","134","SOLUTION","ADDED","02568519"
"107064","109","TABLET (DELAYED-RELEASE)","ADDED","02568314"
"107094","85","TABLET","ADDED","02568640"
"102920","134","SOLUTION","ADDED","02540509"
"107065","109","TABLET (DELAYED-RELEASE)","ADDED","02568322"
"107076","43","OINTMENT","ADDED","02568454"
"1016","134","SOLUTION","ADDED","00053236"
"107049","9","CREAM","ADDED","02568152"
"107047","134","SOLUTION","ADDED","02568136"
"1016","34","LIQUID","REMOVED","00053236"
"107069","184","DISPERSION","ADDED","02568365"
"107081","134","SOLUTION","ADDED","02568500"
"107046","85","TABLET","ADDED","02568128"
"107055","56","POWDER FOR SOLUTION","ADDED","02568217"
"107043","85","TABLET","ADDED","02568071"
"107089","85","TABLET","ADDED","02568594"
"107093","85","TABLET","ADDED","02568632"
"107071","59","SHAMPOO","ADDED","02568381"
"107058","134","SOLUTION","ADDED","02568241"
"106970","134","SOLUTION","ADDED","02567261"
"107048","134","SOLUTION","ADDED","02568144"
"107096","85","TABLET","ADDED","02568667"
"107040","75","TABLET (EXTENDED-RELEASE)","ADDED","02568047"
