drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"3666","912","Changed","dormant","EUCALYPTUS OIL","0.75","%","00491039"
"3669","628","Changed","active","METHYL SALICYLATE","0.5","%","00499064"
"3666","3194","Changed","dormant","OIL OF CAMPHOR RECTIFIED","0.75","%","00491039"
"3669","9125","Changed","active","CAMPHOR","0.5","%","00499064"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"3621","628","Changed","active","METHYL SALICYLATE","0.3","%","00493600"
"3621","6935","Changed","active","PHENOL","0.3","%","00493600"
"68757","7504","Changed","approved","MOMETASONE FUROATE","0.1","%","02244768"
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"3906","9622","Changed","active","CARBACHOL","0.01","%","00042544"
"3666","265","Changed","dormant","MENTHOL","0.75","%","00491039"
"3666","3313","Changed","dormant","PINE TAR OIL","0.75","%","00491039"
"41219","197","Changed","active","BENZALKONIUM CHLORIDE","0.8","%","00779830"
"3669","6935","Changed","active","PHENOL","0.5","%","00499064"
"12298","309","Changed","inactive","IRON (FERROUS SUCCINATE)",".5","MG","01901117"
"6772","9542","Changed","dormant","NAPHAZOLINE HYDROCHLORIDE","0.1","%","00626570"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"3666","3457","Changed","dormant","OIL OF THYME","0.28","%","00491039"
"2013","8944","Changed","dormant","L-EPHEDRINE HYDROCHLORIDE","0.01","%","00319384"
"72380","9542","Changed","active","NAPHAZOLINE HYDROCHLORIDE","0.012","%","02248060"
"68756","7504","Changed","approved","MOMETASONE FUROATE","0.1","%","02244767"
"36953","7558","Changed","active","CLOBETASOL PROPIONATE","0.05","%","02213273"
"6015","5280","Changed","dormant","CHLORHEXIDINE ACETATE","0.5","%","00631396"
"3666","6935","Changed","dormant","PHENOL","0.75","%","00491039"
"9161","5280","Changed","dormant","CHLORHEXIDINE ACETATE","0.5","%","00724963"
"3666","7049","Changed","dormant","PERUVIAN BALSAM","0.15","%","00491039"
"3567","7227","Changed","dormant","GAMBOGE","0.42","%","00488658"
"3567","7206","Changed","dormant","ANISE","0.84","%","00488658"
"42186","774","Changed","dormant","CHLOROXYLENOL","0.5","%","01999524"
"36954","7558","Changed","active","CLOBETASOL PROPIONATE","0.05","%","02213281"
"41219","196","Changed","active","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.8","%","00779830"
"3621","7114","Changed","active","BEECHWOOD CREOSOTE","0.2","%","00493600"
"22943","4803","Changed","inactive","CALCIUM (EGG SHELL)","80","MG","01959840"
"10565","7145","Changed","active","CETRIMONIUM BROMIDE","0.5","%","00873195"
"107307","1755","ADDED","approved","CARBOPLATIN","10","MG","02570963"
"107305","12329","ADDED","approved","GALANTAMINE (GALANTAMINE HYDROBROMIDE)","16","MG","02570947"
"107302","22925","ADDED","approved","SEMAGLUTIDE","1.34","MG","02570912"
