"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f"
40001,"solution for injection","1","BLOCK/INFILTRATION","Bloc/Infiltration","34","LIQUID","Liquide"
40001,"solution for injection","1","BLOCK/INFILTRATION","Bloc/Infiltration","134","SOLUTION","Solution"
40001,"solution for injection","1-7","BLOCK/INFILTRATION, EPIDURAL","Bloc/Infiltration, Épidurale","34","LIQUID","Liquide"
40001,"solution for injection","1-7","BLOCK/INFILTRATION, EPIDURAL","Bloc/Infiltration, Épidurale","134","SOLUTION","Solution"
40002,"oromucosal gel","3","BUCCAL","Buccale","114","GEL","Gel"
40003,"mouthwash","3","BUCCAL","Buccale","34","LIQUID","Liquide"
40004,"gargle/mouthwash","3","BUCCAL","Buccale","42","MOUTHWASH/GARGLE","Rince-bouche/Gargarisme"
40003,"mouthwash","3","BUCCAL","Buccale","134","SOLUTION","Solution"
40005,"oromucosal spray","3","BUCCAL","Buccale","98","SPRAY","Pulvérisation"
40006,"kit","3","BUCCAL","Buccale","32","KIT","Trousse"
40007,"buccal tablet","3","BUCCAL","Buccale","85","TABLET","Comprimé"
40007,"buccal tablet","3","BUCCAL","Buccale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)"
40008,"oromucosal solution","3-56","BUCCAL, ORAL","Buccale, Orale","34","LIQUID","Liquide"
40009,"oromucosal paste","3-56","BUCCAL, ORAL","Buccale, Orale","52","PASTE","Pâte"
40007,"buccal tablet","3-66","BUCCAL, SUBLINGUAL","Buccale, Sublinguale","23","TABLET (EFFERVESCENT)","Comprimé (effervescent)"
40008,"oromucosal solution","3-70","BUCCAL, TOPICAL","Buccale, Topique","34","LIQUID","Liquide"
40010,"dental gel","5","DENTAL","Dentaire","114","GEL","Gel"
40011,"dental solution","5","DENTAL","Dentaire","34","LIQUID","Liquide"
40009,"oromucosal paste","5","DENTAL","Dentaire","52","PASTE","Pâte"
40011,"dental solution","5","DENTAL","Dentaire","134","SOLUTION","Solution"
40012,"toothpaste","5","DENTAL","Dentaire","94","TOOTHPASTE","Pâte dentifrice"
40006,"kit","5","DENTAL","Dentaire","32","KIT","Trousse"
40013,"solution for haemodialysis","6","DIALYSIS","Dialyse","34","LIQUID","Liquide"
40014,"powder for concentrate for solution for haemodialysis","6","DIALYSIS","Dialyse","55","POWDER","Poudre"
40014,"powder for concentrate for solution for haemodialysis","6","DIALYSIS","Dialyse","56","POWDER FOR SOLUTION","Poudre pour solution"
40013,"solution for haemodialysis","6","DIALYSIS","Dialyse","134","SOLUTION","Solution"
40001,"solution for injection","7","EPIDURAL","Épidurale","34","LIQUID","Liquide"
40001,"solution for injection","7","EPIDURAL","Épidurale","134","SOLUTION","Solution"
40001,"solution for injection","7-4","EPIDURAL, INTRACAUDAL","Épidurale, Intracaudale","134","SOLUTION","Solution"
40001,"solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","34","LIQUID","Liquide"
