Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
"1,2-PROPANEDIOL DIACETATE!ACETIC ACID!BENZETHONIUM!HYDROCORTISONE", 7 ,0.00%,100.00%,,,,
"2,4-DICHLOROBENZYL ALCOHOL!AMYLMETACRESOL"," 1,440 ",0.00%,99.97%,,,,
"2,4-DICHLOROBENZYL ALCOHOL!AMYLMETACRESOL!MENTHOL", 84 ,0.00%,100.00%,,,,
2-DEOXY-D-GLUCOSE, 100 ,0.00%,100.00%,,,,
2-DEOXY-D-GLUCOSE!CITRIC ACID!POTASSIUM!SODIUM, 401 ,0.00%,99.99%,,,,
3-5-DIIODOSALICYLIC ACID, 112 ,0.00%,100.00%,,,,
4-HYDROXYBUTYRIC ACID," 1,734 ",0.00%,99.96%,,,,
5-METHOXYTRYPTAMINE!CHAMOMILLE!MELISSA!THEANINE, -   ,0.00%,100.00%,,,,
5-METHOXYTRYPTAMINE!CHAMOMILLE!RHODIOLA!SCUTELLARIA!THEANINE, 4 ,0.00%,100.00%,,,,
8-QUINOLINOL!BENZALKONIUM!BENZOCAINE, -   ,0.00%,100.00%,,,,
8-QUINOLINOL!BORIC ACID!SODIUM, 22 ,0.00%,100.00%,,,,
A>-ALANINE!ARGININE!GLYCINE!HISTIDINE!ISOLEUCINE!L-METHIONINE!LEUCINE!LYSINE!PHENYLALANINE!PROLINE!THREONINE!TRYPTOPHAN!TYROSINE!VALINE, 964 ,0.00%,99.98%,,,,
ABACAVIR," 7,611 ",0.00%,99.82%,,,,
ABACAVIR!DOLUTEGRAVIR!LAMIVUDINE," 15,983 ",0.00%,99.65%,,,,
ABACAVIR!LAMIVUDINE," 72,426 ",0.01%,98.23%,,,,
ABACAVIR!LAMIVUDINE!ZIDOVUDINE," 1,185 ",0.00%,99.97%,,,,
ABATACEPT," 35,650 ",0.01%,99.15%,,,,
ABCIXIMAB, -   ,0.00%,100.00%,,,,
ABIRATERONE ACETATE," 18,350 ",0.00%,99.59%,,,,
ACAMPROSATE," 11,268 ",0.00%,99.76%,,,,
ACARBOSE," 135,156 ",0.02%,96.59%,NEXT,,,
