"ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name"
9000001,NA,NA,"active","19441231",NA,"meperidine hydrochloride 50 mg oral tablet"
9000002,NA,NA,"active","19511230",NA,"levothyroxine sodium 50 mcg oral tablet"
9000003,NA,NA,"active","19511231",NA,"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule"
9000004,NA,NA,"active","19511231",NA,"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray"
9000005,NA,NA,"active","19511231",NA,"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule"
9000006,NA,NA,"active","19511231",NA,"phenytoin sodium 100 mg oral capsule"
9000007,NA,NA,"active","19511231",NA,"phenytoin sodium 30 mg oral capsule"
9000008,NA,NA,"active","19521231",NA,"phenytoin 50 mg oral tablet"
9000009,NA,NA,"active","19531231",NA,"phenytoin 125 mg per 5 mL oral suspension"
9000010,NA,NA,"active","19531231",NA,"testosterone cypionate 1000 mg per 10 mL solution for injection vial"
9000011,NA,NA,"active","19541231",NA,"hydrocortisone 10 mg oral tablet"
9000012,NA,NA,"active","19541231",NA,"hydrocortisone 20 mg oral tablet"
9000013,NA,NA,"active","19551231",NA,"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule"
9000014,NA,NA,"active","19561231",NA,"hydroxyzine hydrochloride 10 mg per 5 mL syrup"
9000015,NA,NA,"active","19561231",NA,"methylphenidate hydrochloride 10 mg oral tablet"
9000016,NA,NA,"active","19571231",NA,"hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet"
9000017,NA,NA,"active","19571231",NA,"hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension"
9000018,NA,NA,"active","19571231",NA,"hydroxychloroquine sulfate 200 mg oral tablet"
9000019,NA,NA,"active","19571231",NA,"warfarin sodium 10 mg oral tablet"
9000020,NA,NA,"active","19571231",NA,"warfarin sodium 1 mg oral tablet"
9000021,NA,NA,"active","19571231",NA,"warfarin sodium 5 mg oral tablet"
9000022,NA,NA,"active","19581231",NA,"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection"
9000023,NA,NA,"active","19581231",NA,"methylphenidate hydrochloride 20 mg oral tablet"
9001568,NA,NA,"active","19590101",NA,"belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet"
9000024,NA,NA,"active","19591231",NA,"prednisone 5 mg oral tablet"
9000025,NA,NA,"active","19591231",NA,"spironolactone 25 mg oral tablet"
