"","DPD PHARM_FORM_CODE","DPD PHARMACEUTICAL_FORM","Action:","X__1","NTP Formal Name Dose form"
"1",1,"METERED-DOSE AEROSOL","RoA-based transform","Where RoA = 29 (INHALATION) transform to:","pressurised inhalation"
"2",1,"METERED-DOSE AEROSOL","RoA-based transform","Where RoA = 66 (SUBLINGUAL) transform to:","sublingual spray, solution"
"3",2,"AEROSOL","Simple transform to:",NA,"pressurised inhalation"
"4",5,"CAPSULE","Simple transform to:",NA,"oral capsule"
"5",9,"CREAM","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous cream"
"6",9,"CREAM","RoA-based transform","Where RoA = 74 (VAGINAL) transform to:","vaginal cream"
"7",9,"CREAM","RoA-based transform","Where RoA = 62 (RECTAL) transform to:","rectal cream"
"8",9,"CREAM","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal cream"
"9",9,"CREAM","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic cream"
"10",9,"CREAM","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic cream"
"11",12,"DROPS","RoA-based transform","Where RoA = 32 (INTRAOCULAR) transform to:","solution for injection"
"12",12,"DROPS","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic drops"
"13",12,"DROPS","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","opthalmic drops"
"14",12,"DROPS","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal drops"
"15",12,"DROPS","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral drops"
"16",12,"DROPS","RoA-based transform","Where RoA = 57 (OTIC) and ROA = 55 (OPHTHALMIC) transform to:","opthalmic/otic drops"
"17",13,"DRESSING","Not Top 250 - no change",NA,"dressing"
"18",14,"CAPSULE (ENTERIC-COATED)","Simple transform to:",NA,"gastro-resistant capsule"
"19",17,"TABLET (ENTERIC-COATED)","Simple transform to:",NA,"gastro-resistant tablet"
"20",18,"ELIXIR","Simple transform to:",NA,"oral solution"
