"DRUG_IDENTIFICATION_NUMBER","formal_description_ntp","ntp_code","formal_description_tm","tm_code"
"01926543","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02147602","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02164396","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02204517","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02237721","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02237885","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02257599","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"02286246","acebutolol (acebutolol hydrochloride) 100 mg oral tablet",9000015,"acebutolol",9000012
"01926551","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02147610","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02164418","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02204525","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02237722","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02237886","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02257602","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"02286254","acebutolol (acebutolol hydrochloride) 200 mg oral tablet",9000016,"acebutolol",9000012
"01926578","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02147629","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02164426","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02204533","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02237723","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02237887","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02257610","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02286262","acebutolol (acebutolol hydrochloride) 400 mg oral tablet",9000017,"acebutolol",9000012
"02163934","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",9000049,"acetaminophen and caffeine and codeine",9000019
"00653241","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",9000049,"acetaminophen and caffeine and codeine",9000019
"02163926","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",9000050,"acetaminophen and caffeine and codeine",9000019
"00653276","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",9000050,"acetaminophen and caffeine and codeine",9000019
"02028174","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02025337","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02143933","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02154234","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02237420","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"00653233","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02246085","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02251914","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"02453703","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000051,"acetaminophen and caffeine and codeine",9000019
"00852163","acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000057,"acetaminophen and caffeine and codeine",9000019
"02248817","acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000057,"acetaminophen and caffeine and codeine",9000019
"00706221","acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9000057,"acetaminophen and caffeine and codeine",9000019
"00293504","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",9000059,"acetaminophen and caffeine and codeine",9000019
"00293512","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",9000060,"acetaminophen and caffeine and codeine",9000019
"01996541","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",9000061,"acetaminophen and caffeine and codeine",9000019
"00293490","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",9000061,"acetaminophen and caffeine and codeine",9000019
"01977881","acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",9000101,"acetaminophen and caffeine and codeine",9000019
"01996568","acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",9000101,"acetaminophen and caffeine and codeine",9000019
"00816027","acetaminophen 160 mg per 5 ml and codeine phosphate 8 mg per 5 ml oral solution",NA,"acetaminophen and codeine",9000030
"01999648","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",9000054,"acetaminophen and codeine",9000030
"02232658","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",9000054,"acetaminophen and codeine",9000030
"00608882","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",9000054,"acetaminophen and codeine",9000030
"02254271","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",9000054,"acetaminophen and codeine",9000030
"00789828","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",9000054,"acetaminophen and codeine",9000030
"01999656","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",9000055,"acetaminophen and codeine",9000030
"02163918","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",9000055,"acetaminophen and codeine",9000030
"00621463","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",9000055,"acetaminophen and codeine",9000030
"02254263","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",9000055,"acetaminophen and codeine",9000030
"02242468","acetaminophen 325 mg and oxycodone (oxycodone hydrochloride) 5 mg oral tablet",9000079,"acetaminophen and oxycodone",9000054
"02245758","acetaminophen 325 mg and oxycodone (oxycodone hydrochloride) 5 mg oral tablet",9000079,"acetaminophen and oxycodone",9000054
"01916491","acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet",9000080,"acetaminophen and oxycodone",9000054
"01916475","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"01916548","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"00608165","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"02307898","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"02324628","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"02327171","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"02361361","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9000081,"acetaminophen and oxycodone",9000054
"02264846","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02336790","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02347180","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02383209","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02388197","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02388308","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02388324","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02389800","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02391554","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02401657","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02417502","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02425599","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02426803","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02429969","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02439050","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet",9000085,"acetaminophen and tramadol",9000059
"02039524","acyclovir 5 % per w/w cutaneous cream",9000360,"acyclovir",9000073
"00569771","acyclovir 5 % per w/w cutaneous ointment",9000361,"acyclovir",9000073
"00886157","acyclovir 200 mg per 5 ml oral suspension",NA,"acyclovir",9000073
"02078627","acyclovir 200 mg oral tablet",9000356,"acyclovir",9000073
"02207621","acyclovir 200 mg oral tablet",9000356,"acyclovir",9000073
"02242784","acyclovir 200 mg oral tablet",9000356,"acyclovir",9000073
"02285959","acyclovir 200 mg oral tablet",9000356,"acyclovir",9000073
"02078635","acyclovir 400 mg oral tablet",9000358,"acyclovir",9000073
"02207648","acyclovir 400 mg oral tablet",9000358,"acyclovir",9000073
"02242463","acyclovir 400 mg oral tablet",9000358,"acyclovir",9000073
"02285967","acyclovir 400 mg oral tablet",9000358,"acyclovir",9000073
"02286564","acyclovir 400 mg oral tablet",9000358,"acyclovir",9000073
"02078651","acyclovir 800 mg oral tablet",9000362,"acyclovir",9000073
"02207656","acyclovir 800 mg oral tablet",9000362,"acyclovir",9000073
"02242464","acyclovir 800 mg oral tablet",9000362,"acyclovir",9000073
