"mp_code"|"formal_description_mp"|"formal_description_tm"|"tm_code"
"01926543"|"SECTRAL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANOFI-AVENTIS CANADA INC"|"acebutolol"|9000012
"01926551"|"SECTRAL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] SANOFI-AVENTIS CANADA INC"|"acebutolol"|9000012
"01926578"|"SECTRAL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] SANOFI-AVENTIS CANADA INC"|"acebutolol"|9000012
"02147602"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] APOTEX INC"|"acebutolol"|9000012
"02147610"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] APOTEX INC"|"acebutolol"|9000012
"02147629"|"APO-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] APOTEX INC"|"acebutolol"|9000012
"02164396"|"ACEBUTOLOL-100-TAB 100MG [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] PRO DOC LIMITEE"|"acebutolol"|9000012
"02164418"|"ACEBUTOLOL-200 - TAB 200MG [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] PRO DOC LIMITEE"|"acebutolol"|9000012
"02164426"|"ACEBUTOLOL - 400 - TAB 400MG [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] PRO DOC LIMITEE"|"acebutolol"|9000012
"02204517"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] TEVA CANADA LIMITED"|"acebutolol"|9000012
"02204525"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] TEVA CANADA LIMITED"|"acebutolol"|9000012
"02204533"|"TEVA-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] TEVA CANADA LIMITED"|"acebutolol"|9000012
"02237721"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol"|9000012
"02237722"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol"|9000012
"02237723"|"MYLAN-ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol"|9000012
"02237885"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol"|9000012
"02237886"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol"|9000012
"02237887"|"MYLAN-ACEBUTOLOL (TYPE S) [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acebutolol"|9000012
