"tm_formal_name","ccdd","n_dins","n_ntps","status","tm_status_effective_time","tm_code"
"meperidine",TRUE,9,2,"active",1944-12-31,8000782
"levothyroxine",TRUE,18,2,"active",1951-12-30,8000001
"epinephrine",TRUE,13,4,"active",1951-12-31,8000003
"phenytoin sodium",TRUE,7,2,"active",1951-12-31,8000004
"phenytoin (base)",TRUE,4,2,"active",1952-12-31,8000005
"testosterone",TRUE,16,6,"active",1953-12-31,8000006
"hydrocortisone",TRUE,16,7,"active",1954-12-31,8000008
"hydroxyzine",TRUE,13,3,"active",1956-12-31,8000009
"methylphenidate",TRUE,44,3,"active",1956-12-31,8000010
"hydrocodone and phenyltoloxamine",TRUE,2,2,"active",1957-12-31,8000778
"hydroxychloroquine",TRUE,5,1,"active",1957-12-31,8000012
"warfarin",TRUE,24,1,"active",1957-12-31,8000013
"prednisone",TRUE,10,1,"active",1959-12-31,8000014
"spironolactone",TRUE,4,1,"active",1959-12-31,8000015
"medroxyprogesterone",TRUE,15,2,"active",1960-12-31,8000018
"norethindrone",TRUE,4,1,"active",1961-12-31,8000020
"conjugated estrogens",TRUE,18,4,"active",1963-12-31,8000021
"acetaminophen and caffeine and codeine",TRUE,22,1,"active",1964-12-31,8000023
"amitriptyline",TRUE,38,1,"active",1965-12-31,8000024
"betamethasone (base)",TRUE,42,7,"active",1965-12-31,8000053
"nortriptyline",TRUE,8,1,"active",1965-12-31,8000026
"azathioprine",TRUE,6,1,"active",1966-12-31,8000027
"dexamethasone (base)",TRUE,19,7,"active",1966-12-31,8000028
"quinine sulfate",TRUE,11,2,"active",1966-12-31,8000029
"triamcinolone",TRUE,16,5,"active",1966-12-31,8000030
"hydrochlorothiazide",TRUE,20,1,"active",1968-12-31,8000031
"carbamazepine",TRUE,28,4,"active",1969-12-31,8000032
"clindamycin",TRUE,27,6,"active",1970-12-31,8000036
"erythromycin",TRUE,14,5,"active",1970-12-31,8000037
"metronidazole",TRUE,14,7,"active",1970-12-31,8000038
"pentazocine",TRUE,2,2,"active",1970-12-31,8000786
"cephalexin",TRUE,21,4,"active",1971-12-31,8000040
"lithium carbonate",TRUE,11,2,"active",1971-12-31,8000041
"ibuprofen",TRUE,65,6,"active",1972-12-31,8000043
"nitroglycerin",TRUE,27,5,"active",1972-12-31,8000044
"oxycodone",TRUE,38,3,"active",1973-12-31,8000045
"allopurinol",TRUE,16,1,"active",1974-12-31,8000046
"colchicine",TRUE,4,1,"active",1974-12-31,8000047
"diazepam",TRUE,18,4,"active",1974-12-31,8000048
"ethinyl estradiol and norethindrone",TRUE,19,1,"active",1974-12-31,8000049
"nitrofurantoin",TRUE,5,2,"active",1974-12-31,8000050
"prednisolone",TRUE,10,4,"active",1974-12-31,8000051
"carbidopa and levodopa",TRUE,21,3,"active",1975-12-31,8000054
"folic acid",TRUE,7,2,"active",1975-12-31,8000055
"furosemide",TRUE,25,3,"active",1976-12-31,8000057
"acetaminophen and oxycodone",TRUE,10,1,"active",1977-12-31,8000059
"clonazepam",TRUE,38,1,"active",1977-12-31,8000061
"metoprolol",TRUE,48,3,"active",1977-12-31,8000063
"penicillin v",TRUE,4,2,"active",1977-12-31,8000064
"acetaminophen and codeine",TRUE,10,2,"active",1978-12-31,8000065
"baclofen",TRUE,26,2,"active",1978-12-31,8000066
"benztropine",TRUE,5,3,"active",1978-12-31,8000067
"codeine",TRUE,15,5,"active",1978-12-31,8000069
"morphine",TRUE,76,8,"active",1978-12-31,8000071
"valproic acid (valproate)",TRUE,5,2,"active",1978-12-31,8000072
"amoxicillin",TRUE,43,6,"active",1979-12-31,8000073
"calcitriol",TRUE,8,3,"active",1979-12-31,8000075
"nystatin",TRUE,11,5,"active",1979-12-31,8000078
"oxazepam",TRUE,18,1,"active",1979-12-31,8000079
"sulfamethoxazole and trimethoprim",TRUE,9,3,"active",1979-12-31,8000080
"timolol",TRUE,21,3,"active",1979-12-31,8000081
"diclofenac",TRUE,53,8,"active",1980-12-31,8000082
"haloperidol",TRUE,22,3,"active",1980-12-31,8000084
"indomethacin",TRUE,9,2,"active",1980-12-31,8000085
"propranolol",TRUE,19,4,"active",1980-12-31,8000086
"temazepam",TRUE,10,1,"active",1980-12-31,8000087
"alprazolam",TRUE,31,1,"active",1981-12-31,8000088
"bromazepam",TRUE,9,1,"active",1981-12-31,8000090
"flurazepam",TRUE,9,1,"active",1981-12-31,8000091
"hydrochlorothiazide and triamterene",TRUE,3,1,"active",1981-12-31,8000092
"acyclovir",TRUE,19,6,"active",1982-12-31,8000095
"indapamide",TRUE,21,1,"active",1982-12-31,8000097
"naproxen",TRUE,53,6,"active",1982-12-31,8000218
"alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate",TRUE,2,1,"active",1983-12-31,8000779
"acetylsalicylic acid and oxycodone",TRUE,1,1,"active",1984-12-31,8000774
"fusidic acid",TRUE,3,2,"active",1984-12-31,8000104
"hydromorphone",TRUE,41,7,"active",1984-12-31,8000106
"procyclidine",TRUE,3,2,"active",1984-12-31,8000107
"valproic acid (divalproex)",TRUE,24,1,"active",1984-12-31,8000108
"lorazepam",TRUE,33,3,"active",1985-12-31,8000109
"acebutolol",TRUE,20,1,"active",1986-12-31,8000110
"dexamethasone phosphate",TRUE,9,3,"active",1986-12-31,8000114
"glyburide",TRUE,17,1,"active",1986-12-31,8000115
"doxycycline",TRUE,14,4,"active",1987-12-31,8000117
"enalapril",TRUE,48,1,"active",1987-12-31,8000118
"ethinyl estradiol and levonorgestrel",TRUE,19,1,"active",1987-12-31,8000119
"ranitidine",TRUE,42,3,"active",1987-12-31,8000120
"atenolol",TRUE,44,1,"active",1988-12-31,8000121
"clotrimazole",TRUE,17,4,"active",1988-12-31,8000773
"diltiazem",TRUE,80,5,"active",1988-12-31,8000122
"nifedipine",TRUE,18,3,"active",1988-12-31,8000123
"verapamil",TRUE,28,4,"active",1988-12-31,8000124
"fentanyl",TRUE,60,4,"active",1989-12-31,8000127
"fluoxetine",TRUE,50,2,"active",1989-12-31,8000128
"metoclopramide",TRUE,7,3,"active",1989-12-31,8000130
"omeprazole",TRUE,36,2,"active",1989-12-31,8000131
"salbutamol",TRUE,32,6,"active",1989-12-31,8000132
"budesonide",TRUE,12,7,"active",1990-12-31,8000134
"clonidine",TRUE,10,1,"active",1990-12-31,8000135
"dexamethasone sodium phosphate",TRUE,2,2,"active",1990-12-31,8000137
"gliclazide",TRUE,18,2,"active",1990-12-31,8000139
"lisinopril",TRUE,48,1,"active",1990-12-31,8000140
"pravastatin",TRUE,44,1,"active",1990-12-31,8000141
