"ccdd","tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
FALSE,NA,"imipramine hydrochloride",9002199,"imipramine hydrochloride 75 mg oral tablet","00644579","IMIPRAMINE (imipramine hydrochloride 75 mg oral tablet) AA PHARMA INC"
FALSE,NA,"calcium chloride and dextrose and magnesium chloride and sodium chloride and sodium lactate",9002176,"calcium chloride 23.9 mg per 100 mL and dextrose 2.5 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL solution for haemodialysis","00799823","DIANEAL PD 101 CAPD SOLUTION W 2.5% DEXTROSE (calcium chloride 23.9 mg per 100 mL and dextrose 2.5 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL solution for haemodialysis) BAXTER CORPORATION"
FALSE,NA,"fluorouracil",9002190,"fluorouracil 50 mg per mL solution for injection","00012882","FLUOROURACIL INJECTION (fluorouracil 50 mg per mL solution for injection) SANDOZ CANADA INCORPORATED"
TRUE,8000117,"doxycycline",9000318,"doxycycline (doxycycline hyclate) 100 mg oral tablet","00860751","DOXYCIN TAB 100MG (doxycycline (doxycycline hyclate) 100 mg oral tablet) LABORATOIRE RIVA INC"
TRUE,8000084,"haloperidol",9000326,"haloperidol 5 mg per 1 mL solution for injection ampoule","00808652","HALOPERIDOL INJ 5MG/ML USP (haloperidol 5 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED"
FALSE,NA,"dextran 70 and hypromellose",9002182,"dextran 70 0.1 % and hypromellose 0.3 % ophthalmic drops","00743445","TEARS NATURALE II (dextran 70 0.1 % and hypromellose 0.3 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC"
TRUE,8000124,"verapamil",9000341,"verapamil hydrochloride 80 mg oral tablet","00782483","APO-VERAP TAB 80MG (verapamil hydrochloride 80 mg oral tablet) APOTEX INC"
TRUE,8000218,"naproxen",9000300,"naproxen sodium 275 mg oral tablet","00784354","APO-NAPRO-NA TAB 275MG (naproxen sodium 275 mg oral tablet) APOTEX INC"
TRUE,8000082,"diclofenac",9000316,"diclofenac sodium 25 mg gastro-resistant tablet","00839175","APO-DICLO (diclofenac sodium 25 mg gastro-resistant tablet) APOTEX INC"
TRUE,8000082,"diclofenac",9000146,"diclofenac sodium 50 mg gastro-resistant tablet","00839183","APO-DICLO (diclofenac sodium 50 mg gastro-resistant tablet) APOTEX INC"
FALSE,NA,"sodium chloride",9001955,"sodium chloride 900 mg per 100 mL solution for injection","00060208","SODIUM CHLORIDE 0.9% INJ 900MG/100ML USP (sodium chloride 900 mg per 100 mL solution for injection) BAXTER CORPORATION"
