"ccdd","mp_code","drug_identification_number","product_status","product_status_effective_time","brand_name","company_name","mp_formal_name","en_display","fr_display"
FALSE,"00644579","00644579","MARKETED",1989-12-31,"IMIPRAMINE","AA PHARMA INC","IMIPRAMINE (imipramine hydrochloride 75 mg oral tablet) AA PHARMA INC",NA,NA
FALSE,"00799823","00799823","MARKETED",1989-12-31,"DIANEAL PD 101 CAPD SOLUTION W 2.5% DEXTROSE","BAXTER CORPORATION","DIANEAL PD 101 CAPD SOLUTION W 2.5% DEXTROSE (calcium chloride 23.9 mg per 100 mL and dextrose 2.5 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL solution for haemodialysis) BAXTER CORPORATION",NA,NA
FALSE,"00012882","00012882","MARKETED",1989-12-31,"FLUOROURACIL INJECTION","SANDOZ CANADA INCORPORATED","FLUOROURACIL INJECTION (fluorouracil 50 mg per mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA
TRUE,"00860751","00860751","MARKETED",1989-12-31,"DOXYCIN TAB 100MG","LABORATOIRE RIVA INC","DOXYCIN TAB 100MG (doxycycline (doxycycline hyclate) 100 mg oral tablet) LABORATOIRE RIVA INC",NA,NA
TRUE,"00808652","00808652","MARKETED",1989-12-31,"HALOPERIDOL INJ 5MG/ML USP","SANDOZ CANADA INCORPORATED","HALOPERIDOL INJ 5MG/ML USP (haloperidol 5 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED",NA,NA
FALSE,"00743445","00743445","MARKETED",1989-12-31,"TEARS NATURALE II","NOVARTIS PHARMACEUTICALS CANADA INC","TEARS NATURALE II (dextran 70 0.1 % and hypromellose 0.3 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA
TRUE,"00782483","00782483","MARKETED",1989-12-31,"APO-VERAP TAB 80MG","APOTEX INC","APO-VERAP TAB 80MG (verapamil hydrochloride 80 mg oral tablet) APOTEX INC",NA,NA
TRUE,"00784354","00784354","MARKETED",1989-12-31,"APO-NAPRO-NA TAB 275MG","APOTEX INC","APO-NAPRO-NA TAB 275MG (naproxen sodium 275 mg oral tablet) APOTEX INC",NA,NA
TRUE,"00839175","00839175","MARKETED",1989-12-31,"APO-DICLO","APOTEX INC","APO-DICLO (diclofenac sodium 25 mg gastro-resistant tablet) APOTEX INC",NA,NA
TRUE,"00839183","00839183","MARKETED",1989-12-31,"APO-DICLO","APOTEX INC","APO-DICLO (diclofenac sodium 50 mg gastro-resistant tablet) APOTEX INC",NA,NA
FALSE,"00060208","00060208","MARKETED",1982-12-31,"SODIUM CHLORIDE 0.9% INJ 900MG/100ML USP","BAXTER CORPORATION","SODIUM CHLORIDE 0.9% INJ 900MG/100ML USP (sodium chloride 900 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00438049","00438049","MARKETED",1989-12-31,"(20 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION USP","BAXTER CORPORATION","(20 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION USP (dextrose 5 g per 100 mL and potassium chloride 150 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00438030","00438030","MARKETED",1989-12-31,"(40 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION USP","BAXTER CORPORATION","(40 MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE INJECTION USP (dextrose 5 g per 100 mL and potassium chloride 300 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00437999","00437999","MARKETED",1989-12-31,"(20MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP","BAXTER CORPORATION","(20MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP (dextrose 5 g per 100 mL and potassium chloride 150 mg per 100 mL and sodium chloride 450 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00438006","00438006","MARKETED",1989-12-31,"(40MMOL/L)POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP","BAXTER CORPORATION","(40MMOL/L)POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP (dextrose 5 g per 100 mL and potassium chloride 300 mg per 100 mL and sodium chloride 450 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
