"mp_code","drug_code","drug_identification_number","mp_formal_name","tm_code","ccdd"
700082,60218,"02236926","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000095,TRUE
700081,60218,"02236926","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000095,TRUE
700155,940,"00155357","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule) ERFA CANADA 2012 INC",8000003,TRUE
700156,940,"00155357","ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule) ERFA CANADA 2012 INC",8000003,TRUE
700112,71180,"02246953","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED",8000269,TRUE
700113,71180,"02246953","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED",8000269,TRUE
700110,69797,"02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",8000269,TRUE
700096,66036,"02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000269,TRUE
700111,69797,"02245696","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 300 mg per 6 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",8000269,TRUE
700097,66036,"02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000269,TRUE
700098,66036,"02242325","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000269,TRUE
700108,69385,"02245346","ANDROGEL (testosterone 1 % cutaneous gel 2.5 g sachet) BGP PHARMA ULC",8000006,TRUE
700109,69385,"02245346","ANDROGEL (testosterone 1 % cutaneous gel 5 g sachet) BGP PHARMA ULC",8000006,TRUE
700123,86244,"02376857","CALDOLOR (ibuprofen 400 mg per 4 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC",8000043,TRUE
700124,86244,"02376857","CALDOLOR (ibuprofen 800 mg per 8 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC",8000043,TRUE
700045,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700046,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700047,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700048,18964,"02139286","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) FRESENIUS KABI CANADA LTD",8000036,TRUE
700136,87133,"02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700137,87133,"02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700138,87133,"02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700075,49612,"02230540","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700074,49612,"02230540","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700071,49605,"02230535","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700072,49605,"02230535","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
700073,49605,"02230535","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) SANDOZ CANADA INCORPORATED",8000036,TRUE
