"dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"SEVOFLURANE",169,"SEVOFLURANE","SEVOFLURANE","","","sevoflurane",FALSE,"sevoflurane"
"Pomalidomide",22238,"Pomalidomide","Pomalidomide","","","pomalidomide",FALSE,"pomalidomide"
"MUPIROCIN",1832,"MUPIROCIN","MUPIROCIN","","","mupirocin",FALSE,"mupirocin"
"BENZALKONIUM CHLORIDE",197,"BENZALKONIUM CHLORIDE","BENZALKONIUM CHLORIDE","Y","BENZALKONIUM","benzalkonium",FALSE,"benzalkonium chloride"
"DARUNAVIR (DARUNAVIR ETHANOLATE)",19793,"DARUNAVIR","DARUNAVIR ETHANOLATE","","","darunavir (darunavir ethanolate)",FALSE,"darunavir (darunavir ethanolate)"
"FIMBRIAE",18,"FIMBRIAE","FIMBRIAE","","","fimbriae",FALSE,"fimbriae"
"ALFUZOSIN HYDROCHLORIDE",12699,"ALFUZOSIN HYDROCHLORIDE","ALFUZOSIN HYDROCHLORIDE","Y","ALFUZOSIN","alfuzosin",FALSE,"alfuzosin hydrochloride"
"STANDARDIZED TIMOTHY GRASS POLLEN",6333,"STANDARDIZED TIMOTHY GRASS POLLEN","STANDARDIZED TIMOTHY GRASS POLLEN","","","standardized timothy grass pollen",FALSE,"standardized timothy grass pollen"
"Grass Pollen Allergen Extract",21252,"Grass Pollen Allergen Extract","Grass Pollen Allergen Extract","","","grass pollen allergen extract",FALSE,"grass pollen allergen extract"
"CARBOPLATIN",1755,"CARBOPLATIN","CARBOPLATIN","","","carboplatin",FALSE,"carboplatin"
"TELBIVUDINE",20037,"TELBIVUDINE","TELBIVUDINE","","","telbivudine",FALSE,"telbivudine"
"ISOPROTERENOL HYDROCHLORIDE",10114,"ISOPROTERENOL HYDROCHLORIDE","ISOPROTERENOL HYDROCHLORIDE","","","isoproterenol hydrochloride",FALSE,"isoproterenol hydrochloride"
"PREDNICARBATE",7559,"PREDNICARBATE","PREDNICARBATE","","","prednicarbate",FALSE,"prednicarbate"
