"ccdd","tm_code","tm_formal_name","n_dins","n_ntps","status","tm_status_effective_time","en_display","fr_display"
TRUE,8000782,"meperidine",9,2,"active",1944-12-31,NA,NA
TRUE,8000001,"levothyroxine",18,2,"active",1951-12-30,NA,NA
TRUE,8000003,"epinephrine",14,3,"active",1951-12-31,NA,NA
TRUE,8000004,"phenytoin sodium",7,2,"active",1951-12-31,NA,NA
TRUE,8000005,"phenytoin (base)",4,2,"active",1952-12-31,NA,NA
TRUE,8000006,"testosterone",16,6,"active",1953-12-31,NA,NA
TRUE,8000008,"hydrocortisone",16,7,"active",1954-12-31,NA,NA
TRUE,8000009,"hydroxyzine",13,3,"active",1956-12-31,NA,NA
TRUE,8000010,"methylphenidate",44,3,"active",1956-12-31,NA,NA
TRUE,8000778,"hydrocodone and phenyltoloxamine",1,1,"active",1957-12-31,NA,NA
TRUE,8000012,"hydroxychloroquine",5,1,"active",1957-12-31,NA,NA
TRUE,8000013,"warfarin",24,1,"active",1957-12-31,NA,NA
TRUE,8000788,"belladonna and ergotamine and phenobarbital",1,1,"active",1959-01-01,NA,NA
TRUE,8000014,"prednisone",7,1,"active",1959-12-31,NA,NA
TRUE,8000015,"spironolactone",4,1,"active",1959-12-31,NA,NA
TRUE,8000018,"medroxyprogesterone",15,2,"active",1960-12-31,NA,NA
TRUE,8000020,"norethindrone",4,1,"active",1961-12-31,NA,NA
TRUE,8000021,"conjugated estrogens",15,4,"active",1963-12-31,NA,NA
TRUE,8000023,"acetaminophen and caffeine and codeine",22,1,"active",1964-12-31,NA,NA
TRUE,8000024,"amitriptyline",38,1,"active",1965-12-31,NA,NA
TRUE,8000053,"betamethasone (base)",42,8,"active",1965-12-31,NA,NA
TRUE,8000026,"nortriptyline",8,1,"active",1965-12-31,NA,NA
TRUE,8000027,"azathioprine",5,1,"active",1966-12-31,NA,NA
TRUE,8000028,"dexamethasone (base)",19,7,"active",1966-12-31,NA,NA
TRUE,8000029,"quinine sulfate",11,2,"active",1966-12-31,NA,NA
TRUE,8000030,"triamcinolone acetonide",17,6,"active",1966-12-31,NA,NA
TRUE,8000031,"hydrochlorothiazide",20,1,"active",1968-12-31,NA,NA
TRUE,8000032,"carbamazepine",28,4,"active",1969-12-31,NA,NA
TRUE,8000036,"clindamycin",27,6,"active",1970-12-31,NA,NA
TRUE,8000037,"erythromycin",14,5,"active",1970-12-31,NA,NA
TRUE,8000038,"metronidazole",14,7,"active",1970-12-31,NA,NA
TRUE,8000786,"pentazocine",2,2,"active",1970-12-31,NA,NA
TRUE,8000040,"cephalexin",21,3,"active",1971-12-31,NA,NA
TRUE,8000041,"lithium carbonate",11,2,"active",1971-12-31,NA,NA
TRUE,8000043,"ibuprofen",65,6,"active",1972-12-31,NA,NA
TRUE,8000044,"nitroglycerin",27,5,"active",1972-12-31,NA,NA
TRUE,8000045,"oxycodone",38,3,"active",1973-12-31,NA,NA
TRUE,8000046,"allopurinol",16,1,"active",1974-12-31,NA,NA
TRUE,8000047,"colchicine",4,1,"active",1974-12-31,NA,NA
TRUE,8000048,"diazepam",18,4,"active",1974-12-31,NA,NA
TRUE,8000049,"ethinyl estradiol and norethindrone",19,1,"active",1974-12-31,NA,NA
TRUE,8000050,"nitrofurantoin",5,2,"active",1974-12-31,NA,NA
TRUE,8000051,"prednisolone",9,2,"active",1974-12-31,NA,NA
TRUE,8000054,"carbidopa and levodopa",20,3,"active",1975-12-31,NA,NA
TRUE,8000055,"folic acid",7,2,"active",1975-12-31,NA,NA
TRUE,8000057,"furosemide",25,3,"active",1976-12-31,NA,NA
TRUE,8000061,"clonazepam",38,1,"active",1977-12-31,NA,NA
TRUE,8000063,"metoprolol",48,3,"active",1977-12-31,NA,NA
TRUE,8000064,"penicillin v",4,2,"active",1977-12-31,NA,NA
TRUE,8000065,"acetaminophen and codeine",10,2,"active",1978-12-31,NA,NA
TRUE,8000066,"baclofen",26,2,"active",1978-12-31,NA,NA
