"drug_code","drug_identification_number","mp_formal_name","ntp_formal_name","ntp_type"
74243,"022572388","LINESSA 28 (desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with  desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet with lactose oral tablet) ASPEN PHARMA TRADING LIMITED","desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with  desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet with lactose oral tablet","Combination product"
75841,"022729038","LINESSA 21 (desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with 
desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet) ASPEN PHARMA TRADING LIMITED",NA,"Combination product"
14355,"020424798","MARVELON 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) MERCK CANADA INC","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
80272,"023172068","APRI 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) TEVA CANADA LIMITED","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
88165,"023966108","FREYA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) MYLAN PHARMACEUTICALS ULC","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
89491,"024102578","MIRVALA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) APOTEX INC","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
90216,"024174648","RECLIPSEN 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) ACTAVIS PHARMA COMPANY","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
77558,"022903088","CYESTRA-35 (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) PALADIN LABS INC","cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet","Combination product"
79517,"023095568","NOVO-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) TEVA CANADA LIMITED","cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet","Combination product"
90968,"024250178","RAN-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet","Combination product"
92104,"024367368","CL�O-35 (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) ASPRI PHARMA CANADA INC","cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet","Combination product"
53444,"022335428","DIANE-35 (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) BAYER INC","cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet","Combination product"
14355,"020424798","MARVELON 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) MERCK CANADA INC","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
80272,"023172068","APRI 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) TEVA CANADA LIMITED","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
