"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code"
"penicillin v potassium 300 mg per 5 mL powder for oral solution",TRUE,2,FALSE,1977-12-31,9006198
"codeine phosphate 10 mg per 5 mL oral solution",TRUE,1,FALSE,1978-12-31,9006199
"epinephrine 0.09 mg per 0.3 mL solution for injection syringe",TRUE,1,FALSE,1980-12-31,9006200
"alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup",TRUE,2,FALSE,1983-12-31,9006201
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norethindrone 0.75 mg and norethindrone 1 mg and norethindrone 0.5 mg oral tablet",TRUE,1,TRUE,1983-12-31,9006202
"epinephrine 0.045 mg per 0.3 mL solution for injection syringe",TRUE,2,FALSE,1984-12-31,9006203
"hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial",TRUE,2,FALSE,1984-12-31,9006204
"penicillin v potassium 125 mg per 5 mL powder for oral solution",TRUE,1,FALSE,1985-12-31,9006205
"penicillin v potassium 300 mg oral tablet",TRUE,1,FALSE,1985-12-31,9006206
"codeine phosphate 25 mg per 5 mL syrup",TRUE,1,FALSE,1986-12-18,9006207
"meperidine hydrochloride 10 mg per mL solution for injection 30 mL vial",TRUE,1,FALSE,1986-12-31,9006208
"ethinyl estradiol 30 mcg and ethinyl estradiol 40 mcg and ethinyl estradiol 30 mcg and levonorgestrel 125 mcg and levonorgestrel 50 mcg and levonorgestrel 75 mcg oral tablet",TRUE,1,TRUE,1987-12-31,9006209
"ethinyl estradiol 30 mcg and ethinyl estradiol 40 mcg and ethinyl estradiol 30 mcg and levonorgestrel 50 mcg and levonorgestrel 75 mcg and levonorgestrel 125 mcg oral tablet",TRUE,1,TRUE,1987-12-31,9006210
"morphine sulfate 250 mg per 5 mL solution for injection vial",TRUE,1,FALSE,1987-12-31,9006211
"morphine sulfate 500 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1987-12-31,9006212
"morphine sulfate 50 mg per 1 mL solution for injection vial",TRUE,1,FALSE,1987-12-31,9006213
"morphine sulfate 50 mg per mL solution for injection 50 mL vial",TRUE,3,FALSE,1987-12-31,9006214
"nitroglycerin 500 mg per 10 mL solution for injection vial",TRUE,2,FALSE,1988-12-31,9006215
"dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL ophthalmic/otic drops",TRUE,1,FALSE,1989-12-31,9006216
"dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection",TRUE,1,FALSE,1990-12-31,9006217
"folic acid 50 mg per 10 mL and folic acid 50 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1990-12-31,9006218
"morphine sulfate 50 mg per mL solution for injection 20 mL vial",TRUE,1,FALSE,1990-12-31,9006219
"nitroglycerin 100 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1990-12-31,9006220
"furosemide 6250 mg per 25 mL solution for injection vial",TRUE,2,FALSE,1991-12-31,9006221
"mometasone furoate 0.1 % lotion",TRUE,2,FALSE,1991-12-31,9006222
"acetaminophen 500 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",TRUE,1,FALSE,1992-12-31,9006223
"hydrocortisone acetate 2.5 % ophthalmic ointment",TRUE,1,FALSE,1992-12-31,9006224
"morphine sulfate 10 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1992-12-31,9006225
"morphine sulfate 1 mg per mL solution for injection 50 mL vial",TRUE,2,FALSE,1992-12-31,9006226
"morphine sulfate 2 mg per 1 mL solution for injection vial",TRUE,2,FALSE,1992-12-31,9006227
"morphine sulfate 2 mg per mL solution for injection 50 mL vial",TRUE,2,FALSE,1992-12-31,9006228
"morphine sulfate 5 mg per 5 mL solution for injection vial",TRUE,2,FALSE,1992-12-31,9006229
"morphine sulfate 5 mg per mL solution for injection 30 mL vial",TRUE,1,FALSE,1992-12-31,9006230
"vitamin d3 (cholecalciferol) 10000 unit oral tablet",TRUE,4,FALSE,1992-12-31,9006231
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norgestimate 0.215 mg and norgestimate 0.25 mg and norgestimate 0.18 mg oral tablet",TRUE,1,TRUE,1993-12-31,9006232
"amoxicillin 25 mg per mL oral suspension",TRUE,1,FALSE,1994-12-31,9006233
"amoxicillin 50 mg per mL oral suspension",TRUE,1,FALSE,1994-12-31,9006234
"dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops",TRUE,1,FALSE,1994-12-31,9006235
"digoxin 1 mg per 2 mL solution for injection ampoule",TRUE,1,FALSE,1994-12-31,9006236
"epinephrine 1 mg per 1 mL solution for injection",TRUE,1,FALSE,1994-12-31,9006237
"salbutamol (salbutamol sulfate) 5 mg per mL nebuliser solution 10 mL bottle",TRUE,2,FALSE,1994-12-31,9006238
"cefprozil 125 mg per 5 mL oral suspension",TRUE,4,FALSE,1995-12-31,9006239
"cefprozil 250 mg per 5 mL oral suspension",TRUE,4,FALSE,1995-12-31,9006240
"clarithromycin 125 mg per 5 mL oral suspension",TRUE,3,FALSE,1995-12-31,9006241
"hydromorphone hydrochloride 1000 mg per 50 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9006242
"hydromorphone hydrochloride 100 mg per 5 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9006243
"hydromorphone hydrochloride 20 mg per 1 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9006244
"hydromorphone hydrochloride 50 mg per mL solution for injection 50 mL vial",TRUE,1,FALSE,1995-12-31,9006245
"mesalazine 1 g per 100 mL rectal suspension",TRUE,1,FALSE,1995-12-31,9006246
"mesalazine 4 g per 100 mL rectal suspension",TRUE,1,FALSE,1995-12-31,9006247
"nifedipine 10 mg prolonged-release oral tablet",TRUE,1,FALSE,1995-12-31,9006248
"oxybutynin chloride 5 mg per 5 mL syrup",TRUE,3,FALSE,1996-09-04,9006249
"azithromycin 100 mg per 5 mL oral suspension",TRUE,4,FALSE,1996-09-26,9006250
"azithromycin 200 mg per 5 mL oral suspension",TRUE,4,FALSE,1996-09-26,9006251
"naproxen 125 mg per 5 mL oral suspension",TRUE,1,FALSE,1996-12-31,9006252
"triamcinolone acetonide 20 mg per 1 mL suspension for injection vial",TRUE,1,FALSE,1997-01-20,9006253
"sumatriptan (sumatriptan hemisulfate) 20 mg per actuation nasal spray",TRUE,1,FALSE,1997-02-19,9006254
"sumatriptan (sumatriptan hemisulfate) 5 mg per actuation nasal spray",TRUE,1,FALSE,1997-02-19,9006255
"benztropine mesylate 2 mg per 5 mL oral solution",TRUE,1,FALSE,1997-08-20,9006256
"acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial",TRUE,1,FALSE,1998-03-18,9006257
"ciprofloxacin 500 mg per 5 mL oral suspension",TRUE,1,FALSE,1998-09-15,9006258
"mometasone furoate 50 mcg per actuation nasal spray",TRUE,3,FALSE,1998-09-15,9006259
"epinephrine racemic 2.25 % inhalation solution",TRUE,1,FALSE,1998-10-02,9006260
"amoxicillin 200 mg per 5 mL and clavulanic acid (potassium clavulanate) 28.5 mg per 5 mL oral suspension",TRUE,1,FALSE,1998-10-29,9006261
"amoxicillin 400 mg per 5 mL and clavulanic acid (potassium clavulanate) 57 mg per 5 mL oral suspension",TRUE,2,FALSE,1998-10-29,9006262
"clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial",TRUE,1,FALSE,1999-01-19,9006263
"clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial",TRUE,1,FALSE,1999-01-19,9006264
"dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per 1 mL solution for injection vial",TRUE,1,FALSE,1999-04-01,9006265
"dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial",TRUE,1,FALSE,1999-06-30,9006266
"sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL solution for injection 0.5 mL syringe",TRUE,2,FALSE,1999-08-30,9006267
"fluticasone propionate 100 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder",TRUE,1,FALSE,1999-09-24,9006268
"fluticasone propionate 250 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder",TRUE,1,FALSE,1999-09-24,9006269
"fluticasone propionate 500 mcg per actuation and salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder",TRUE,1,FALSE,1999-09-24,9006270
"meperidine hydrochloride 100 mg per mL solution for injection 20 mL vial",TRUE,1,FALSE,2000-05-01,9006271
"ranitidine (ranitidine hydrochloride) 100 mg per 2 mL solution for injection vial",TRUE,2,FALSE,2000-05-01,9006272
"doxycycline (doxycycline hyclate) 8.8 % periodontal gel",TRUE,1,FALSE,2001-01-31,9006273
"hydromorphone hydrochloride 10000 mg per 10 mL solution for injection vial",TRUE,1,FALSE,2001-12-10,9006274
"fluticasone propionate 125 mcg per actuation and salmeterol (salmeterol xinafoate) 25 mcg per actuation pressurised inhalation",TRUE,1,FALSE,2001-12-21,9006275
"fluticasone propionate 250 mcg per actuation and salmeterol (salmeterol xinafoate) 25 mcg per actuation pressurised inhalation",TRUE,1,FALSE,2001-12-21,9006276
"clarithromycin 250 mg per 5 mL oral suspension",TRUE,3,FALSE,2002-05-28,9006277
"pentazocine (pentazocine lactate) 30 mg per 1 mL solution for injection",TRUE,1,FALSE,2002-11-01,9006278
"ibuprofen 50 mg chewable tablet",TRUE,1,FALSE,2003-05-14,9006279
"ranitidine (ranitidine hydrochloride) 75 mg per 5 mL oral solution",TRUE,2,FALSE,2004-09-08,9006280
"risperidone 25 mg per vial NA",TRUE,1,FALSE,2004-09-08,9006281
"risperidone 37.5 mg per vial NA",TRUE,1,FALSE,2004-09-08,9006282
"risperidone 50 mg per vial NA",TRUE,1,FALSE,2004-09-08,9006283
"azithromycin (azithromycin hemiethanolate) 100 mg per 5 mL oral suspension",TRUE,2,FALSE,2006-04-19,9006284
"azithromycin (azithromycin hemiethanolate) 200 mg per 5 mL oral suspension",TRUE,2,FALSE,2006-04-19,9006285
"varenicline (varenicline tartrate) 0.5 mg and varenicline (varenicline tartrate) 1 mg NA",TRUE,1,FALSE,2007-10-02,9006286
"risperidone 12.5 mg per vial NA",TRUE,1,FALSE,2007-10-24,9006287
"vitamin d3 (cholecalciferol) 50000 unit oral capsule",TRUE,3,FALSE,2011-08-09,9006288
"oxybutynin chloride 10 % cutaneous gel",TRUE,1,FALSE,2011-10-27,9006289
"ibuprofen 400 mg per 4 mL solution for injection vial",TRUE,1,FALSE,2012-06-15,9006290
"ibuprofen 800 mg per 8 mL solution for injection vial",TRUE,1,FALSE,2012-06-15,9006291
"dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection",TRUE,1,FALSE,2013-05-08,9006292
"furosemide 40 mg per 2 mL solution for injection ampoule",TRUE,1,FALSE,2013-08-22,9006293
"aripiprazole 300 mg per vial NA",TRUE,1,FALSE,2014-03-27,9006294
"aripiprazole 400 mg per vial NA",TRUE,1,FALSE,2014-03-27,9006295
"vitamin d3 (cholecalciferol) 2000 unit oral capsule",TRUE,1,FALSE,2015-07-31,9006296
