"ntp_code","ntp_formal_name","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type"
"9000241","acebutolol (acebutolol hydrochloride) 100 mg oral tablet","NA","NA","Active","19861231",""
"9000242","acebutolol (acebutolol hydrochloride) 200 mg oral tablet","NA","NA","Active","19861231",""
"9000552","acebutolol (acebutolol hydrochloride) 400 mg oral tablet","NA","NA","Active","19951231",""
"9000103","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet","NA","NA","Active","19781231",""
"9000194","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet","NA","NA","Active","19841231",""
"9000371","acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution","NA","NA","Active","19911231",""
"9000094","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet","NA","NA","Active","19841231",""
"9000396","acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet","NA","NA","Active","19921231",""
"9001121","acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet","NA","NA","Active","20050722",""
"9000195","acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet","NA","NA","Active","19841231",""
"9000174","acyclovir 5 % cutaneous ointment","NA","NA","Active","19821231",""
"9000372","acyclovir 200 mg per 5 mL oral suspension","NA","NA","Active","19911231",""
"9000453","acyclovir 5 % cutaneous cream","NA","NA","Active","19931231",""
"9000502","acyclovir 800 mg oral tablet","NA","NA","Active","19941231",""
"9000501","acyclovir 400 mg oral tablet","NA","NA","Active","19941231",""
"9000500","acyclovir 200 mg oral tablet","NA","NA","Active","19941231",""
"9006257","acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial","NA","NA","Active","19980318",""
"9000800","acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial","NA","NA","Active","19980508",""
"9000799","acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial","NA","NA","Active","19980508",""
"9000777","acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection","NA","NA","Inactive","20170831",""
"9000973","alendronic acid (alendronate sodium) 70 mg oral tablet","NA","NA","Active","20020214",""
"9001025","alendronic acid (alendronate sodium) 10 mg oral tablet","NA","NA","Active","20030512",""
"9001064","alendronic acid (alendronate sodium) 5 mg oral tablet","NA","NA","Active","20031223",""
"9001113","alendronic acid (alendronate sodium) 40 mg oral tablet","NA","NA","Active","20050614",""
"9006480","alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 2800 unit oral tablet","NA","NA","Active","20060313",""
"9006487","alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 5600 unit oral tablet","NA","NA","Active","20080917",""
"9000974","alfuzosin hydrochloride 10 mg prolonged-release oral tablet","NA","NA","Active","20020221",""
"9000159","allopurinol 100 mg oral tablet","NA","NA","Active","19811231",""
"9000073","allopurinol 300 mg oral tablet","NA","NA","Active","19741231",""
"9000160","allopurinol 200 mg oral tablet","NA","NA","Active","19811231",""
"9000161","alprazolam 0.25 mg oral tablet","NA","NA","Active","19811231",""
"9000162","alprazolam 0.5 mg oral tablet","NA","NA","Active","19811231",""
"9000454","alprazolam 1 mg oral tablet","NA","NA","Active","19931231",""
"9000455","alprazolam 2 mg oral tablet","NA","NA","Active","19931231",""
"9000840","amiodarone hydrochloride 200 mg oral tablet","NA","NA","Active","19990329",""
"9000909","amiodarone hydrochloride 150 mg per 3 mL solution for injection vial","NA","NA","Active","20000614",""
"9000910","amiodarone hydrochloride 450 mg per 9 mL solution for injection vial","NA","NA","Active","20000614",""
"9000911","amiodarone hydrochloride 900 mg per 18 mL solution for injection vial","NA","NA","Active","20000614",""
"9000998","amiodarone hydrochloride 300 mg per 6 mL solution for injection vial","NA","NA","Active","20020829",""
"9001194","amiodarone hydrochloride 100 mg oral tablet","NA","NA","Active","20070403",""
"9001448","amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe","NA","NA","Active","20150812",""
"9000033","amitriptyline hydrochloride 10 mg oral tablet","NA","NA","Active","19651231",""
"9000056","amitriptyline hydrochloride 25 mg oral tablet","NA","NA","Active","19721231",""
"9000046","amitriptyline hydrochloride 50 mg oral tablet","NA","NA","Active","19691231",""
"9000114","amitriptyline hydrochloride 75 mg oral tablet","NA","NA","Active","19791231",""
