"mp_code","drug_identification_number","product_status","product_status_effective_time","brand_name","company_name","mp_formal_name","en_display","fr_display"
"01926543","01926543","MARKETED",1986-12-31,"SECTRAL","SANOFI-AVENTIS CANADA INC","SECTRAL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) SANOFI-AVENTIS CANADA INC",NA,NA
"01926551","01926551","MARKETED",1986-12-31,"SECTRAL","SANOFI-AVENTIS CANADA INC","SECTRAL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) SANOFI-AVENTIS CANADA INC",NA,NA
"02147602","02147602","MARKETED",1995-12-31,"APO-ACEBUTOLOL","APOTEX INC","APO-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) APOTEX INC",NA,NA
"02147610","02147610","MARKETED",1995-12-31,"APO-ACEBUTOLOL","APOTEX INC","APO-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) APOTEX INC",NA,NA
"02147629","02147629","MARKETED",1995-12-31,"APO-ACEBUTOLOL","APOTEX INC","APO-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) APOTEX INC",NA,NA
"02164396","02164396","MARKETED",1996-12-31,"ACEBUTOLOL-100-TAB 100MG","PRO DOC LIMITEE","ACEBUTOLOL-100-TAB 100MG (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) PRO DOC LIMITEE",NA,NA
"02164418","02164418","MARKETED",1996-12-31,"ACEBUTOLOL-200 - TAB 200MG","PRO DOC LIMITEE","ACEBUTOLOL-200 - TAB 200MG (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) PRO DOC LIMITEE",NA,NA
"02164426","02164426","MARKETED",1996-12-31,"ACEBUTOLOL - 400 - TAB 400MG","PRO DOC LIMITEE","ACEBUTOLOL - 400 - TAB 400MG (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) PRO DOC LIMITEE",NA,NA
"02204517","02204517","MARKETED",1996-08-16,"TEVA-ACEBUTOLOL","TEVA CANADA LIMITED","TEVA-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) TEVA CANADA LIMITED",NA,NA
"02204525","02204525","MARKETED",1996-08-16,"TEVA-ACEBUTOLOL","TEVA CANADA LIMITED","TEVA-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) TEVA CANADA LIMITED",NA,NA
"02204533","02204533","MARKETED",1996-08-16,"TEVA-ACEBUTOLOL","TEVA CANADA LIMITED","TEVA-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) TEVA CANADA LIMITED",NA,NA
"02237721","02237721","MARKETED",1998-04-06,"MYLAN-ACEBUTOLOL","MYLAN PHARMACEUTICALS ULC","MYLAN-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA
"02237722","02237722","MARKETED",1998-04-06,"MYLAN-ACEBUTOLOL","MYLAN PHARMACEUTICALS ULC","MYLAN-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA
"02237723","02237723","MARKETED",1998-04-06,"MYLAN-ACEBUTOLOL","MYLAN PHARMACEUTICALS ULC","MYLAN-ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA
"02237885","02237885","MARKETED",1998-09-16,"MYLAN-ACEBUTOLOL (TYPE S)","MYLAN PHARMACEUTICALS ULC","MYLAN-ACEBUTOLOL (TYPE S) (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA
"02237886","02237886","MARKETED",1998-09-16,"MYLAN-ACEBUTOLOL (TYPE S)","MYLAN PHARMACEUTICALS ULC","MYLAN-ACEBUTOLOL (TYPE S) (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA
"02237887","02237887","MARKETED",1998-09-16,"MYLAN-ACEBUTOLOL (TYPE S)","MYLAN PHARMACEUTICALS ULC","MYLAN-ACEBUTOLOL (TYPE S) (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA
"02286246","02286246","MARKETED",2010-02-25,"ACEBUTOLOL","SANIS HEALTH INC","ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 100 mg oral tablet) SANIS HEALTH INC",NA,NA
"02286254","02286254","MARKETED",2010-02-25,"ACEBUTOLOL","SANIS HEALTH INC","ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 200 mg oral tablet) SANIS HEALTH INC",NA,NA
"02286262","02286262","MARKETED",2010-02-25,"ACEBUTOLOL","SANIS HEALTH INC","ACEBUTOLOL (acebutolol (acebutolol hydrochloride) 400 mg oral tablet) SANIS HEALTH INC",NA,NA
"00621463","00621463","MARKETED",1986-12-31,"RATIO-LENOLTEC NO 4","TEVA CANADA LIMITED","RATIO-LENOLTEC NO 4 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) TEVA CANADA LIMITED",NA,NA
"00789828","00789828","MARKETED",1989-12-31,"TRIATEC-30","LABORATOIRE RIVA INC","TRIATEC-30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) LABORATOIRE RIVA INC",NA,NA
"00608882","00608882","MARKETED",1984-12-31,"TEVA-EMTEC-30","TEVA CANADA LIMITED","TEVA-EMTEC-30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) TEVA CANADA LIMITED",NA,NA
"00816027","00816027","MARKETED",1991-12-31,"PMS-ACETAMINOPHEN W CODEINE ELIXIR","PHARMASCIENCE INC","PMS-ACETAMINOPHEN W CODEINE ELIXIR (acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution) PHARMASCIENCE INC",NA,NA
"01999648","01999648","MARKETED",1994-12-31,"ACET CODEINE 30","PHARMASCIENCE INC","ACET CODEINE 30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) PHARMASCIENCE INC",NA,NA
"01999656","01999656","MARKETED",1994-12-31,"ACET CODEINE 60","PHARMASCIENCE INC","ACET CODEINE 60 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) PHARMASCIENCE INC",NA,NA
"02163918","02163918","MARKETED",1978-12-31,"TYLENOL WITH CODEINE NO. 4","JANSSEN INC","TYLENOL WITH CODEINE NO. 4 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) JANSSEN INC",NA,NA
"02232658","02232658","MARKETED",2009-02-24,"PROCET-30","PRO DOC LIMITEE","PROCET-30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) PRO DOC LIMITEE",NA,NA
"02254263","02254263","MARKETED",2004-07-22,"PHL-ACET-CODEINE 60","PHARMEL INC","PHL-ACET-CODEINE 60 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) PHARMEL INC",NA,NA
"02254271","02254271","MARKETED",2004-07-22,"PHL-ACET-CODEINE 30","PHARMEL INC","PHL-ACET-CODEINE 30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) PHARMEL INC",NA,NA
