"mp_code","drug_identification_number","brand_name","company_name","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time"
"02311313","02311313","RATIO-RIVASTIGMINE","TEVA CANADA LIMITED","RATIO-RIVASTIGMINE (rivastigmine (rivastigmine hydrogen tartrate) 6 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"inactive",2017-09-01
"02311305","02311305","RATIO-RIVASTIGMINE","TEVA CANADA LIMITED","RATIO-RIVASTIGMINE (rivastigmine (rivastigmine hydrogen tartrate) 4.5 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"inactive",2017-09-01
"700174","02417626","METHOTREXATE INJECTION, USP","MYLAN PHARMACEUTICALS ULC","METHOTREXATE INJECTION, USP (methotrexate (methotrexate sodium) 1000 mg per 40 mL solution for injection vial) MYLAN PHARMACEUTICALS ULC",NA,NA,"inactive",2017-08-11
"700173","02417626","METHOTREXATE INJECTION, USP","MYLAN PHARMACEUTICALS ULC","METHOTREXATE INJECTION, USP (methotrexate (methotrexate sodium) 50 mg per 2 mL solution for injection vial) MYLAN PHARMACEUTICALS ULC",NA,NA,"inactive",2017-08-11
"700171","02417464","RECLIPSEN 28","ACTAVIS PHARMA COMPANY","RECLIPSEN 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) ACTAVIS PHARMA COMPANY",NA,NA,"inactive",2017-08-25
"02403102","02403102","RAN-OLANZAPINE","RANBAXY PHARMACEUTICALS CANADA INC.","RAN-OLANZAPINE (olanzapine 15 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.",NA,NA,"inactive",2017-07-19
"00750050","00750050","RATIO-ECTOSONE REGULAR LOTION 0.1%","TEVA CANADA LIMITED","RATIO-ECTOSONE REGULAR LOTION 0.1% (betamethasone (betamethasone valerate) 0.1 % lotion) TEVA CANADA LIMITED",NA,NA,"active",1987-12-31
"02396246","02396246","RAN-TELMISARTAN HCTZ","RANBAXY PHARMACEUTICALS CANADA INC.","RAN-TELMISARTAN HCTZ (hydrochlorothiazide 25 mg and telmisartan 80 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.",NA,NA,"inactive",2017-07-19
"02396238","02396238","RAN-TELMISARTAN HCTZ","RANBAXY PHARMACEUTICALS CANADA INC.","RAN-TELMISARTAN HCTZ (hydrochlorothiazide 12.5 mg and telmisartan 80 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.",NA,NA,"inactive",2017-07-19
"02243089","02243089","ZYPREXA ZYDIS","ELI LILLY CANADA INC","ZYPREXA ZYDIS (olanzapine 20 mg orodispersible tablet) ELI LILLY CANADA INC",NA,NA,"active",2007-01-02
"02243433","02243433","APO-DICLO RAPIDE 50 MG TABLETS","APOTEX INC","APO-DICLO RAPIDE 50 MG TABLETS (diclofenac potassium 50 mg oral tablet) APOTEX INC",NA,NA,"active",2001-05-25
"02393271","02393271","ACT TELMISARTAN/HCT","ACTAVIS PHARMA COMPANY","ACT TELMISARTAN/HCT (hydrochlorothiazide 25 mg and telmisartan 80 mg oral tablet) ACTAVIS PHARMA COMPANY",NA,NA,"inactive",2017-08-25
"700169","02385716","CLINDAMYCIN INJECTION SDZ","SANDOZ CANADA INCORPORATED","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"02437007","02437007","MINT-OLANZAPINE ODT","MINT PHARMACEUTICALS INC","MINT-OLANZAPINE ODT (olanzapine 20 mg orodispersible tablet) MINT PHARMACEUTICALS INC",NA,NA,"active",2015-03-18
"700168","02385716","CLINDAMYCIN INJECTION SDZ","SANDOZ CANADA INCORPORATED","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"02379635","02379635","SEPTA-CIPROFLOXACIN","SEPTA PHARMACEUTICALS INC","SEPTA-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 500 mg oral tablet) SEPTA PHARMACEUTICALS INC",NA,NA,"inactive",2017-07-24
"02379627","02379627","SEPTA-CIPROFLOXACIN","SEPTA PHARMACEUTICALS INC","SEPTA-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet) SEPTA PHARMACEUTICALS INC",NA,NA,"inactive",2017-07-24
"700166","02376857","CALDOLOR","ALVEDA PHARMACEUTICALS INC","CALDOLOR (ibuprofen 400 mg per 4 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC",NA,NA,"inactive",2017-08-28
"02386844","02386844","CO FENTANYL","COBALT PHARMACEUTICALS COMPANY","CO FENTANYL (fentanyl 12 mcg per hour transdermal patch) COBALT PHARMACEUTICALS COMPANY",NA,NA,"inactive",2017-08-25
"02386119","02386119","CIPROFLOXACIN","SIVEM PHARMACEUTICALS ULC","CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet) SIVEM PHARMACEUTICALS ULC",NA,NA,"active",2012-06-12
"02305984","02305984","NOVO-RIVASTIGMINE","NOVOPHARM LIMITED","NOVO-RIVASTIGMINE (rivastigmine (rivastigmine hydrogen tartrate) 1.5 mg oral capsule) NOVOPHARM LIMITED",NA,NA,"inactive",2017-08-25
"02304546","02304546","CIPROFLOXACIN INTRAVENOUS INFUSION, BP","APOTEX INC","CIPROFLOXACIN INTRAVENOUS INFUSION, BP (ciprofloxacin 2 mg per mL solution for injection) APOTEX INC",NA,NA,"inactive",2017-08-22
"02301296","02301296","CIPROFLOXACIN INJECTION","CLARIS PHARMASERVICES","CIPROFLOXACIN INJECTION (ciprofloxacin (ciprofloxacin lactate) 2 mg per mL solution for injection) CLARIS PHARMASERVICES",NA,NA,"inactive",2017-08-29
"02300141","02300141","TARO-ENALAPRIL","TARO PHARMACEUTICALS INC","TARO-ENALAPRIL (enalapril sodium 16 mg oral tablet) TARO PHARMACEUTICALS INC",NA,NA,"inactive",2017-08-10
"02351439","02351439","FUROSEMIDE","SANIS HEALTH INC","FUROSEMIDE (furosemide 40 mg oral tablet) SANIS HEALTH INC",NA,NA,"active",2010-06-15
"02300125","02300125","TARO-ENALAPRIL","TARO PHARMACEUTICALS INC","TARO-ENALAPRIL (enalapril sodium 4 mg oral tablet) TARO PHARMACEUTICALS INC",NA,NA,"inactive",2017-08-10
"02300117","02300117","TARO-ENALAPRIL","TARO PHARMACEUTICALS INC","TARO-ENALAPRIL (enalapril sodium 2 mg oral tablet) TARO PHARMACEUTICALS INC",NA,NA,"inactive",2017-08-10
"02434571","02434571","DICLOFENAC TOPICAL SOLUTION","STERIMAX INC","DICLOFENAC TOPICAL SOLUTION (diclofenac sodium 1.5 % cutaneous solution) STERIMAX INC",NA,NA,"active",2015-11-23
"00742554","00742554","ISOPTIN SR","BGP PHARMA ULC","ISOPTIN SR (verapamil hydrochloride 240 mg prolonged-release oral tablet) BGP PHARMA ULC",NA,NA,"active",1988-12-31
"02237420","02237420","ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE","PHARMASCIENCE INC","ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"700129","00565040","FUROSEMIDE INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","FUROSEMIDE INJECTION USP (furosemide 20 mg per 2 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"02231678","02231678","APO-SALVENT STERULES","APOTEX INC","APO-SALVENT STERULES (salbutamol (salbutamol sulfate) 5 mg per 2.5 mL inhalation solution unit dose vial) APOTEX INC",NA,NA,"inactive",2017-08-22
"02300133","02300133","TARO-ENALAPRIL","TARO PHARMACEUTICALS INC","TARO-ENALAPRIL (enalapril sodium 8 mg oral tablet) TARO PHARMACEUTICALS INC",NA,NA,"inactive",2017-08-10
"02297566","02297566","AZITHROMYCIN FOR INJECTION","TEVA CANADA LIMITED","AZITHROMYCIN FOR INJECTION (azithromycin (azithromycin hydrogen citrate) 500 mg per vial powder for solution for injection) TEVA CANADA LIMITED",NA,NA,"inactive",2017-09-01
"02028174","02028174","ACETAMINOPHEN, CAFFEINE & CODEINE","PHARMASCIENCE INC","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC",NA,NA,"active",1993-12-31
"02441020","02441020","APO-DICLOFENAC OPHTHALMIC","APOTEX INC","APO-DICLOFENAC OPHTHALMIC (diclofenac sodium 0.1 % ophthalmic drops) APOTEX INC",NA,NA,"active",2015-09-01
"02351447","02351447","FUROSEMIDE","SANIS HEALTH INC","FUROSEMIDE (furosemide 80 mg oral tablet) SANIS HEALTH INC",NA,NA,"active",2010-06-15
"02042487","02042487","MARVELON 21","MERCK CANADA INC","MARVELON 21 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) MERCK CANADA INC",NA,NA,"active",1993-12-31
"02256789","02256789","CIPROFLOXACIN INJECTION USP","SANDOZ CANADA INCORPORATED","CIPROFLOXACIN INJECTION USP (ciprofloxacin 10 mg per mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"02238171","02238171","MYLAN-AMOXICILLIN","MYLAN PHARMACEUTICALS ULC","MYLAN-AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 250 mg oral capsule) MYLAN PHARMACEUTICALS ULC",NA,NA,"active",1998-06-18
"02251299","02251299","DOM-CIPROFLOXACIN","DOMINION PHARMACAL","DOM-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet) DOMINION PHARMACAL",NA,NA,"inactive",2017-08-21
"02251272","02251272","DOM-CIPROFLOXACIN","DOMINION PHARMACAL","DOM-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet) DOMINION PHARMACAL",NA,NA,"inactive",2017-08-21
"02251256","02251256","RIVA-CIPROFLOXACIN","LABORATOIRE RIVA INC","RIVA-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet) LABORATOIRE RIVA INC",NA,NA,"inactive",2017-07-07
"02251221","02251221","RIVA-CIPROFLOXACIN","LABORATOIRE RIVA INC","RIVA-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet) LABORATOIRE RIVA INC",NA,NA,"inactive",2017-07-07
"02445824","02445824","INDAPAMIDE","SANIS HEALTH INC","INDAPAMIDE (indapamide 1.25 mg oral tablet) SANIS HEALTH INC",NA,NA,"inactive",2017-08-02
"02247423","02247423","APO-AZITHROMYCIN","APOTEX INC","APO-AZITHROMYCIN (azithromycin (azithromycin isopropanolate monohydrate) 250 mg oral tablet) APOTEX INC",NA,NA,"inactive",2017-08-22
"700092","02317206","APRI 28","TEVA CANADA LIMITED","APRI 28 (desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet) TEVA CANADA LIMITED",NA,NA,"active",2008-09-29
"02246895","02246895","APO-VERAP SR","APOTEX INC","APO-VERAP SR (verapamil hydrochloride 240 mg prolonged-release oral tablet) APOTEX INC",NA,NA,"inactive",2017-08-22
"02246894","02246894","APO-VERAP SR","APOTEX INC","APO-VERAP SR (verapamil hydrochloride 180 mg prolonged-release oral tablet) APOTEX INC",NA,NA,"inactive",2017-08-22
"02246827","02246827","RATIO-CIPROFLOXACIN","TEVA CANADA LIMITED","RATIO-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"inactive",2017-09-01
"02246826","02246826","RATIO-CIPROFLOXACIN","TEVA CANADA LIMITED","RATIO-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 500 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"inactive",2017-09-01
"02246083","02246083","IPRAVENT","AA PHARMA INC","IPRAVENT (ipratropium bromide 0.03 % nasal spray) AA PHARMA INC",NA,NA,"inactive",2017-08-01
"02395363","02395363","TELMISARTAN/HCTZ","SANIS HEALTH INC","TELMISARTAN/HCTZ (hydrochlorothiazide 25 mg and telmisartan 80 mg oral tablet) SANIS HEALTH INC",NA,NA,"active",2012-11-12
"02242006","02242006","DEMEROL 100 MG/ML","HOSPIRA HEALTHCARE CORPORATION","DEMEROL 100 MG/ML (meperidine hydrochloride 100 mg per mL solution for injection 20 mL vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"02242004","02242004","DEMEROL 75 MG/ML","HOSPIRA HEALTHCARE CORPORATION","DEMEROL 75 MG/ML (meperidine hydrochloride 75 mg per mL solution for injection) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"02240684","02240684","RATIO-DEXAMETHASONE","TEVA CANADA LIMITED","RATIO-DEXAMETHASONE (dexamethasone 0.5 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"inactive",2017-09-01
"02239639","02239639","HALOPERIDOL-LA OMEGA","OMEGA LABORATORIES LTD","HALOPERIDOL-LA OMEGA (haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial) OMEGA LABORATORIES LTD",NA,NA,"inactive",2017-08-11
"02239534","02239534","DOM-DEXAMETHASONE TABLET 4MG","DOMINION PHARMACAL","DOM-DEXAMETHASONE TABLET 4MG (dexamethasone 4 mg oral tablet) DOMINION PHARMACAL",NA,NA,"inactive",2017-08-21
"700133","00622133","DILAUDID HP","PURDUE PHARMA","DILAUDID HP (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) PURDUE PHARMA",NA,NA,"inactive",2017-07-28
"02408023","02408023","FENTORA","TEVA CANADA LIMITED","FENTORA (fentanyl (fentanyl citrate) 400 mcg buccal tablet) TEVA CANADA LIMITED",NA,NA,"active",2014-05-14
"02231662","02231662","DOM-DICLOFENAC","DOMINION PHARMACAL","DOM-DICLOFENAC (diclofenac sodium 25 mg gastro-resistant tablet) DOMINION PHARMACAL",NA,NA,"inactive",2017-08-21
"02231502","02231502","PMS-DICLOFENAC","PHARMASCIENCE INC","PMS-DICLOFENAC (diclofenac sodium 25 mg gastro-resistant tablet) PHARMASCIENCE INC",NA,NA,"inactive",2017-09-29
"02231143","02231143","ZITHROMAX 600MG","PFIZER CANADA INC","ZITHROMAX 600MG (azithromycin 600 mg oral tablet) PFIZER CANADA INC",NA,NA,"inactive",2017-08-16
"00654523","00654523","PMS-AMITRIPTYLINE","PHARMASCIENCE INC","PMS-AMITRIPTYLINE (amitriptyline hydrochloride 10 mg oral tablet) PHARMASCIENCE INC",NA,NA,"active",1988-12-31
"700163","02230708","PMS-HALOPERIDOL-LA","PHARMASCIENCE INC","PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"700162","02230708","PMS-HALOPERIDOL-LA","PHARMASCIENCE INC","PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"02231089","02231089","APO-OXYBUTYNIN","APOTEX INC","APO-OXYBUTYNIN (oxybutynin chloride 5 mg per 5 mL syrup) APOTEX INC",NA,NA,"inactive",2017-08-22
"02364220","02364220","ABSTRAL","PALADIN LABS INC","ABSTRAL (fentanyl (fentanyl citrate) 800 mcg sublingual tablet) PALADIN LABS INC",NA,NA,"active",2011-06-03
"02257238","02257238","LINESSA 28","ASPEN PHARMA TRADING LIMITED","LINESSA 28 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet) ASPEN PHARMA TRADING LIMITED",NA,NA,"active",2006-06-13
"02137267","02137267","MORPHINE SULPHATE INJECTION 50MG/ML","HOSPIRA HEALTHCARE CORPORATION","MORPHINE SULPHATE INJECTION 50MG/ML (morphine sulfate 50 mg per mL solution for injection 50 mL vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"02137240","02137240","MORPHINE SULPHATE INJECTION 2MG/ML","HOSPIRA HEALTHCARE CORPORATION","MORPHINE SULPHATE INJECTION 2MG/ML (morphine sulfate 2 mg per mL solution for injection 50 mL vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"700159","02137232","MORPHINE SULPHATE INJECTION 1MG/ML","HOSPIRA HEALTHCARE CORPORATION","MORPHINE SULPHATE INJECTION 1MG/ML (morphine sulfate 1 mg per mL solution for injection 50 mL vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
