"ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name"
9006576,NA,NA,"active",2017-03-23,NA,"propranolol (propranolol hydrochloride) 3.75 mg per mL oral solution"
9006575,NA,NA,"active",2016-04-05,NA,"betamethasone valerate 0.1 % cutaneous patch"
9006574,NA,NA,"active",2014-03-24,"comb","ethinyl estradiol 100 mcg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 100 mcg oral tablet with lactose oral tablet"
9006573,NA,NA,"active",2011-04-18,"comb","ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol100 mcg oral tablet"
9006571,NA,NA,"active",2007-10-02,"comb","varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet"
9006570,NA,NA,"active",2007-08-14,NA,"ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet"
9006569,NA,NA,"active",2006-06-13,"comb","desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet"
9006568,NA,NA,"active",2006-06-13,"comb","desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet"
9006566,NA,NA,"active",2005-01-27,"comb","ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet"
9006565,NA,NA,"active",2004-12-22,NA,"drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet"
9006564,NA,NA,"active",2004-12-22,NA,"drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet"
9006562,NA,NA,"active",2003-12-24,NA,"ethinyl estradiol 35 mcg per 24 hours and norelgestromin 20 mcg per 24 hours transdermal patch"
9006560,NA,NA,"active",2003-06-24,NA,"moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bag"
9006559,NA,NA,"active",2002-11-01,NA,"pentazocine (pentazocine lactate) 30 mg per 1 mL solution for injection ampoule"
9006558,NA,NA,"active",2001-12-20,NA,"azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection"
9006557,NA,NA,"active",1998-01-07,NA,"ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet"
9006556,NA,NA,"active",1997-02-25,NA,"metoclopramide hydrochloride 5 mg per 5 mL oral solution"
9006555,NA,NA,"active",1996-08-14,"comb","ethinyl estradiol 35 mcg and norethindrone 1mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet"
9006554,NA,NA,"active",1996-08-14,"comb","ethinyl estradiol 35 mcg and norethindrone 1mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet"
9006552,NA,NA,"active",1993-12-31,"comb","ethinyl estradiol 35 mcg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet"
9006550,NA,NA,"active",1993-12-31,NA,"desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral table"
9006549,NA,NA,"active",1992-12-31,NA,"ethinyl estradiol 35 mcg and norgestimate 250 mcg with lactose oral tablet"
9006548,NA,NA,"active",1992-12-31,NA,"ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet"
9006546,NA,NA,"active",1987-12-31,"comb","ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and norgestimate 750 mcg oral tablet with ethinyl estradiol 30 mcg and norgestimate 125 mcg oral tablet with lactose oral tablet"
9006545,NA,NA,"active",1987-12-31,"comb","ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and norgestimate 750 mcg oral tablet with ethinyl estradiol 30 mcg and norgestimate 125 mcg oral tablet"
9006543,NA,NA,"active",1983-12-31,"comb","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet"
9006541,NA,NA,"active",1980-12-31,NA,"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet"
9006539,NA,NA,"active",1976-12-31,NA,"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet"
