"ccdd","tm_code","tm_formal_name","n_dins","n_ntps","tm_status","tm_status_effective_time"
TRUE,8000782,"meperidine",9,2,"active","19441231"
TRUE,8000001,"levothyroxine",18,2,"active","19511230"
TRUE,8000003,"epinephrine",13,3,"active","19511231"
TRUE,8000004,"phenytoin sodium",7,2,"active","19511231"
TRUE,8000005,"phenytoin (base)",4,2,"active","19521231"
TRUE,8000006,"testosterone",16,6,"active","19531231"
TRUE,8000008,"hydrocortisone",16,7,"active","19541231"
TRUE,8000009,"hydroxyzine",13,3,"active","19561231"
TRUE,8000010,"methylphenidate",41,3,"active","19561231"
TRUE,8000778,"hydrocodone and phenyltoloxamine",2,2,"active","19571231"
TRUE,8000012,"hydroxychloroquine",5,1,"active","19571231"
TRUE,8000013,"warfarin",24,1,"active","19571231"
TRUE,8000788,"belladonna and ergotamine and phenobarbital",1,1,"active","19590101"
TRUE,8000014,"prednisone",7,1,"active","19591231"
TRUE,8000015,"spironolactone",4,1,"active","19591231"
TRUE,8000018,"medroxyprogesterone",15,2,"active","19601231"
TRUE,8000020,"norethindrone",4,1,"active","19611231"
TRUE,8000021,"conjugated estrogens",18,4,"active","19631231"
TRUE,8000023,"acetaminophen and caffeine and codeine",22,1,"active","19641231"
TRUE,8000024,"amitriptyline",38,1,"active","19651231"
TRUE,8000794,"betamethasone acetate and betamethasone (base)",2,1,"active","19651231"
TRUE,8000026,"nortriptyline",8,1,"active","19651231"
TRUE,8000027,"azathioprine",7,2,"active","19661231"
TRUE,8000028,"dexamethasone (base)",15,6,"active","19661231"
TRUE,8000029,"quinine sulfate",11,2,"active","19661231"
TRUE,8000030,"triamcinolone acetonide",16,5,"active","19661231"
TRUE,8000031,"hydrochlorothiazide",20,1,"active","19681231"
TRUE,8000032,"carbamazepine",28,4,"active","19691231"
TRUE,8000036,"clindamycin",27,6,"active","19701231"
TRUE,8000037,"erythromycin",14,5,"active","19701231"
TRUE,8000038,"metronidazole",14,7,"active","19701231"
TRUE,8000786,"pentazocine",2,2,"active","19701231"
TRUE,8000040,"cephalexin",21,3,"active","19711231"
TRUE,8000041,"lithium carbonate",11,2,"active","19711231"
TRUE,8000043,"ibuprofen",65,6,"active","19721231"
TRUE,8000044,"nitroglycerin",27,5,"active","19721231"
TRUE,8000045,"oxycodone",38,3,"active","19731231"
TRUE,8000046,"allopurinol",16,1,"active","19741231"
TRUE,8000047,"colchicine",4,1,"active","19741231"
TRUE,8000048,"diazepam",18,4,"active","19741231"
TRUE,8000049,"ethinyl estradiol and norethindrone",19,1,"active","19741231"
TRUE,8000050,"nitrofurantoin",5,2,"active","19741231"
TRUE,8000051,"prednisolone",10,2,"active","19741231"
TRUE,8000791,"betamethasone dipropionate",20,3,"active","19751231"
TRUE,8000054,"carbidopa and levodopa",20,3,"active","19751231"
TRUE,8000055,"folic acid",7,2,"active","19751231"
TRUE,8000057,"furosemide",25,3,"active","19761231"
TRUE,8000059,"acetaminophen and oxycodone",10,1,"active","19771231"
TRUE,8000061,"clonazepam",34,1,"active","19771231"
TRUE,8000063,"metoprolol",48,3,"active","19771231"
TRUE,8000064,"penicillin v",4,2,"active","19771231"
TRUE,8000065,"acetaminophen and codeine",8,2,"active","19781231"
TRUE,8000066,"baclofen",24,2,"active","19781231"
TRUE,8000067,"benztropine",5,3,"active","19781231"
TRUE,8000069,"codeine",15,5,"active","19781231"
TRUE,8000071,"morphine",76,8,"active","19781231"
TRUE,8000072,"valproic acid (valproate)",4,2,"active","19781231"
TRUE,8000073,"amoxicillin",35,4,"active","19791231"
TRUE,8000792,"betamethasone valerate",19,5,"active","19791231"
TRUE,8000075,"calcitriol",8,3,"active","19791231"
TRUE,8000078,"nystatin",11,4,"active","19791231"
TRUE,8000079,"oxazepam",18,1,"active","19791231"
TRUE,8000080,"sulfamethoxazole and trimethoprim",9,3,"active","19791231"
TRUE,8000081,"timolol",21,3,"active","19791231"
TRUE,8000082,"diclofenac",53,8,"active","19801231"
TRUE,8000084,"haloperidol",22,3,"active","19801231"
TRUE,8000085,"indomethacin",9,2,"active","19801231"
TRUE,8000086,"propranolol",19,4,"active","19801231"
TRUE,8000087,"temazepam",10,1,"active","19801231"
TRUE,8000088,"alprazolam",31,1,"active","19811231"
TRUE,8000090,"bromazepam",9,1,"active","19811231"
TRUE,8000091,"flurazepam",9,1,"active","19811231"
TRUE,8000092,"hydrochlorothiazide and triamterene",3,1,"active","19811231"
TRUE,8000095,"acyclovir",19,6,"active","19821231"
TRUE,8000097,"indapamide",19,1,"active","19821231"
TRUE,8000218,"naproxen",54,6,"active","19821231"
TRUE,8000779,"alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate",2,1,"active","19831231"
TRUE,8000774,"acetylsalicylic acid and oxycodone",1,1,"active","19841231"
TRUE,8000104,"fusidic acid",4,3,"active","19841231"
TRUE,8000106,"hydromorphone",41,7,"active","19841231"
TRUE,8000107,"procyclidine",3,2,"active","19841231"
TRUE,8000108,"valproic acid (divalproex)",22,1,"active","19841231"
TRUE,8000109,"lorazepam",30,3,"active","19851231"
TRUE,8000110,"acebutolol",20,1,"active","19861231"
TRUE,8000114,"dexamethasone phosphate",8,2,"active","19861231"
TRUE,8000115,"glyburide",17,1,"active","19861231"
TRUE,8000117,"doxycycline",14,4,"active","19871231"
TRUE,8000118,"enalapril",48,1,"active","19871231"
TRUE,8000119,"ethinyl estradiol and levonorgestrel",21,1,"active","19871231"
TRUE,8000120,"ranitidine",40,3,"active","19871231"
TRUE,8000121,"atenolol",44,1,"active","19881231"
TRUE,8000773,"clotrimazole",17,4,"active","19881231"
TRUE,8000122,"diltiazem",80,5,"active","19881231"
TRUE,8000123,"nifedipine",18,2,"active","19881231"
TRUE,8000124,"verapamil",25,4,"active","19881231"
TRUE,8000127,"fentanyl",60,4,"active","19891231"
TRUE,8000128,"fluoxetine",47,2,"active","19891231"
TRUE,8000130,"metoclopramide",7,3,"active","19891231"
TRUE,8000131,"omeprazole",34,2,"active","19891231"
TRUE,8000132,"salbutamol",29,7,"active","19891231"
TRUE,8000134,"budesonide",12,6,"active","19901231"
TRUE,8000135,"clonidine",10,1,"active","19901231"
TRUE,8000139,"gliclazide",18,2,"active","19901231"
TRUE,8000140,"lisinopril",48,1,"active","19901231"
TRUE,8000141,"pravastatin",44,1,"active","19901231"
TRUE,8000142,"simvastatin",92,1,"active","19901231"
TRUE,8000143,"zopiclone",40,1,"active","19901231"
TRUE,8000785,"belladonna and opium",1,1,"active","19911231"
TRUE,8000147,"clozapine",10,1,"active","19911231"
TRUE,8000148,"mometasone",15,5,"active","19911231"
TRUE,8000153,"amlodipine",59,1,"active","19921231"
TRUE,8000154,"amoxicillin and clavulanic acid",18,2,"active","19921231"
TRUE,8000159,"ciprofloxacin",80,6,"active","19921231"
TRUE,8000160,"clarithromycin",29,3,"active","19921231"
TRUE,8000161,"clobetasol",22,6,"active","19921231"
TRUE,8000162,"dextroamphetamine",4,2,"active","19921231"
TRUE,8000163,"doxazosin",15,1,"active","19921231"
TRUE,8000164,"ethinyl estradiol and norgestimate",8,1,"active","19921231"
TRUE,8000165,"felodipine",8,1,"active","19921231"
TRUE,8000166,"finasteride",24,1,"active","19921231"
TRUE,8000777,"hydrocodone",3,2,"active","19921231"
TRUE,8000168,"insulin isophane human",4,1,"active","19921231"
TRUE,8000169,"ketorolac",12,3,"active","19921231"
TRUE,8000170,"quinapril",20,1,"active","19921231"
TRUE,8000171,"sertraline",60,1,"active","19921231"
TRUE,8000172,"vitamin D3 (cholecalciferol)",14,2,"active","19921231"
TRUE,8000179,"desogestrel and ethinyl estradiol",12,1,"active","19931231"
TRUE,8000180,"diclofenac and misoprostol",6,1,"active","19931231"
TRUE,8000181,"domperidone",13,1,"active","19931231"
TRUE,8000183,"mesalazine",14,5,"active","19931231"
TRUE,8000184,"metformin",45,2,"active","19931231"
TRUE,8000185,"paroxetine",60,2,"active","19931231"
TRUE,8000187,"risperidone",107,4,"active","19931231"
TRUE,8000188,"terbinafine",15,3,"active","19931231"
TRUE,8000189,"trazodone",22,2,"active","19931231"
TRUE,8000196,"cyclobenzaprine",11,1,"active","19941231"
TRUE,8000198,"digoxin",9,3,"active","19941231"
TRUE,8000200,"gabapentin",87,2,"active","19941231"
TRUE,8000201,"hydrochlorothiazide and lisinopril",18,1,"active","19941231"
TRUE,8000781,"hydrocodone and phenylephrine",2,1,"active","19941231"
TRUE,8000202,"ipratropium",18,4,"active","19941231"
TRUE,8000203,"isosorbide mononitrate",4,1,"active","19941231"
TRUE,8000204,"lithium (ion)",1,1,"active","19941231"
TRUE,8000205,"minocycline",20,2,"active","19941231"
TRUE,8000206,"perindopril",3,1,"active","19941231"
TRUE,8000208,"beclomethasone",6,3,"active","19951231"
TRUE,8000210,"cefprozil",18,2,"active","19951231"
TRUE,8000213,"estradiol",26,5,"active","19951231"
TRUE,8000214,"lamotrigine",29,1,"active","19951231"
TRUE,8000215,"lansoprazole",26,2,"active","19951231"
TRUE,8000216,"losartan",54,1,"active","19951231"
TRUE,8000217,"methotrexate",24,2,"active","19951231"
TRUE,8000219,"oxybutynin",13,4,"active","19951231"
TRUE,8000220,"progesterone",5,4,"active","19951231"
TRUE,8000221,"valproic acid",10,2,"active","19951231"
TRUE,8000222,"tacrolimus",13,4,"active","19960814"
TRUE,8000224,"azithromycin",35,3,"active","19960926"
TRUE,8000225,"fenofibrate",25,2,"active","19961002"
TRUE,8000226,"olanzapine",144,3,"active","19961104"
TRUE,8000787,"insulin lispro",4,1,"active","19961115"
TRUE,8000229,"hydrochlorothiazide and losartan",40,1,"active","19961122"
TRUE,8000230,"ciclopirox",8,4,"active","19961203"
TRUE,8000233,"valacyclovir",22,1,"active","19961231"
TRUE,8000784,"normethadone and p-hydroxyephedrine",1,1,"active","19970123"
TRUE,8000234,"sumatriptan",32,3,"active","19970211"
