"pharmaceutical_form","route_of_administration"
"TABLET","ORAL"
"TABLET (EXTENDED-RELEASE)","ORAL"
"CAPSULE","ORAL"
"KIT","ORAL"
"SYRUP","ORAL"
"LIQUID","ORAL"
"ELIXIR","ORAL"
"SOLUTION","ORAL"
"SUSPENSION","INTRASYNOVIAL"
"SUSPENSION","INTRADERMAL"
"SUSPENSION","INTRABURSAL"
"SUSPENSION","INTRA-ARTICULAR"
"SUSPENSION","INTRAMUSCULAR"
"SUSPENSION","INTRAVITREAL"
"CREAM","TOPICAL"
"OINTMENT","TOPICAL"
"LOTION","TOPICAL"
"ENEMA","RECTAL"
"KIT","RECTAL"
"TABLET","RECTAL"
"TABLET (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"CAPSULE (SUSTAINED-RELEASE)","ORAL"
"TABLET (DELAYED AND EXTENDED RELEASE)","ORAL"
"POWDER","NASAL"
"POWDER","INHALATION"
"METERED-DOSE AEROSOL","INHALATION"
"SPRAY, METERED DOSE","NASAL"
"SUSPENSION","INHALATION"
"PASTE","DENTAL"
"GEL","TOPICAL"
"AEROSOL, FOAM","TOPICAL"
"SUSPENSION","OPHTHALMIC"
"DROPS","OPHTHALMIC"
"OINTMENT","OPHTHALMIC"
"LIQUID","INTRAVENOUS"
"LIQUID","INTRASYNOVIAL"
"LIQUID","INTRAMUSCULAR"
"IMPLANT","INTRAVITREAL"
"SUSPENSION","OTIC"
"DROPS","OTIC"
"POWDER FOR SOLUTION","INTRAVENOUS"
"POWDER FOR SOLUTION","INTRAMUSCULAR"
"SUPPOSITORY","RECTAL"
"OINTMENT","RECTAL"
"AEROSOL","RECTAL"
"AEROSOL, FOAM","RECTAL"
"VAGINAL TABLET, EFFERVESCENT","VAGINAL"
"GEL","VAGINAL"
"SOLUTION","INTRAMUSCULAR"
"SOLUTION","TOPICAL"
"SHAMPOO","TOPICAL"
"METERED-DOSE AEROSOL","NASAL"
"SUSPENSION","NASAL"
"PATCH","TRANSDERMAL"
"SOLUTION","SUBCUTANEOUS"
"SOLUTION","INTRAVENOUS"
"SOLUTION","DENTAL"
"KIT","DENTAL"
"VAGINAL TABLET","VAGINAL"
"RING (SLOW-RELEASE)","VAGINAL"
"GEL","RECTAL"
"GEL","TRANSDERMAL"
"SUSPENSION","SUBCUTANEOUS"
"DROPS","ORAL"
"TABLET","SUBLINGUAL"
"PATCH (EXTENDED RELEASE)","TRANSDERMAL"
"METERED-DOSE PUMP","SUBLINGUAL"
"METERED-DOSE AEROSOL","SUBLINGUAL"
"SOLUTION","INHALATION"
"SUSPENSION","ORAL"
"LIQUID","SUBCUTANEOUS"
"SOLUTION","EPIDURAL"
"TABLET (CHEWABLE)","ORAL"
"CAPSULE (EXTENDED RELEASE)","ORAL"
"TABLET (IMMEDIATE RELEASE)","ORAL"
"CAPSULE (IMMEDIATE RELEASE)","ORAL"
"SOLUTION","BLOCK/INFILTRATION"
"LIQUID","BLOCK/INFILTRATION"
"SOLUTION","INTRATRACHEAL"
"SOLUTION","INTRACARDIAC"
"LIQUID","TOPICAL"
"CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"SOLUTION","NASAL"
"KIT","TOPICAL"
"GRANULES","ORAL"
"PASTE","TOPICAL"
"LOTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"SPRAY","TOPICAL"
"SOLUTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"CREAM","VAGINAL"
"CAPSULE (IMMEDIATE AND DELAYED RELEASE)","ORAL"
"GEL (CONTROLLED-RELEASE)","SUBGINGIVAL"
"PAD","TOPICAL"
"POWDER FOR SOLUTION","ORAL"
"SUPPOSITORY","VAGINAL"
"TABLET (DELAYED-RELEASE)","ORAL"
"TABLET (ORALLY DISINTEGRATING)","ORAL"
"GRANULES FOR SUSPENSION","ORAL"
"CAPSULE","INHALATION"
"AEROSOL, METERED DOSE","INHALATION"
"POWDER","ORAL"
"SOLUTION","OPHTHALMIC"
"LIQUID","OPHTHALMIC"
"POWDER FOR SUSPENSION","ORAL"
"SPRAY","NASAL"
"CAPSULE (ENTERIC-COATED)","ORAL"
"STRIP","ORAL"
"POWDER (EXTENDED RELEASE)","SUBGINGIVAL"
"SOLUTION (LONG-ACTING)","OPHTHALMIC"
"TABLET (ENTERIC-COATED)","ORAL"
"SOLUTION","INTRAVENTRICULAR"
"SOLUTION","INTRATHECAL"
"SOLUTION","INTRA-ARTERIAL"
"POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR"
"KIT","INTRAMUSCULAR"
"SUSPENSION","RECTAL"
"MOUTHWASH/GARGLE","ORAL"
"MOUTHWASH/GARGLE","BUCCAL"
"SWAB","TOPICAL (HOSPITAL/HC FACILITIES)"
"SWAB","TOPICAL"
"WIPE","TOPICAL (HOSPITAL/HC FACILITIES)"
"METERED-DOSE AEROSOL","ORAL"
"METERED-DOSE PUMP","NASAL"
"WIPE","TOPICAL"
"SPONGE","TOPICAL (HOSPITAL/HC FACILITIES)"
"WIPE","TOPICAL (HOUSEHOLD)"
"SOLUTION","TOPICAL (HOUSEHOLD)"
"PATCH","TOPICAL"
"TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL"
"LIQUID","RECTAL"
"TABLET (EFFERVESCENT)","ORAL"
"LIQUID","TOPICAL (HOUSEHOLD)"
"SOLUTION","TOPICAL (COMMERCIAL)"
"WIPE","DISINFECTANT (Institutional/Industrial)"
"WIPE","DISINFECTANT (Domestic)"
"WIPE","DISINFECTANT (Hospital/HC Facilities)"
"WIPE","DISINFECTANT (Food Premises)"
"SOLUTION","INTRAOCULAR"
"SOLUTION","0-UNASSIGNED"
"GEL","TOPICAL (HOUSEHOLD)"
"CAPSULE (DELAYED RELEASE)","ORAL"
"SOLUTION","OTIC"
"CAPSULE (CONTROLLED-DELIVERY)","ORAL"
"LIQUID","SOFT TISSUE INJECTION"
"LIQUID","INTRALESIONAL"
"LIQUID","INTRA-ARTICULAR"
"SOLUTION","INTRASYNOVIAL"
"KIT","BUCCAL"
"TABLET","BUCCAL"
"LIQUID","INHALATION"
"GRANULES FOR SUSPENSION, DELAYED RELEASE","ORAL"
"POWDER (METERED DOSE)","INHALATION"
"TABLET (EFFERVESCENT)","SUBLINGUAL"
"TABLET (EFFERVESCENT)","BUCCAL"
"LIQUID","EPIDURAL"
"GEL","INTRAINTESTINAL (UPPER)"
"INSERT (EXTENDED-RELEASE)","INTRAUTERINE"
"CAPSULE (DELAYED RELEASE)","NASOGASTRIC"
"GEL","NASAL"
"SUSPENSION","INTRALESIONAL"
"OINTMENT","OTIC"
"DRESSING","TOPICAL"
"PACKAGE","ORAL"
"SOLUTION","IRRIGATION"
"SPRAY","TOPICAL (COMMERCIAL)"
"SOLUTION","INTRA-ARTICULAR"
"LIQUID","NASAL"
