"","dpd_ingredient","extract","drug_code","active_ingredient_code","ingredient_supplied_ind","strength","strength_unit","strength_type","dosage_value","base","dosage_unit","notes","hydrate","ccdd","top250name","ing_stem","strength_w_unit_w_dosage_if_exists","mp_ingredient_name"
"1","IMIPRAMINE HYDROCHLORIDE","active",10008,9267,"I","75","MG","","","N","","HISTORIC FREEFORM TEXT: IMIPRAMINE HCL",FALSE,"","","IMIPRAMINE HYDROCHLORIDE","75 MG","imipramine hydrochloride 75 mg"
"2","SODIUM LACTATE","active",10009,1074,"I","392","MG","","100","N","ML","Historic Freeform Text: SODIUM LACTATE",FALSE,"","","SODIUM LACTATE","392 MG per 100 ML","sodium lactate 392 mg per 100 mL"
"3","DEXTROSE","active",10009,42,"I","2.5","G","","100","N","ML","Historic Freeform Text: DEXTROSE (HEMODIALYSIS)",FALSE,"","","DEXTROSE","2.5 G per 100 ML","dextrose 2.5 g per 100 mL"
"4","MAGNESIUM CHLORIDE","active",10009,49,"I","15.2","MG","","100","N","ML","Historic Freeform Text: MAGNESIUM CHLORIDE HEMODIALYSIS",FALSE,"","","MAGNESIUM CHLORIDE","15.2 MG per 100 ML","magnesium chloride 15.2 mg per 100 mL"
"5","CALCIUM CHLORIDE","active",10009,51,"I","23.9","MG","","100","N","ML","Historic Freeform Text: CALCIUM CHLORIDE HEMODIALYSIS",FALSE,"","","CALCIUM CHLORIDE","23.9 MG per 100 ML","calcium chloride 23.9 mg per 100 mL"
"6","SODIUM CHLORIDE","active",10009,55,"I","567","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE HEMODIALYSIS",FALSE,"","","SODIUM CHLORIDE","567 MG per 100 ML","sodium chloride 567 mg per 100 mL"
"7","FLUOROURACIL","active",10015,6311,"I","50","MG","","","N","ML","HISTORIC FREEFORM TEXT: FLUOROURACIL",FALSE,"","","FLUOROURACIL","50 MG per ML","fluorouracil 50 mg per mL"
"8","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","active",10024,8642,"I","100","MG","","","N","","Historic Freeform Text: DOXYCYCLINE HYCLATE ((BASE EQ))",FALSE,"Y","DOXYCYCLINE","DOXYCYCLINE","100 MG","doxycycline (doxycycline hyclate) 100 mg"
"9","HALOPERIDOL","active",10026,10146,"I","5","MG","","","N","ML","Historic Freeform Text: HALOPERIDOL",FALSE,"Y","HALOPERIDOL","HALOPERIDOL","5 MG per ML","haloperidol 5 mg per mL"
"10","HYPROMELLOSE","active",10032,12399,"I","0.3","%","","","N","","Historic Freeform Text: HYDROXYPROPYLMETHYLCELLULOSE",FALSE,"","","HYPROMELLOSE","0.3 %","hypromellose 0.3 %"
"11","DEXTRAN 70","active",10032,710,"I","0.1","%","","","N","","2016.02.19. ACTIVE INGREDIENT REVISED TO DEXTRAN 70 FROM DEXTRAN AS REQUESTED BY TAIWO WOMILOJU, NNH",FALSE,"","","DEXTRAN 70","0.1 %","dextran 70 0.1 %"
"12","VERAPAMIL HYDROCHLORIDE","active",10034,10110,"I","80","MG","","","N","","Historic Freeform Text: VERAPAMIL HYDROCHLORIDE",FALSE,"Y","VERAPAMIL","VERAPAMIL","80 MG","verapamil hydrochloride 80 mg"
"13","NAPROXEN SODIUM","active",10035,2037,"I","275","MG","","","N","","Historic Freeform Text: NAPROXEN SODIUM",FALSE,"Y","NAPROXEN","NAPROXEN","275 MG","naproxen sodium 275 mg"
"14","DICLOFENAC SODIUM","active",10036,2013,"I","25","MG","","","N","","Historic Freeform Text: DICLOFENAC SODIUM",FALSE,"Y","DICLOFENAC","DICLOFENAC","25 MG","diclofenac sodium 25 mg"
