"","drug_code","ccdd","n_ing","ai_code_set","tm_set","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name"
"1",9,FALSE,1,"14593","thiamazole","5 MG","THIAMAZOLE","thiamazole","thiamazole 5 mg"
"2",15,TRUE,1,"11121","nortriptyline","10 MG","NORTRIPTYLINE HYDROCHLORIDE","nortriptyline (nortriptyline hydrochloride)","nortriptyline (nortriptyline hydrochloride) 10 mg"
"3",16,TRUE,1,"11121","nortriptyline","25 MG","NORTRIPTYLINE HYDROCHLORIDE","nortriptyline (nortriptyline hydrochloride)","nortriptyline (nortriptyline hydrochloride) 25 mg"
"4",31,FALSE,6,"4993, 10225, 5015, 5008, 11170, 11171","dexpanthenol, lidocaine hydrochloride, nicotinamide, pyridoxine hydrochloride, vitamin b1, vitamin b2 (riboflavin 5'-phosphate sodium)","10 MG per ML, 2 %, 75 MG per ML, 2 MG per ML, 50 MG per ML, 7.5 MG per ML","DEXPANTHENOL, LIDOCAINE HYDROCHLORIDE, NICOTINAMIDE, PYRIDOXINE HYDROCHLORIDE, VITAMIN B1, RIBOFLAVIN 5'-PHOSPHATE SODIUM","dexpanthenol, lidocaine hydrochloride, nicotinamide, pyridoxine hydrochloride, vitamin b1, vitamin b2 (riboflavin 5'-phosphate sodium)","dexpanthenol 10 mg per mL and lidocaine hydrochloride 2 % and nicotinamide 75 mg per mL and pyridoxine hydrochloride 2 mg per mL and vitamin b1 50 mg per mL and vitamin b2 (riboflavin 5'-phosphate sodium) 7.5 mg per mL"
"5",44,FALSE,1,"6820","gentian violet","1 %","GENTIAN VIOLET","gentian violet","gentian violet 1 %"
"6",57,FALSE,1,"7140","mineral oil","100 %","MINERAL OIL","mineral oil","mineral oil 100 %"
"7",68,FALSE,1,"7160","methylene blue","1 %","METHYLENE BLUE","methylene blue","methylene blue 1 %"
"8",69,FALSE,1,"7160","methylene blue","2 %","METHYLENE BLUE","methylene blue","methylene blue 2 %"
"9",115,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL"
"10",117,FALSE,1,"8826","water","100 %","WATER","water","water 100 %"
"11",157,FALSE,1,"150","acetylsalicylic acid","325 MG","ACETYLSALICYLIC ACID","acetylsalicylic acid","acetylsalicylic acid 325 mg"
"12",158,FALSE,1,"9439","propylthiouracil","50 MG","PROPYLTHIOURACIL","propylthiouracil","propylthiouracil 50 mg"
"13",159,FALSE,1,"9439","propylthiouracil","100 MG","PROPYLTHIOURACIL","propylthiouracil","propylthiouracil 100 mg"
"14",160,FALSE,1,"6941","papaverine hydrochloride","65 MG per 2 ML","PAPAVERINE HYDROCHLORIDE","papaverine hydrochloride","papaverine hydrochloride 65 mg per 2 mL"
"15",187,FALSE,3,"721, 720, 719","aluminum hydroxide (dried aluminum hydroxide gel), magnesium hydroxide, simethicone","165 MG per 5 ML, 200 MG per 5 ML, 25 MG per 5 ML","DRIED ALUMINUM HYDROXIDE GEL, MAGNESIUM HYDROXIDE, SIMETHICONE","aluminum hydroxide (dried aluminum hydroxide gel), magnesium hydroxide, simethicone","aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL"
