"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code"
"meperidine hydrochloride 50 mg oral tablet",TRUE,1,FALSE,1944-12-31,9000001
"levothyroxine sodium 50 mcg oral tablet",TRUE,2,FALSE,1951-12-30,9000002
"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,1951-12-31,9000003
"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray",TRUE,1,FALSE,1951-12-31,9000004
"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule",TRUE,1,FALSE,1951-12-31,9000005
"phenytoin sodium 100 mg oral capsule",TRUE,2,FALSE,1951-12-31,9000006
"phenytoin sodium 30 mg oral capsule",TRUE,1,FALSE,1951-12-31,9000007
"phenytoin 50 mg oral tablet",TRUE,1,FALSE,1952-12-31,9000008
"phenytoin 125 mg per 5 mL oral suspension",TRUE,2,FALSE,1953-12-31,9000009
"testosterone cypionate 1000 mg per 10 mL solution for injection vial",TRUE,2,FALSE,1953-12-31,9000010
"hydrocortisone 10 mg oral tablet",TRUE,1,FALSE,1954-12-31,9000011
"hydrocortisone 20 mg oral tablet",TRUE,1,FALSE,1954-12-31,9000012
"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule",TRUE,1,FALSE,1955-12-31,9000013
"hydroxyzine hydrochloride 10 mg per 5 mL syrup",TRUE,2,FALSE,1956-12-31,9000014
"methylphenidate hydrochloride 10 mg oral tablet",TRUE,6,FALSE,1956-12-31,9000015
"hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet",TRUE,1,FALSE,1957-12-31,9000016
"hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension",TRUE,1,FALSE,1957-12-31,9000017
"hydroxychloroquine sulfate 200 mg oral tablet",TRUE,5,FALSE,1957-12-31,9000018
"warfarin sodium 10 mg oral tablet",TRUE,3,FALSE,1957-12-31,9000019
"warfarin sodium 1 mg oral tablet",TRUE,3,FALSE,1957-12-31,9000020
"warfarin sodium 5 mg oral tablet",TRUE,3,FALSE,1957-12-31,9000021
"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",TRUE,2,FALSE,1958-12-31,9000022
"methylphenidate hydrochloride 20 mg oral tablet",TRUE,6,FALSE,1958-12-31,9000023
"prednisone 5 mg oral tablet",TRUE,4,FALSE,1959-12-31,9000024
"spironolactone 25 mg oral tablet",TRUE,2,FALSE,1959-12-31,9000025
"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",TRUE,1,FALSE,1960-12-31,9000026
"medroxyprogesterone acetate 5 mg oral tablet",TRUE,4,FALSE,1961-12-31,9000027
"norethindrone acetate 5 mg oral tablet",TRUE,1,FALSE,1961-12-31,9000028
"hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",TRUE,2,FALSE,1962-12-31,9000029
"conjugated estrogens 0.625 mg oral tablet",TRUE,4,FALSE,1963-12-31,9000030
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",TRUE,2,FALSE,1964-12-31,9000031
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",TRUE,2,FALSE,1964-12-31,9000032
"amitriptyline hydrochloride 10 mg oral tablet",TRUE,11,FALSE,1965-12-31,9000033
"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",TRUE,4,FALSE,1965-12-31,9000034
"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",TRUE,4,FALSE,1965-12-31,9000035
"azathioprine 50 mg oral tablet",TRUE,6,FALSE,1966-12-31,9000036
"dexamethasone 0.1 % ophthalmic ointment",TRUE,1,FALSE,1966-12-31,9000037
"hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",TRUE,2,FALSE,1966-12-31,9000038
"quinine sulfate 200 mg oral capsule",TRUE,5,FALSE,1966-12-31,9000039
"quinine sulfate 300 mg oral capsule",TRUE,5,FALSE,1966-12-31,9000040
"triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",TRUE,2,FALSE,1966-12-31,9000041
"hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",TRUE,2,FALSE,1967-12-31,9000042
"hydrochlorothiazide 25 mg oral tablet",TRUE,8,FALSE,1968-12-31,9000043
"hydrochlorothiazide 50 mg oral tablet",TRUE,7,FALSE,1968-12-31,9000044
"phenytoin 30 mg per 5 mL oral suspension",TRUE,1,FALSE,1968-12-31,9000045
"amitriptyline hydrochloride 50 mg oral tablet",TRUE,11,FALSE,1969-12-31,9000046
"carbamazepine 200 mg oral tablet",TRUE,6,FALSE,1969-12-31,9000047
"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",TRUE,6,FALSE,1970-12-31,9000048
"erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension",TRUE,1,FALSE,1970-12-31,9000049
"metronidazole 10 % vaginal cream",TRUE,1,FALSE,1970-12-31,9000050
"pentazocine (pentazocine hydrochloride) 50 mg oral tablet",TRUE,1,FALSE,1970-12-31,9000051
"cephalexin 125 mg per 5 mL powder for oral suspension",TRUE,2,FALSE,1971-12-31,9000052
"cephalexin 250 mg per 5 mL powder for oral suspension",TRUE,2,FALSE,1971-12-31,9000053
"lithium carbonate 300 mg oral capsule",TRUE,4,FALSE,1971-12-31,9000054
"metronidazole 250 mg oral tablet",TRUE,3,FALSE,1971-12-31,9000055
"amitriptyline hydrochloride 25 mg oral tablet",TRUE,11,FALSE,1972-12-31,9000056
"cephalexin 500 mg oral tablet",TRUE,6,FALSE,1972-12-31,9000057
"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",TRUE,1,FALSE,1972-12-31,9000058
"ibuprofen 200 mg oral tablet",TRUE,16,FALSE,1972-12-31,9000059
"nitroglycerin 0.3 mg sublingual tablet",TRUE,1,FALSE,1972-12-31,9000060
"nitroglycerin 0.6 mg sublingual tablet",TRUE,1,FALSE,1972-12-31,9000061
"norethindrone 0.35 mg oral tablet",TRUE,3,FALSE,1972-12-31,9000062
"prednisone 50 mg oral tablet",TRUE,3,FALSE,1972-12-31,9000063
"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",TRUE,3,FALSE,1973-12-31,9000064
"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",TRUE,3,FALSE,1973-12-31,9000065
"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",TRUE,2,FALSE,1973-12-31,9000066
"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",TRUE,3,FALSE,1973-12-31,9000067
"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",TRUE,1,FALSE,1973-12-31,9000068
"oxycodone hydrochloride 10 mg suppository",TRUE,1,FALSE,1973-12-31,9000069
"oxycodone hydrochloride 20 mg suppository",TRUE,1,FALSE,1973-12-31,9000070
"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",TRUE,3,FALSE,1973-12-31,9000071
"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",TRUE,2,FALSE,1973-12-31,9000072
"allopurinol 300 mg oral tablet",TRUE,6,FALSE,1974-12-31,9000073
"colchicine 0.6 mg oral tablet",TRUE,4,FALSE,1974-12-31,9000074
"diazepam 5 mg oral tablet",TRUE,5,FALSE,1974-12-31,9000075
"ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet",TRUE,4,FALSE,1974-12-31,9000076
"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet",TRUE,2,FALSE,1974-12-31,9000077
"levothyroxine sodium 150 mcg oral tablet",TRUE,2,FALSE,1974-12-31,9000078
"nitrofurantoin 100 mg oral tablet",TRUE,1,FALSE,1974-12-31,9000079
"nitrofurantoin 50 mg oral tablet",TRUE,1,FALSE,1974-12-31,9000080
"prednisolone acetate 0.12 % ophthalmic drops",TRUE,2,FALSE,1974-12-31,9000081
"prednisolone acetate 1 % ophthalmic drops",TRUE,4,FALSE,1974-12-31,9000082
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",TRUE,1,FALSE,1975-12-31,9000083
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",TRUE,1,FALSE,1975-12-31,9000084
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",TRUE,2,FALSE,1975-12-31,9000085
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",TRUE,6,FALSE,1975-12-31,9000086
"carbidopa 25 mg and levodopa 250 mg oral tablet",TRUE,4,FALSE,1975-12-31,9000087
"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet",TRUE,2,FALSE,1975-12-31,9000088
"folic acid 25 mg oral tablet",TRUE,1,FALSE,1975-12-31,9000089
"spironolactone 100 mg oral tablet",TRUE,2,FALSE,1975-12-31,9000090
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",TRUE,6,FALSE,1976-12-31,9000091
"furosemide 20 mg oral tablet",TRUE,6,FALSE,1976-12-31,9000092
"furosemide 40 mg oral tablet",TRUE,6,FALSE,1976-12-31,9000093
"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",TRUE,9,FALSE,1977-12-31,9000094
"betamethasone (betamethasone dipropionate) 0.05 % lotion",TRUE,7,FALSE,1977-12-31,9000095
"cephalexin 250 mg oral tablet",TRUE,5,FALSE,1977-12-31,9000096
"clonazepam 0.5 mg oral tablet",TRUE,16,FALSE,1977-12-31,9000097
"clonazepam 2 mg oral tablet",TRUE,13,FALSE,1977-12-31,9000098
"dexamethasone 0.1 % ophthalmic drops",TRUE,1,FALSE,1977-12-31,9000099
"metoprolol tartrate 100 mg oral tablet",TRUE,15,FALSE,1977-12-31,9000100
"metoprolol tartrate 50 mg oral tablet",TRUE,15,FALSE,1977-12-31,9000101
"penicillin v potassium 500000 unit per 5 mL powder for oral solution",TRUE,1,FALSE,1977-12-31,9000102
"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",TRUE,4,FALSE,1978-12-31,9000103
"baclofen 10 mg oral tablet",TRUE,10,FALSE,1978-12-31,9000104
"benztropine mesylate 2 mg oral tablet",TRUE,2,FALSE,1978-12-31,9000105
"codeine phosphate 0.2 % oral liquid",TRUE,1,FALSE,1978-12-31,9000106
"codeine phosphate 30 mg per 1 mL solution for injection ampoule",TRUE,2,FALSE,1978-12-31,9000107
"diazepam 10 mg oral tablet",TRUE,4,FALSE,1978-12-31,9000108
"folic acid 5 mg oral tablet",TRUE,4,FALSE,1978-12-31,9000109
"morphine sulfate 10 mg per mL solution for injection",TRUE,1,FALSE,1978-12-31,9000110
"morphine sulfate 15 mg per 1 mL solution for injection ampoule",TRUE,2,FALSE,1978-12-31,9000111
"prednisone 1 mg oral tablet",TRUE,3,FALSE,1978-12-31,9000112
"valproic acid (sodium valproate) 50 mg per mL oral solution",TRUE,1,FALSE,1978-12-31,9000113
"amitriptyline hydrochloride 75 mg oral tablet",TRUE,5,FALSE,1979-12-31,9000114
"amoxicillin 125 mg per 5 mL granules for oral suspension",TRUE,3,FALSE,1979-12-31,9000115
