"ntp_formal_name","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code"
"meperidine hydrochloride 50 mg oral tablet",1,FALSE,1944-12-31,9000001
"levothyroxine sodium 50 mcg oral tablet",2,FALSE,1951-12-30,9000002
"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule",1,FALSE,1951-12-31,9000003
"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray",1,FALSE,1951-12-31,9000004
"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule",1,FALSE,1951-12-31,9000005
"phenytoin sodium 100 mg oral capsule",2,FALSE,1951-12-31,9000006
"phenytoin sodium 30 mg oral capsule",1,FALSE,1951-12-31,9000007
"phenytoin 50 mg oral tablet",1,FALSE,1952-12-31,9000008
"phenytoin 125 mg per 5 mL oral suspension",2,FALSE,1953-12-31,9000009
"testosterone cypionate 1000 mg per 10 mL solution for injection vial",2,FALSE,1953-12-31,9000010
"hydrocortisone 10 mg oral tablet",1,FALSE,1954-12-31,9000011
"hydrocortisone 20 mg oral tablet",1,FALSE,1954-12-31,9000012
"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule",1,FALSE,1955-12-31,9000013
"hydroxyzine hydrochloride 10 mg per 5 mL syrup",2,FALSE,1956-12-31,9000014
"methylphenidate hydrochloride 10 mg oral tablet",6,FALSE,1956-12-31,9000015
"hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet",1,FALSE,1957-12-31,9000016
"hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension",1,FALSE,1957-12-31,9000017
"hydroxychloroquine sulfate 200 mg oral tablet",5,FALSE,1957-12-31,9000018
"warfarin sodium 10 mg oral tablet",3,FALSE,1957-12-31,9000019
"warfarin sodium 1 mg oral tablet",3,FALSE,1957-12-31,9000020
"warfarin sodium 5 mg oral tablet",3,FALSE,1957-12-31,9000021
"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",2,FALSE,1958-12-31,9000022
"methylphenidate hydrochloride 20 mg oral tablet",6,FALSE,1958-12-31,9000023
"prednisone 5 mg oral tablet",4,FALSE,1959-12-31,9000024
"spironolactone 25 mg oral tablet",2,FALSE,1959-12-31,9000025
"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",1,FALSE,1960-12-31,9000026
"medroxyprogesterone acetate 5 mg oral tablet",4,FALSE,1961-12-31,9000027
"norethindrone acetate 5 mg oral tablet",1,FALSE,1961-12-31,9000028
"hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",2,FALSE,1962-12-31,9000029
"conjugated estrogens 0.625 mg oral tablet",4,FALSE,1963-12-31,9000030
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",2,FALSE,1964-12-31,9000031
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",2,FALSE,1964-12-31,9000032
"amitriptyline hydrochloride 10 mg oral tablet",11,FALSE,1965-12-31,9000033
"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",4,FALSE,1965-12-31,9000034
"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",4,FALSE,1965-12-31,9000035
"azathioprine 50 mg oral tablet",6,FALSE,1966-12-31,9000036
"dexamethasone 0.1 % ophthalmic ointment",1,FALSE,1966-12-31,9000037
"hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",2,FALSE,1966-12-31,9000038
"quinine sulfate 200 mg oral capsule",5,FALSE,1966-12-31,9000039
"quinine sulfate 300 mg oral capsule",5,FALSE,1966-12-31,9000040
"triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",2,FALSE,1966-12-31,9000041
"hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",2,FALSE,1967-12-31,9000042
"hydrochlorothiazide 25 mg oral tablet",8,FALSE,1968-12-31,9000043
"hydrochlorothiazide 50 mg oral tablet",7,FALSE,1968-12-31,9000044
"phenytoin 30 mg per 5 mL oral suspension",1,FALSE,1968-12-31,9000045
"amitriptyline hydrochloride 50 mg oral tablet",11,FALSE,1969-12-31,9000046
"carbamazepine 200 mg oral tablet",6,FALSE,1969-12-31,9000047
"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",6,FALSE,1970-12-31,9000048
"erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension",1,FALSE,1970-12-31,9000049
"metronidazole 10 % vaginal cream",1,FALSE,1970-12-31,9000050
"pentazocine (pentazocine hydrochloride) 50 mg oral tablet",1,FALSE,1970-12-31,9000051
"cephalexin 125 mg per 5 mL powder for oral suspension",2,FALSE,1971-12-31,9000052
"cephalexin 250 mg per 5 mL powder for oral suspension",2,FALSE,1971-12-31,9000053
"lithium carbonate 300 mg oral capsule",4,FALSE,1971-12-31,9000054
"metronidazole 250 mg oral tablet",3,FALSE,1971-12-31,9000055
