"","tm_set","ccdd","n_dins","n_ntps","status","tm_status_effective_time"
"1","abacavir",FALSE,3,2,"active",1999-06-09
"2","abacavir, dolutegravir (dolutegravir sodium), lamivudine",FALSE,1,1,"active",2014-10-22
"3","abacavir, lamivudine",FALSE,6,1,"active",2005-08-17
"4","abacavir, lamivudine, zidovudine",FALSE,2,1,"active",2001-10-29
"5","abatacept",FALSE,2,2,"active",2006-08-08
"6","abciximab",FALSE,1,1,"active",1996-10-30
"7","abiraterone acetate",FALSE,2,1,"active",2011-07-28
"8","abobotulinumtoxina",FALSE,3,1,"active",2013-02-19
"9","acamprosate calcium",FALSE,1,1,"active",2007-07-30
"10","acarbose",FALSE,2,1,"active",1996-02-02
"11","acebutolol",TRUE,20,1,"active",1986-12-31
"12","acenocoumarol",FALSE,2,1,"active",1957-12-31
"13","acetaminophen",TRUE,140,10,"active",1961-12-31
"14","acetaminophen, acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, dextromethorphan hydrobromide, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,2,2,"active",2012-06-28
"15","acetaminophen, acetaminophen, dextromethorphan hydrobromide, dextromethorphan hydrobromide, doxylamine succinate, guaifenesin, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,1,2,"active",2012-12-10
"16","acetaminophen, acetaminophen, dextromethorphan hydrobromide, dextromethorphan hydrobromide, doxylamine succinate, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,2,2,"active",2012-08-14
"17","acetaminophen, acetaminophen, dextromethorphan hydrobromide, diphenhydramine hydrochloride, guaifenesin, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,3,2,"active",2012-04-25
"18","acetaminophen, acetaminophen, dextromethorphan hydrobromide, diphenhydramine hydrochloride, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,2,2,"active",2012-08-28
"19","acetaminophen, acetaminophen, diphenhydramine hydrochloride, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,1,2,"active",2012-06-18
"20","acetaminophen, acetaminophen, doxylamine succinate, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,2,2,"active",2012-05-05
"21","acetaminophen, caffeine",TRUE,6,1,"active",1986-12-31
"22","acetaminophen, caffeine, codeine",TRUE,22,1,"active",1964-12-31
"23","acetaminophen, caffeine, pyrilamine maleate",TRUE,3,1,"active",2006-06-22
"24","acetaminophen, chlorpheniramine maleate",TRUE,1,1,"active",2004-01-12
"25","acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide",TRUE,3,2,"active",2004-01-12
"26","acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, guaifenesin, pseudoephedrine hydrochloride",TRUE,3,1,"active",2005-09-23
"27","acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, phenylephrine hydrochloride",TRUE,5,1,"active",2006-07-24
"28","acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, pseudoephedrine hydrochloride",TRUE,13,4,"active",1992-12-31
"29","acetaminophen, chlorpheniramine maleate, phenylephrine hydrochloride",TRUE,10,1,"active",1994-12-31
"30","acetaminophen, chlorpheniramine maleate, pseudoephedrine hydrochloride",TRUE,7,2,"active",1986-12-31
"31","acetaminophen, chlorzoxazone",TRUE,1,1,"active",1991-12-31
"32","acetaminophen, chlorzoxazone, codeine",TRUE,1,1,"active",1991-12-31
"33","acetaminophen, codeine",TRUE,10,2,"active",1978-12-31
"34","acetaminophen, codeine, doxylamine succinate",TRUE,1,1,"active",1982-12-31
