"","pharmaceutical_form","route_of_administration"
"1","TABLET","ORAL"
"2","LIQUID","INTRAMUSCULAR"
"3","TABLET (ENTERIC-COATED)","ORAL"
"4","CREAM","TOPICAL"
"5","PATCH (EXTENDED RELEASE)","TRANSDERMAL"
"6","CAPSULE","ORAL"
"7","DROPS","OPHTHALMIC"
"8","LIQUID","ORAL"
"9","LIQUID","TOPICAL"
"10","POWDER","ORAL"
"11","LOTION","TOPICAL"
"12","LIQUID","SUBCUTANEOUS"
"13","LIQUID","INTRAVENOUS"
"14","SOLUTION","INHALATION"
"15","SUSPENSION","ORAL"
"16","SOLUTION","ORAL"
"17","DROPS","ORAL"
"18","METERED-DOSE AEROSOL","INHALATION"
"19","POWDER","INHALATION"
"20","CAPSULE (ENTERIC-COATED)","ORAL"
"21","OINTMENT","TOPICAL"
"22","OINTMENT","OPHTHALMIC"
"23","SUSPENSION","OPHTHALMIC"
"24","SOLUTION","TOPICAL"
"25","ELIXIR","ORAL"
"26","TABLET (EXTENDED-RELEASE)","ORAL"
"27","SYRUP","ORAL"
"28","GEL","TOPICAL"
"29","POWDER FOR SUSPENSION","ORAL"
"30","SUPPOSITORY","RECTAL"
"31","SOLUTION","INTRAMUSCULAR"
"32","SOLUTION","OPHTHALMIC"
"33","LIQUID","INTRASYNOVIAL"
"34","SOLUTION","INTRAVENOUS"
"35","POWDER FOR SOLUTION","ORAL"
"36","TABLET","SUBLINGUAL"
"37","SUSPENSION","SUBCUTANEOUS"
"38","DROPS","OTIC"
"39","SOLUTION","BLOCK/INFILTRATION"
"40","SUPPOSITORY","VAGINAL"
"41","SOLUTION","EPIDURAL"
"42","SOLUTION","SUBCUTANEOUS"
"43","CREAM","VAGINAL"
"44","SUSPENSION","INHALATION"
"45","LIQUID","INTRA-ARTICULAR"
"46","PASTE","DENTAL"
"47","SUSPENSION","OTIC"
"48","OINTMENT","OTIC"
"49","SUSPENSION","INTRAMUSCULAR"
"50","SUSPENSION","INTRA-ARTICULAR"
"51","TABLET (IMMEDIATE RELEASE)","ORAL"
"52","TABLET (CHEWABLE)","ORAL"
"53","CAPSULE (EXTENDED RELEASE)","ORAL"
"54","POWDER","NASAL"
"55","SOLUTION","NASAL"
"56","CAPSULE (SUSTAINED-RELEASE)","ORAL"
"57","SUSPENSION","INTRASYNOVIAL"
"58","SUSPENSION","INTRADERMAL"
"59","SUSPENSION","INTRABURSAL"
"60","POWDER FOR SOLUTION","INTRAVENOUS"
"61","POWDER FOR SOLUTION","INTRAMUSCULAR"
"62","SOLUTION","DENTAL"
"63","KIT","DENTAL"
"64","SOLUTION","OTIC"
"65","ENEMA","RECTAL"
"66","KIT","RECTAL"
"67","TABLET","RECTAL"
"68","WIPE","TOPICAL (HOSPITAL/HC FACILITIES)"
"69","LIQUID","BLOCK/INFILTRATION"
"70","GEL","VAGINAL"
"71","DRESSING","TOPICAL"
"72","GRANULES FOR SUSPENSION","ORAL"
"73","SOLUTION","INTRATHECAL"
"74","OINTMENT","RECTAL"
"75","LIQUID","EPIDURAL"
"76","LIQUID","RECTAL"
"77","SUSPENSION","RECTAL"
"78","CAPSULE (DELAYED RELEASE)","ORAL"
"79","RING (SLOW-RELEASE)","VAGINAL"
"80","DROPS","TOPICAL"
"81","SOLUTION (LONG-ACTING)","OPHTHALMIC"
"82","METERED-DOSE AEROSOL","NASAL"
"83","SUSPENSION","NASAL"
"84","PATCH","TRANSDERMAL"
"85","SPRAY","TOPICAL"
"86","SPRAY","NASAL"
"87","SOLUTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"88","SPONGE","TOPICAL (HOSPITAL/HC FACILITIES)"
"89","SOLUTION","INTRA-ARTERIAL"
"90","TABLET (DELAYED-RELEASE)","ORAL"
"91","SPRAY, METERED DOSE","NASAL"
"92","LIQUID","BUCCAL"
"93","PACKAGE","ORAL"
"94","LIQUID","DENTAL"
"95","SWAB","TOPICAL (HOSPITAL/HC FACILITIES)"
"96","AEROSOL","RECTAL"
"97","LIQUID","SOFT TISSUE INJECTION"
"98","LIQUID","INTRALESIONAL"
"99","SHAMPOO","TOPICAL"
"100","METERED-DOSE PUMP","NASAL"
"101","LIQUID","OPHTHALMIC"
"102","SOLUTION","INTRAVENTRICULAR"
"103","PAD","TOPICAL"
"104","CAPSULE (CONTROLLED-DELIVERY)","ORAL"
"105","CAPSULE","INHALATION"
"106","METERED-DOSE PUMP","SUBLINGUAL"
"107","MOUTHWASH/GARGLE","BUCCAL"
"108","SUSPENSION","INTRALESIONAL"
"109","GEL","RECTAL"
"110","KIT","ORAL"
"111","GEL","TRANSDERMAL"
"112","LIQUID","INHALATION"
"113","LIQUID","NASAL"
"114","TABLET (ORALLY DISINTEGRATING)","ORAL"
"115","MOUTHWASH/GARGLE","ORAL"
"116","SOLUTION","INTRASYNOVIAL"
"117","GEL (CONTROLLED-RELEASE)","SUBGINGIVAL"
"118","SWAB","TOPICAL"
"119","INSERT (EXTENDED-RELEASE)","INTRAUTERINE"
"120","METERED-DOSE AEROSOL","SUBLINGUAL"
"121","METERED-DOSE AEROSOL","ORAL"
"122","AEROSOL, METERED DOSE","INHALATION"
"123","WIPE","TOPICAL"
"124","LOTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"125","GRANULES","ORAL"
"126","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR"
"127","KIT","INTRAMUSCULAR"
"128","POWDER (EXTENDED RELEASE)","SUBGINGIVAL"
"129","SOLUTION","TOPICAL (HOUSEHOLD)"
"130","GEL","INTRAINTESTINAL (UPPER)"
"131","GEL","TOPICAL (HOUSEHOLD)"
"132","WIPE","TOPICAL (HOUSEHOLD)"
"133","TABLET (DELAYED AND EXTENDED RELEASE)","ORAL"
"134","GRANULES FOR SUSPENSION, DELAYED RELEASE","ORAL"
"135","LIQUID","TOPICAL (HOUSEHOLD)"
"136","CAPSULE (IMMEDIATE RELEASE)","ORAL"
"137","VAGINAL TABLET","VAGINAL"
"138","VAGINAL TABLET, EFFERVESCENT","VAGINAL"
"139","AEROSOL, FOAM","TOPICAL"
"140","SPRAY","TOPICAL (COMMERCIAL)"
"141","SOLUTION","INTRACARDIAC"
"142","CAPSULE (DELAYED RELEASE)","NASOGASTRIC"
"143","TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL"
"144","IMPLANT","INTRAVITREAL"
"145","SUSPENSION","INTRAVITREAL"
"146","CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"147","CAPSULE (IMMEDIATE AND DELAYED RELEASE)","ORAL"
"148","KIT","TOPICAL"
"149","TABLET (EFFERVESCENT)","SUBLINGUAL"
"150","TABLET (EFFERVESCENT)","BUCCAL"
"151","SOLUTION","INTRATRACHEAL"
"152","SOLUTION","TOPICAL (COMMERCIAL)"
"153","TABLET (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"154","POWDER (METERED DOSE)","INHALATION"
"155","PASTE","TOPICAL"
"156","KIT","BUCCAL"
"157","TABLET","BUCCAL"
"158","PATCH","TOPICAL"
"159","GEL","NASAL"
"160","SOLUTION","INTRA-ARTICULAR"
