"","dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"1","SEVOFLURANE",169,"SEVOFLURANE","SEVOFLURANE","","","SEVOFLURANE",FALSE,"sevoflurane"
"2","Pomalidomide",22238,"Pomalidomide","Pomalidomide","","","Pomalidomide",FALSE,"pomalidomide"
"3","MUPIROCIN",1832,"MUPIROCIN","MUPIROCIN","","","MUPIROCIN",FALSE,"mupirocin"
"4","BENZALKONIUM CHLORIDE",197,"BENZALKONIUM CHLORIDE","BENZALKONIUM CHLORIDE","Y","BENZALKONIUM","BENZALKONIUM",FALSE,"benzalkonium chloride"
"5","DARUNAVIR (DARUNAVIR ETHANOLATE)",19793,"DARUNAVIR","DARUNAVIR ETHANOLATE","","","DARUNAVIR (DARUNAVIR ETHANOLATE)",FALSE,"darunavir (darunavir ethanolate)"
"6","FIMBRIAE",18,"FIMBRIAE","FIMBRIAE","","","FIMBRIAE",FALSE,"fimbriae"
"7","ALFUZOSIN HYDROCHLORIDE",12699,"ALFUZOSIN HYDROCHLORIDE","ALFUZOSIN HYDROCHLORIDE","Y","ALFUZOSIN","ALFUZOSIN",FALSE,"alfuzosin hydrochloride"
"8","STANDARDIZED TIMOTHY GRASS POLLEN",6333,"STANDARDIZED TIMOTHY GRASS POLLEN","STANDARDIZED TIMOTHY GRASS POLLEN","","","STANDARDIZED TIMOTHY GRASS POLLEN",FALSE,"standardized timothy grass pollen"
"9","Grass Pollen Allergen Extract",21252,"Grass Pollen Allergen Extract","Grass Pollen Allergen Extract","","","Grass Pollen Allergen Extract",FALSE,"grass pollen allergen extract"
"10","CARBOPLATIN",1755,"CARBOPLATIN","CARBOPLATIN","","","CARBOPLATIN",FALSE,"carboplatin"
"11","TELBIVUDINE",20037,"TELBIVUDINE","TELBIVUDINE","","","TELBIVUDINE",FALSE,"telbivudine"
"12","ISOPROTERENOL HYDROCHLORIDE",10114,"ISOPROTERENOL HYDROCHLORIDE","ISOPROTERENOL HYDROCHLORIDE","","","ISOPROTERENOL HYDROCHLORIDE",FALSE,"isoproterenol hydrochloride"
"13","PREDNICARBATE",7559,"PREDNICARBATE","PREDNICARBATE","","","PREDNICARBATE",FALSE,"prednicarbate"
"14","Fingolimod (Fingolimod Hydrochloride)",20671,"Fingolimod","Fingolimod Hydrochloride","","","Fingolimod (Fingolimod Hydrochloride)",FALSE,"fingolimod (fingolimod hydrochloride)"
"15","CILASTATIN (CILASTATIN SODIUM)",11321,"CILASTATIN","CILASTATIN SODIUM","","","CILASTATIN (CILASTATIN SODIUM)",FALSE,"cilastatin (cilastatin sodium)"
"16","ENSULIZOLE",12634,"ENSULIZOLE","ENSULIZOLE","","","ENSULIZOLE",FALSE,"ensulizole"
"17","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C",20530,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C",FALSE,"pneumococcal polysaccharide serotype 18c"
"18","PERICIAZINE",13098,"PERICIAZINE","PERICIAZINE","","","PERICIAZINE",FALSE,"periciazine"
"19","INSULIN SEMI SYNTHETIC HUMAN",7312,"INSULIN SEMI SYNTHETIC HUMAN","INSULIN SEMI SYNTHETIC HUMAN","","","INSULIN SEMI SYNTHETIC HUMAN",FALSE,"insulin semi synthetic human"
"20","NEVIRAPINE",11796,"NEVIRAPINE","NEVIRAPINE","","","NEVIRAPINE",FALSE,"nevirapine"
"21","Perampanel",22049,"Perampanel","Perampanel","","","Perampanel",FALSE,"perampanel"
"22","YELLOW FEVER VACCINE",7903,"YELLOW FEVER VACCINE","YELLOW FEVER VACCINE","","","YELLOW FEVER VACCINE",FALSE,"yellow fever vaccine"
"23","Ponatinib (Ponatinib Hydrochloride)",22576,"Ponatinib","Ponatinib Hydrochloride","","","Ponatinib (Ponatinib Hydrochloride)",FALSE,"ponatinib (ponatinib hydrochloride)"
"24","RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)",7897,"RUBELLA VIRUS VACCINE LIVE ATTENUATED","WISTAR RA27/3 STRAIN","","","RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)",FALSE,"rubella virus vaccine live attenuated (wistar ra27/3 strain)"
"25","CEFTRIAXONE (CEFTRIAXONE SODIUM)",11309,"CEFTRIAXONE","CEFTRIAXONE SODIUM","","","CEFTRIAXONE (CEFTRIAXONE SODIUM)",FALSE,"ceftriaxone (ceftriaxone sodium)"
"26","DOMIPHEN BROMIDE",5904,"DOMIPHEN BROMIDE","DOMIPHEN BROMIDE",NA,NA,NA,NA,NA
"27","SULFUR HEXAFLUORIDE",12131,"SULFUR HEXAFLUORIDE","SULFUR HEXAFLUORIDE","","","SULFUR HEXAFLUORIDE",FALSE,"sulfur hexafluoride"
"28","L-ARGININE",938,"L-ARGININE","L-ARGININE","","","L-ARGININE",FALSE,"l-arginine"
"29","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",2372,"ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",NA,NA,NA,NA,NA
"30","URSODIOL",952,"URSODIOL","URSODIOL","","","URSODIOL",FALSE,"ursodiol"
"31","DOCETAXEL",157,"DOCETAXEL","DOCETAXEL","","","DOCETAXEL",FALSE,"docetaxel"
"32","FOLIC ACID (SODIUM FOLATE)",4991,"FOLIC ACID","SODIUM FOLATE","Y","FOLIC ACID","FOLIC ACID",FALSE,"folic acid (sodium folate)"
"33","SULFUR",74,"SULFUR","SULFUR","","","SULFUR",FALSE,"sulfur"
"34","PASIREOTIDE (Pasireotide Pamoate)",22149,"PASIREOTIDE","Pasireotide Pamoate","","","PASIREOTIDE (Pasireotide Pamoate)",FALSE,"pasireotide (pasireotide pamoate)"
"35","CEFOXITIN (CEFOXITIN SODIUM)",11254,"CEFOXITIN","CEFOXITIN SODIUM","","","CEFOXITIN (CEFOXITIN SODIUM)",FALSE,"cefoxitin (cefoxitin sodium)"
"36","NABUMETONE",946,"NABUMETONE","NABUMETONE","","","NABUMETONE",FALSE,"nabumetone"
"37","INSULIN ISOPHANE HUMAN BIOSYNTHETIC",7671,"INSULIN ISOPHANE HUMAN BIOSYNTHETIC","INSULIN ISOPHANE HUMAN BIOSYNTHETIC","Y","HUMAN INSULIN ISOPHANE","INSULIN ISOPHANE HUMAN",FALSE,"insulin isophane human biosynthetic"
"38","NORETHINDRONE ACETATE",7498,"NORETHINDRONE ACETATE","NORETHINDRONE ACETATE","Y","NORETHINDRONE","NORETHINDRONE",FALSE,"norethindrone acetate"
