"routes","n"
"INTRAMUSCULAR, INTRAVENOUS",128
"INTRAVENOUS, INTRAMUSCULAR",86
"SUBCUTANEOUS, INTRAVENOUS",49
"INTRAVENOUS, SUBCUTANEOUS",46
"INTRAMUSCULAR, SUBCUTANEOUS",23
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",22
"SUBCUTANEOUS, INTRAVENOUS, INTRAMUSCULAR",20
"SUBCUTANEOUS, INTRADERMAL",18
"SUBCUTANEOUS, INTRAMUSCULAR",18
"INTRAVENOUS, INTRAMUSCULAR, SUBCUTANEOUS",17
"INTRAMUSCULAR, SUBCUTANEOUS, INTRAVENOUS",17
"SUBCUTANEOUS, INTRAMUSCULAR, INTRAVENOUS",16
"INTRADERMAL, SUBCUTANEOUS",14
"SUBCUTANEOUS, PERCUTANEOUS",13
"INTRAVENOUS, SUBCUTANEOUS, INTRAMUSCULAR",12
"TOPICAL, RECTAL",9
"INTRACUTANEOUS, SUBCUTANEOUS",9
"BLOCK/INFILTRATION, EPIDURAL",9
"ORAL, INHALATION",8
"PERCUTANEOUS, INTRADERMAL, SUBCUTANEOUS",7
"PERCUTANEOUS, SUBCUTANEOUS",7
"OTIC, OPHTHALMIC",7
"INTRAVENOUS, INTRAVESICAL",7
"SUBCUTANEOUS, INTRACUTANEOUS",6
"ORAL, SUBCUTANEOUS",5
"EPIDURAL, BLOCK/INFILTRATION",5
"DIALYSIS, INTRAVENOUS",4
"VAGINAL, TOPICAL",4
"OPHTHALMIC, OTIC",4
"BUCCAL, ORAL",4
"TOPICAL, ORAL",4
"TOPICAL, OPHTHALMIC",3
"OPHTHALMIC, TOPICAL",3
"INTRAMUSCULAR, INTRAVENOUS, INTRA-ARTERIAL",3
"INTRAVENOUS, INTRA-ARTERIAL",3
"INHALATION, ORAL",3
"PERCUTANEOUS, SUBCUTANEOUS, INTRADERMAL",3
"RECTAL, ORAL",3
"SUBLINGUAL, BUCCAL",3
"TOPICAL, VAGINAL",3
"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS",3
"SUBCUTANEOUS, INTRAVENOUS, INTRATHECAL",3
"INTRATHECAL, SUBCUTANEOUS, INTRAVENOUS",2
"INTRAMUSCULAR, INTRA-ARTICULAR",2
"INTRAVENOUS, IRRIGATION",2
"INTRAVENOUS, INTRATHECAL, SUBCUTANEOUS",2
"NASOGASTRIC, ORAL",2
"INTRAPERITONEAL, SUBCUTANEOUS, INTRAVENOUS, INTRAMUSCULAR",2
"ORAL, TOPICAL",2
"SUBARACHNOIDAL, INTRAVASCULAR",2
"INTRAVENOUS, INTRATHECAL, INTRAMUSCULAR, INTRA-ARTERIAL",2
"RECTAL, TOPICAL",2
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS",2
"INTRAVENOUS, INHALATION, ORAL",2
"INTRA-ARTERIAL, INTRAVENOUS",2
"INHALATION, NASAL",2
"BUCCAL, SUBLINGUAL",2
"INTRAVASCULAR, SUBARACHNOIDAL",2
"SUBCUTANEOUS, INTRADERMAL, PERCUTANEOUS",2
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS",2
"INTRAMUSCULAR, TOPICAL",2
"INTRAVESICAL, INTRAVENOUS",2
"INTRACAUDAL, EPIDURAL",1
"EPIDURAL, INTRAVENOUS",1
"INTRAPERITONEAL, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",1
"INTRABURSAL, INTRA-ARTICULAR",1
"INTRATRACHEAL, INTRAVENOUS, INTRAMUSCULAR, SUBCUTANEOUS, INTRACARDIAC",1
"INTRALESIONAL, INTRA-ARTICULAR, INTRASYNOVIAL, INTRAMUSCULAR",1
"INTRAVENOUS, EPIDURAL",1
"INTRAMUSCULAR, INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL",1
"SUBCUTANEOUS, INTRATHECAL, INTRAVENOUS",1
"INTRADERMAL, SUBCUTANEOUS, PERCUTANEOUS",1
"INTRAVENOUS, INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL",1
"INTRALESIONAL, SOFT TISSUE INJECTION, INTRAVENOUS, INTRA-ARTICULAR, INTRAMUSCULAR",1
"INTRAMUSCULAR, INTRAPERITONEAL, SUBCUTANEOUS, INTRAVENOUS",1
"INTRAVENOUS, SUBCUTANEOUS, INTRACAVITARY, INTRA-ARTERIAL, INTRAMUSCULAR",1
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS, INTRAPERITONEAL",1
"INTRA-ARTERIAL, INTRATHECAL, INTRAMUSCULAR, INTRAVENOUS",1
"ORAL, VAGINAL, TOPICAL",1
"INTRADERMAL, INTRABURSAL, INTRA-ARTICULAR, INTRASYNOVIAL",1
"INTRAPERITONEAL, IRRIGATION",1
"INTRALESIONAL, INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL",1
"INTRASYNOVIAL, INTRAMUSCULAR, INTRA-ARTICULAR, INTRALESIONAL",1
"INTRAMUSCULAR, INTRALESIONAL, INTRASYNOVIAL, INTRA-ARTICULAR",1
"INTRASYNOVIAL, INTRAMUSCULAR, SOFT TISSUE INJECTION, INTRA-ARTICULAR",1
"INTRATHECAL, OPHTHALMIC, INTRAMUSCULAR, INTRAVENOUS",1
"INTRAMUSCULAR, SUBCUTANEOUS, INTRAPERITONEAL, INTRAVENOUS",1
"INTRASYNOVIAL, INTRAVENOUS, INTRAMUSCULAR",1
"INTRAMUSCULAR, INTRATHECAL, INTRA-ARTERIAL, INTRAVENOUS",1
"INTRAVENOUS, INTRACARDIAC",1
"SUBCUTANEOUS, PERCUTANEOUS, INTRADERMAL",1
"ORAL, INTRAVENOUS",1
"INTRAVENOUS, INTRAMUSCULAR, INTRAVENTRICULAR, INTRATHECAL, INTRA-ARTERIAL",1
"INTRAVENOUS, ORAL",1
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS",1
"INTRAMUSCULAR, INTRAVENOUS, INTRASYNOVIAL",1
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS, INTRATHECAL",1
"INTRA-ARTICULAR, INTRASYNOVIAL, INTRAMUSCULAR, INTRALESIONAL",1
"INTRAMUSCULAR, INTRAVENOUS, EPIDURAL",1
"INTRASYNOVIAL, INTRA-ARTICULAR, INTRAMUSCULAR, SOFT TISSUE INJECTION",1
"INTRASYNOVIAL, INTRADERMAL, INTRABURSAL, INTRA-ARTICULAR",1
"INTRAVENOUS, INTRA-ARTERIAL, INTRAMUSCULAR",1
"TOPICAL, INTRADERMAL",1
"INTRACARDIAC, INTRATRACHEAL, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",1
"INTRAPLEURAL, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",1
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS",1
"INTRACAVITARY, PARENTERAL (UNSPECIFIED)",1
"TOPICAL, INHALATION",1
"INTRAMUSCULAR, INTRALESIONAL, INTRA-ARTICULAR",1
"ORAL, BUCCAL",1
"RETROBULBAR, EPIDURAL",1
"TOPICAL, INTRAPERITONEAL, IRRIGATION",1
"INTRAMUSCULAR, INTRA-ARTERIAL, INTRAVENOUS",1
"INTRAVENOUS, INTRASYNOVIAL, INTRAMUSCULAR",1
"SUBCUTANEOUS, INTRAVENOUS, INTRAMUSCULAR, INTRALESIONAL",1
"INTRA-ARTERIAL, INTRAVENTRICULAR, INTRAVENOUS, INTRATHECAL, INTRAMUSCULAR",1
"INTRAMUSCULAR, INTRA-ARTICULAR, INTRABURSAL",1
"SUBCUTANEOUS, ORAL",1
"IRRIGATION, INTRAPERITONEAL, TOPICAL",1
"NASAL, ORAL",1
"ORAL, NASAL",1
"INTRAMUSCULAR, INTRA-ARTERIAL, INTRAVENOUS, INTRATHECAL",1
"INTRAMUSCULAR, INTRALESIONAL, INTRA-ARTICULAR, INTRADERMAL",1
"EPIDURAL, INTRACAUDAL",1
"ORAL, RECTAL",1
"INTRATHECAL, INTRAVENOUS, INTRA-ARTERIAL, INTRAMUSCULAR",1
"INTRA-ARTICULAR, INTRASYNOVIAL, INTRAMUSCULAR, SOFT TISSUE INJECTION",1
"INTRASYNOVIAL, SOFT TISSUE INJECTION, INTRAMUSCULAR, INTRA-ARTICULAR",1
"INTRAVENOUS, INTRAMUSCULAR, EPIDURAL",1
"SUBCUTANEOUS, INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS",1
"TOPICAL, BUCCAL",1
"IRRIGATION, INTRAPERITONEAL",1
"ORAL, NASOGASTRIC",1
"INTRAVENOUS, SUBCUTANEOUS, EPIDURAL",1
