"uuid","status","_name","_approvalIDDisplay","substance"
"c896ed45-b56a-4b4f-af55-7df0d65803f6","approved","SEVOFLURANE","38LVP0K73A","sevoflurane"
"b205fbad-22c6-49d0-a552-c58d55c872ea","approved","POMALIDOMIDE","D2UX06XLB5","pomalidomide"
"afec5d71-a5e9-4b76-ae4c-fe1caa7421df","approved","MUPIROCIN","D0GX863OA5","mupirocin"
"99f19bc0-c9c7-4c4f-8f4b-d5e653eb2374","approved","BENZALKONIUM CHLORIDE","F5UM2KM3W7","benzalkonium chloride"
"547dd10d-eca0-4afb-bdf8-025ad5976723","approved","DARUNAVIR","YO603Y8113","darunavir"
NA,NA,NA,NA,"fimbriae"
"999ab186-f90d-48d1-a4f5-51a0eed93711","approved","ALFUZOSIN HYDROCHLORIDE","75046A1XTN","alfuzosin hydrochloride"
"a91707a2-e5fc-464c-a3ea-2e3f391b6f8c","non-approved","ALLERGENIC EXTRACT- TIMOTHY PHLEUM PROTENSE","65M88RW2EG","standardized timothy grass pollen"
NA,NA,NA,NA,"grass pollen allergen extract"
"6ab03c64-4b1f-434b-b59b-44103d4417ae","non-approved","CARBOPLATIN","BG3F62OND5","carboplatin"
"754e42fc-5a2e-41d3-8ef2-365f7f6aeaec","approved","TELBIVUDINE","2OC4HKD3SF","telbivudine"
"b45155bf-e726-44d0-8c20-bc8696a7803c","approved","ISOPROTERENOL HYDROCHLORIDE","DIA2A74855","isoproterenol hydrochloride"
"8d5e716b-a456-4684-8017-b5f4c074a5f4","approved","PREDNICARBATE","V901LV1K7D","prednicarbate"
"0dabfbc7-215c-4672-ab33-f2146aad9a8a","approved","FINGOLIMOD","3QN8BYN5QF","fingolimod"
"936b1f78-bd26-41a2-ac8a-e81673053d70","approved","CILASTATIN","141A6AMN38","cilastatin"
"d8c3d4b7-f88b-43dc-8f86-2a5248dbd2db","approved","ENSULIZOLE","9YQ9DI1W42","ensulizole"
NA,NA,NA,NA,"pneumococcal polysaccharide serotype 18c"
"06d269e0-f53e-4544-8098-e927c49500df","approved","PERICIAZINE","3405M6FD73","periciazine"
"854af18d-0fb3-46d7-8ab8-7af7d5ac022f","approved","INSULIN HUMAN","1Y17CTI5SR","insulin semi synthetic human"
"f1faa184-7813-4b8a-a9ce-2ddc4289edc8","approved","NEVIRAPINE","99DK7FVK1H","nevirapine"
"89329bf3-9ca7-49b7-9061-282a749e2224","approved","PERAMPANEL","H821664NPK","perampanel"
NA,NA,NA,NA,"yellow fever vaccine"
"3ec46f7c-8650-4edc-a3d5-4de101911df3","approved","PONATINIB","4340891KFS","ponatinib"
NA,NA,NA,NA,"rubella virus vaccine live attenuated"
"d33ea4c2-1882-41f7-af82-0a3804e8f680","approved","CEFTRIAXONE","75J73V1629","ceftriaxone"
"54e603b9-cf86-4138-b252-f1d497a15d38","approved","DOMIPHEN BROMIDE","R4CY19YS7C","domiphen bromide"
"a3b17c1a-f3ef-4b08-ac3c-440099c2d30a","approved","SULFUR HEXAFLUORIDE","WS7LR3I1D6","sulfur hexafluoride"
"3fea16b0-c9cc-423c-8277-b40d2f4ab617","approved","ARGININE","94ZLA3W45F","l-arginine"
NA,NA,NA,NA,"aluminum hydroxide-sucrose dried gel"
"c431e49c-ef80-4f34-8f85-a53276b272a9","approved","URSODIOL","724L30Y2QR","ursodiol"
"f3c986f2-baf6-4607-8d0a-ff14463d97a9","approved","DOCETAXEL ANHYDROUS","699121PHCA","docetaxel"
"1de49621-d7c2-4e0c-b628-2f16a147775a","approved","DOCETAXEL","15H5577CQD","docetaxel"
"2f094a31-106b-442b-8cea-8668d97bed84","approved","FOLIC ACID","935E97BOY8","folic acid"
"f97ea0d3-a512-401c-bc7f-a3e1c43fe462","approved","SULFUR","70FD1KFU70","sulfur"
"abe93b9b-9a8f-48b9-931b-649214dbaf5b","approved","PASIREOTIDE","98H1T17066","pasireotide"
"dc6ed622-ebd5-4d81-8796-7e3d09499311","approved","CEFOXITIN","6OEV9DX57Y","cefoxitin"
"fdd16b32-768c-4497-9ad5-7cbd8883c39c","approved","NABUMETONE","LW0TIW155Z","nabumetone"
NA,NA,NA,NA,"insulin isophane human biosynthetic"
"ce18f1a0-5e91-4d97-afad-cfd05d025144","approved","NORETHINDRONE ACETATE","9S44LIC7OJ","norethindrone acetate"
"ef40e1a6-260b-4b1a-8087-5135a0fee818","approved","ZOLMITRIPTAN","2FS66TH3YW","zolmitriptan"
NA,NA,NA,NA,"pneumococcal polysaccharide serotype 10a"
"ac947a16-03e8-4953-8515-37d8ee7f2c59","approved","KETAMINE","690G0D6V8H","ketamine"
"35c0b13f-1e1f-4fef-ba52-8d24862ab967","approved","PYRANTEL","4QIH0N49E7","pyrantel"
"f6c61c2c-26bb-4e1d-b6d3-d16f916ee963","approved","IRON","E1UOL152H7","iron"
"aa3f16a1-4c9a-4629-b20f-bb23ff0377d4","approved","LEUPROLIDE ACETATE","37JNS02E7V","leuprolide acetate"
"51436b41-5824-4e45-9dbe-f782e5879ba4","approved","LYSINE","K3Z4F929H6","l-lysine"
"415b765d-29e8-495e-baa2-76438dfe0921","approved","ORNITHINE DIHYDROCHLORIDE","8N284L2VLC","l-ornithine dihydrochloride"
"ef406281-b468-4064-9e24-46307242419c","approved","LIDOCAINE","98PI200987","lidocaine"
"58f7c9d3-8363-4125-ac0f-e2dd3dc4fe7b","approved","EPHEDRINE SULFATE","U6X61U5ZEG","ephedrine sulfate"
NA,NA,NA,NA,"lutropin alfa"
"74a6ede0-13ab-4c51-bc9c-5e91531990b7","approved","TRIAZOLAM","1HM943223R","triazolam"
NA,NA,NA,NA,"pneumococcal polysaccharide serotype 11a"
"293264da-e37f-4c05-bd21-ac57f13bf80b","approved","ENALAPRIL SODIUM","94A7UFL2SI","enalapril sodium"
"36aff733-0241-4829-891e-bf82f97952cb","approved","HISTIDINE","4QD397987E","histidine"
"7f0068ab-9f71-467f-80ee-8e3f0fd80636","approved","HISTIDINE, DL-","QU6SDF3Q03","histidine"
"64e718cd-875a-4edb-9197-6777a3d5e7c5","approved","PROCARBAZINE","35S93Y190K","procarbazine"
"b99598d2-65ce-4aa9-aa0e-3a64a2695c9b","approved","ESTRAMUSTINE PHOSPHATE SODIUM","75F375MT2N","estramustine phosphate sodium"
"0bf03be8-0951-429f-9d29-2511019e84af","approved","ESTRAMUSTINE PHOSPHATE SODIUM ANHYDROUS","IQ856M1R16","estramustine phosphate sodium"
"d8baadde-1d1c-4589-be4a-5225ca138db6","approved","DEXTROAMPHETAMINE SACCHARATE","G83415V073","dextroamphetamine saccharate"
"d77a28ac-3e03-4ddc-b187-56358b83a7ce","approved","MEGLUMINE IOXITHALAMATE","5791GC9HSW","meglumine ioxitalamate"
"d8faa0bb-8d32-40e7-8479-fdc76ea28ecc","approved","LAMIVUDINE","2T8Q726O95","lamivudine"
"eae4c704-b921-4137-af5f-92c2fe86487a","approved","CABAZITAXEL","51F690397J","cabazitaxel"
"920c0e69-9999-40cc-8add-0f4ac1c14b06","approved","TRABECTEDIN","ID0YZQ2TCP","trabectedin"
"48ac979b-d562-4be0-8edc-f3867169a5df","approved","ONDANSETRON","4AF302ESOS","ondansetron"
"20f74c0f-5553-497d-8986-f4a8097063df","approved","IXAZOMIB","71050168A2","ixazomib"
"6217d5b5-dbd9-4fad-82aa-9c5e56301100","approved","ACYCLOVIR","X4HES1O11F","acyclovir"
"7583aa1c-7fab-4d0e-9ab2-5e48febb7e3b","approved","DISOPYRAMIDE","GFO928U8MQ","disopyramide"
"dc11392f-82fc-451a-be9f-63a9fb99bf48","approved","TRAZODONE HYDROCHLORIDE","6E8ZO8LRNM","trazodone hydrochloride"
"2c8ce86d-cf02-41c7-b807-fff2fd36b311","approved","CETRIMIDE","24QSH2NL8N","cetrimide"
NA,NA,NA,NA,"haemophilus influenzae type b-prp and tetanus toxoid conjugate"
NA,NA,NA,NA,"hepatitis a vaccine, inactivated"
"298a9f0e-06be-4353-b7b8-6602f5c39582","approved","CROMOLYN SODIUM","Q2WXR1I0PK","cromolyn sodium"
"934e9a7c-14fc-48ce-9fd5-dc8c1f6af605","non-approved","APROTININ","04XPW8C0FL","aprotinin"
"c25a7916-cb30-4ba3-9d34-060e544eacd8","approved","OCTINOXATE","4Y5P7MUD51","octinoxate"
"b00e9f94-1d55-4ad6-ad6c-57a1468eaa2d","non-approved","ABOBOTULINUMTOXINA","E211KPY694","abobotulinumtoxina"
"f193a9ed-4519-4356-b4d8-9b715b270bef","approved","DARBEPOETIN ALFA","15UQ94PT4P","darbepoetin alfa"
"d6101c20-f886-42f0-b70f-11fda812adaf","approved","ZIPRASIDONE","6UKA5VEJ6X","ziprasidone"
"be2bdc87-7abb-4ea4-a0f0-e016d376c03f","approved","PACLITAXEL","P88XT4IS4D","paclitaxel"
"58a7780f-20ef-46ad-9217-517213209695","approved","VECURONIUM BROMIDE","7E4PHP5N1D","vecuronium bromide"
"69d7f95b-0304-4910-8fe2-5b5923c0da08","approved","CHOLINE","N91BDP6H0X","choline"
NA,NA,NA,NA,"palivizumab"
"a897a5d6-891f-498c-8700-5dc06762f8f7","approved","THIOTHIXENE","7318FJ13YJ","thiothixene"
NA,NA,NA,NA,"sealer protein"
"e53f7e7e-47bd-4150-85d3-f96ab16f237f","approved","HYDROCORTISONE","WI4X0X7BPJ","hydrocortisone"
"7b39e4f2-2f36-4ea6-a8a1-d7437bacd0aa","approved","LIRAGLUTIDE","839I73S42A","liraglutide"
"90c05720-ed0d-4f6a-96a9-91bf01ebdf5c","approved","KETOTIFEN FUMARATE","HBD503WORO","ketotifen fumarate"
"5b3fa89b-1195-4967-a97b-c8e7466ea04b","approved","OXYCODONE HYDROCHLORIDE","C1ENJ2TE6C","oxycodone hydrochloride"
"02021592-a64e-4509-b70a-14da45aac1b1","approved","BESIFLOXACIN","BFE2NBZ7NX","besifloxacin"
"ab11e624-4785-47b1-955c-f2ffa2931245","approved","MAGNESIUM HYDROXIDE","NBZ3QY004S","magnesium hydroxide"
"4483ef49-c305-41fd-911a-91fcc63d7810","non-approved","RESLIZUMAB","35A26E427H","reslizumab"
"59b2a1e5-be49-4466-8ced-0c3ae0d57d2a","approved","LEUCINE","GMW67QNF9C","leucine"
"d3b9600d-e995-4d01-81d2-f5c2832d36d5","approved","PAROXETINE","41VRH5220H","paroxetine"
"3437d4ae-c3c0-43b8-9a89-c1adf4171480","approved","ETOPOSIDE","6PLQ3CP4P3","etoposide"
"c15294fa-30d3-4ea2-8b18-b57c18d5f878","approved","PATENT BLUE V SODIUM","9ZL680Q9Z5","patent blue sodium"
