"extract","drug_code","drug_identification_number","brand_name","last_update_date","first_market_date","current_status"
"active",89719,"02412519","FACE IT POWER PERFECTION BB CREAM SPF 37/PA++",2017-09-15,2017-09-12,"MARKETED"
"active",94632,"02459132","MOVAPO",2017-09-11,2017-09-07,"MARKETED"
"active",94652,"02459329","DOTAREM",2017-09-22,2017-09-22,"MARKETED"
"active",94957,"02461838","BEAUTY BOOSTER LIP GLOSS SPF 15",2017-09-21,2017-09-15,"MARKETED"
"active",94958,"02461846","BEAUTY BALM INSTANT SOLUTIONS BROAD SPECTRUM SPF 35",2017-09-21,2017-09-15,"MARKETED"
"active",94959,"02461854","BEAUTY BOOSTER CREAM SPF 30",2017-09-21,2017-09-15,"MARKETED"
"active",95243,"02464276","ADLYXINE",2017-09-14,2017-09-12,"MARKETED"
"active",95244,"02464284","ADLYXINE",2017-09-14,2017-09-12,"MARKETED"
"active",95250,"02464349","ADLYXINE",2017-09-14,2017-09-12,"MARKETED"
"active",95353,"02465337","ISENTRESS HD",2017-09-15,2017-09-11,"MARKETED"
"active",95424,"02465981","DEFITELIO",2017-09-21,2017-09-06,"MARKETED"
"active",95561,"02467224","OCREVUS",2017-09-25,2017-09-21,"MARKETED"
"active",95590,"02467542","VOSEVI",2017-09-21,2017-09-18,"MARKETED"
"active",95623,"02467879","TRESIBA",2017-09-28,2017-09-15,"MARKETED"
"active",95624,"02467887","TRESIBA",2017-09-28,2017-09-15,"MARKETED"
