DRUG_CODE	DRUG_IDENTIFICATION_NUMBER	MP_FORMAL_NAME	NTP_FORMAL_NAME	NTP_TYPE
74243	02257238	LINESSA 28 (desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with  desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet with lactose oral tablet) ASPEN PHARMA TRADING LIMITED	desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with  desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet with lactose oral tablet	combination product
75841	02272903	"LINESSA 21 (desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with 
desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet) ASPEN PHARMA TRADING LIMITED"	"desogestrel 0.1 mg and estradiol 0.025 mg oral tablet with 
desogestrel 0.125 mg and estradiol 0.025 mg oral tablet with desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet"	combination product
14355	02042479	MARVELON 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) MERCK CANADA INC	desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet	
80272	02317206	APRI 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) TEVA CANADA LIMITED		
88165	02396610	FREYA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) MYLAN PHARMACEUTICALS ULC		
89491	02410257	MIRVALA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) APOTEX INC		
90216	02417464	RECLIPSEN 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) ACTAVIS PHARMA COMPANY		
77558	02290308	CYESTRA-35 (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) PALADIN LABS INC	cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet	
79517	02309556	NOVO-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) TEVA CANADA LIMITED		
90968	02425017	RAN-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.		
92104	02436736	CLÉO-35 (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) ASPRI PHARMA CANADA INC		
53444	02233542	DIANE-35 (cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet) BAYER INC		
14355	02042479	MARVELON 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) MERCK CANADA INC	desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral table	
80272	02317206	APRI 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) TEVA CANADA LIMITED		
88165	02396610	FREYA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) MYLAN PHARMACEUTICALS ULC		
89491	02410257	MIRVALA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) APOTEX INC		
90216	02417464	RECLIPSEN 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) ACTAVIS PHARMA COMPANY		
80656	02321157	YAZ (drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet) BAYER INC	drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet	
89999	02415380	MYA (drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet) APOTEX INC		
74710	02261723	YASMIN 21 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet) BAYER INC	drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet	
89544	02410788	ZAMINE 21 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet) APOTEX INC		
87071	02385058	ZARAH 21 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet) COBALT PHARMACEUTICALS COMPANY		
