tm_code,tm_formal_name
8000001,levothyroxine
8000004,phenytoin sodium
8000005,phenytoin (base)
8000008,hydrocortisone
8000009,hydroxyzine
8000010,methylphenidate
8000012,hydroxychloroquine
8000013,warfarin
8000014,prednisone
8000015,spironolactone
8000018,medroxyprogesterone
8000020,norethindrone
8000021,conjugated estrogens
8000023,acetaminophen and caffeine and codeine
8000024,amitriptyline
8000026,nortriptyline
8000027,azathioprine
8000029,quinine sulfate
8000030,triamcinolone acetonide
8000031,hydrochlorothiazide
8000032,carbamazepine
8000037,erythromycin
8000038,metronidazole
8000040,cephalexin
8000041,lithium carbonate
8000043,ibuprofen
8000044,nitroglycerin
8000045,oxycodone
8000046,allopurinol
8000047,colchicine
8000048,diazepam
8000049,ethinyl estradiol and norethindrone
8000050,nitrofurantoin
8000051,prednisolone
8000053,betamethasone (base)
8000054,carbidopa and levodopa
8000057,furosemide
8000059,acetaminophen and oxycodone
8000061,clonazepam
8000063,metoprolol
8000064,penicillin v
8000065,acetaminophen and codeine
8000066,baclofen
8000067,benztropine
8000069,codeine
8000073,amoxicillin
8000075,calcitriol
8000078,nystatin
8000079,oxazepam
8000081,timolol
8000082,diclofenac
8000084,haloperidol
8000085,indomethacin
8000086,propranolol
8000087,temazepam
8000088,alprazolam
8000090,bromazepam
8000091,flurazepam
8000092,hydrochlorothiazide and triamterene
8000095,acyclovir
8000097,indapamide
8000104,fusidic acid
8000107,procyclidine
8000108,valproic acid (divalproex)
8000109,lorazepam
8000110,acebutolol
8000115,glyburide
8000117,doxycycline
8000119,ethinyl estradiol and levonorgestrel
8000120,ranitidine
8000121,atenolol
8000122,diltiazem
8000123,nifedipine
8000124,verapamil
8000127,fentanyl
8000128,fluoxetine
8000130,metoclopramide
8000131,omeprazole
8000134,budesonide
8000135,clonidine
8000139,gliclazide
8000140,lisinopril
8000141,pravastatin
8000142,simvastatin
8000143,zopiclone
8000147,clozapine
8000148,mometasone
8000153,amlodipine
8000154,amoxicillin and clavulanic acid
8000160,clarithromycin
8000161,clobetasol
8000162,dextroamphetamine
8000163,doxazosin
8000164,ethinyl estradiol and norgestimate
8000165,felodipine
8000166,finasteride
8000168,insulin isophane human
8000169,ketorolac
8000170,quinapril
8000171,sertraline
8000172,vitamin D3 (cholecalciferol)
8000173,fluticasone
8000179,desogestrel and ethinyl estradiol
8000180,diclofenac and misoprostol
8000181,domperidone
8000183,mesalazine
8000184,metformin
8000185,paroxetine
8000187,risperidone
8000188,terbinafine
8000189,trazodone
8000196,cyclobenzaprine
8000198,digoxin
8000200,gabapentin
8000201,hydrochlorothiazide and lisinopril
8000203,isosorbide mononitrate
8000204,lithium (ion)
8000205,minocycline
8000206,perindopril
8000208,beclomethasone
8000210,cefprozil
8000213,estradiol
8000214,lamotrigine
8000215,lansoprazole
8000216,losartan
8000218,naproxen
8000219,oxybutynin
8000220,progesterone
8000221,valproic acid
8000222,tacrolimus
8000225,fenofibrate
8000226,olanzapine
8000229,hydrochlorothiazide and losartan
8000230,ciclopirox
8000233,valacyclovir
8000234,sumatriptan
8000235,atorvastatin
8000236,pantoprazole
8000237,cetirizine
8000238,clobazam
8000239,ramipril
8000240,topiramate
8000244,latanoprost
8000246,donepezil
8000247,terazosin
8000248,quetiapine
8000249,valsartan
8000250,trandolapril
8000251,olopatadine
8000253,pramipexole
8000254,venlafaxine
8000256,cyproterone and ethinyl estradiol
8000257,bupropion
8000259,irbesartan
8000261,montelukast
8000262,hydrochlorothiazide and quinapril
8000263,clopidogrel
8000265,tolterodine
8000266,candesartan
8000267,citalopram
8000268,sildenafil
8000269,amiodarone
8000271,celecoxib
8000272,dorzolamide and timolol
8000273,repaglinide
8000276,rizatriptan
