drug_code	unit_of_presentation	uop_size	uop_unit_of_measure	calculation			
69790	vial	10	mL	N		02245689	LANTUS SANOFI-AVENTIS CANADA INC
73683	cartridge	3	mL	N		02251930	LANTUS SANOFI-AVENTIS CANADA INC
93005	cartridge	3	mL	N		02444844	BASAGLAR ELI LILLY CANADA INC
77967	pen	3	mL	N		02294338	LANTUS SANOFI-AVENTIS CANADA INC
93006	pen	3	mL	N		02444852	BASAGLAR ELI LILLY CANADA INC
71180	vial	3	mL	Y		02246953	AMIODARONE FOR INJECTION 50MG/ML TEVA CANADA LIMITED
66036	vial	3	mL	Y		02242325	AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED
86000	syringe	3	mL	Y		02374684	AMIODARONE SYRINGE SANDOZ CANADA INCORPORATED
66036	vial	9	mL	Y		02242325	AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED
71180	vial	18	mL	Y		02246953	AMIODARONE FOR INJECTION 50MG/ML TEVA CANADA LIMITED
66036	vial	18	mL	Y		02242325	AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED
69271	vial	3	mL	Y		02245248	AMIODARONE HYDROCHLORIDE INJECTION FRESENIUS KABI CANADA LTD
19798	unit dose vial	1	mL	Y		02097168	RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED 
19798	unit dose vial	2	mL	Y		02097168	RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED 
50443	bottle	20	mL	N		02231136	PMS-IPRATROPIUM PHARMASCIENCE INC 
50551	unit dose vial	1	mL	Y		02231244	PMS-IPRATROPIUM PHARMASCIENCE INC 
50552	unit dose vial	2	mL	Y		02231245	PMS-IPRATROPIUM PHARMASCIENCE INC 
43176	unit dose vial	1	mL	Y		02216221	TEVA-IPRATROPIUM STERINEBS TEVA CANADA LIMITED
43176	unit dose vial	2	mL	Y		02216221	TEVA-IPRATROPIUM STERINEBS TEVA CANADA LIMITED
62586	bottle	20	mL	N		02239131	MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC
62586	unit dose vial	1	mL	Y		02239131	MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC
62586	unit dose vial	2	mL	Y		02239131	MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC
50824	unit dose vial	2	mL	Y		02231494	APO-IPRAVENT STERULES APOTEX INC
16947	bottle	20	mL	N		02126222	APO-IPRAVENT SOLUTION - INH 250MCG/ML APOTEX INC
67766	unit dose vial	2	mL	Y		02243827	APO-IPRAVENT STERULES APOTEX INC
43798	unit dose vial	2	mL	Y		02097176	RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED
50442	unit dose vial	2	mL	Y		02231135	PMS-IPRATROPIUM PHARMASCIENCE INC
69797	vial	3	mL	Y		02245696	AMIODARONE HYDROCHLORIDE FOR INJECTION WITH PRESERVATIVE HOSPIRA HEALTHCARE CORPORATION
69797	vial	6	mL	Y		02245696	AMIODARONE HYDROCHLORIDE FOR INJECTION WITH PRESERVATIVE HOSPIRA HEALTHCARE CORPORATION
60208	vial	20	mL	Y		02236916	ACYCLOVIR SODIUM INJECTION HOSPIRA HEALTHCARE CORPORATION 
60218	vial	10	mL	Y		02236926	ACYCLOVIR SODIUM INJECTION FRESENIUS KABI CANADA LTD
60218	vial	20	mL	Y		02236926	ACYCLOVIR SODIUM INJECTION FRESENIUS KABI CANADA LTD
17277	ampoule	1	mL	Y		02131048	LIORESAL INTRATHECAL 0.05MG/ML NOVARTIS PHARMACEUTICALS CANADA INC
89827	ampoule	1	mL	Y		02413620	VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C.
