rank,ai_set
1,LEVOTHYROXINE
2,ATORVASTATIN
3,ROSUVASTATIN
4,METFORMIN
5,PANTOPRAZOLE
6,AMLODIPINE
7,RAMIPRIL
8,FUROSEMIDE
9,METOPROLOL
10,LORAZEPAM
11,HYDROCHLOROTHIAZIDE
12,CITALOPRAM
13,QUETIAPINE
14,VENLAFAXINE
15,SALBUTAMOL
16,AMOXICILLIN
17,ZOPICLONE
18,WARFARIN
19,BISOPROLOL
20,ACETAMINOPHEN!CAFFEINE!CODEINE
21,CLONAZEPAM
22,RABEPRAZOLE SODIUM
23,PERINDOPRIL
24,TRAZODONE
25,CLOPIDOGREL
26,ESOMEPRAZOLE
27,ETHINYLESTRADIOL!LEVONORGESTREL
28,CHOLECALCIFEROL
29,ATENOLOL
30,NAPROXEN
31,TAMSULOSIN
32,FLUTICASONE
33,RISPERIDONE
34,RISEDRONATE
35,HYDROMORPHONE
36,ESCITALOPRAM
37,PREGABALIN
38,GLICLAZIDE
39,NIFEDIPINE
40,AMITRIPTYLINE
41,LANSOPRAZOLE
42,DILTIAZEM
43,OMEPRAZOLE
44,MOMETASONE
45,GABAPENTIN
46,ACETAMINOPHEN!OXYCODONE
47,SIMVASTATIN
48,BUPROPION
49,IRBESARTAN
50,ALLOPURINOL
51,CELECOXIB
52,METHYLPHENIDATE
53,SERTRALINE
54,OLANZAPINE
55,PREDNISONE
56,ALENDRONATE
57,OXAZEPAM
58,VALSARTAN
59,PAROXETINE
60,ESTRADIOL
61,RANITIDINE
62,GLYBURIDE
63,CANDESARTAN CILEXETIL
64,EZETIMIBE
65,FLUTICASONE!SALMETEROL
66,CIPROFLOXACIN
67,MIRTAZAPINE
68,DOMPERIDONE
69,DIVALPROEX
70,OXYCODONE
71,ETHINYLESTRADIOL!NORGESTIMATE
72,AZITHROMYCIN
73,CLARITHROMYCIN
74,DONEPEZIL
75,TIOTROPIUM BROMIDE
76,METHADONE
77,MORPHINE
78,CYCLOBENZAPRINE
79,DROSPIRENONE!ETHINYLESTRADIOL
80,TELMISARTAN
81,CEPHALEXIN
82,BETAMETHASONE
83,DULOXETINE
84,DIGOXIN
85,HYDROCHLOROTHIAZIDE!VALSARTAN
86,BUDESONIDE!FORMOTEROL
87,TEMAZEPAM
88,NITROGLYCERIN
89,DESOGESTREL!ETHINYLESTRADIOL
90,FOLIC ACID
91,SPIRONOLACTONE
92,VALACYCLOVIR
93,FENOFIBRATE
94,"ESTROGENIC SUB,CONJUGATED"
95,PRAVASTATIN
96,HYDROCHLOROTHIAZIDE!IRBESARTAN
97,LOSARTAN
98,FLUOXETINE
99,LITHIUM
100,DUTASTERIDE
101,DICLOFENAC
102,FUSIDIC ACID
103,NITROFURANTOIN
104,CARBAMAZEPINE
105,ENALAPRIL
106,INSULIN GLARGINE
107,MONTELUKAST
108,SITAGLIPTIN
109,FINASTERIDE
110,PHENYTOIN
111,SILDENAFIL
112,CARBIDOPA!LEVODOPA
113,ALPRAZOLAM
114,LISINOPRIL
115,MEDROXYPROGESTERONE
116,SULFAMETHOXAZOLE!TRIMETHOPRIM
117,TADALAFIL
118,INDAPAMIDE!PERINDOPRIL
119,DICLOFENAC!MISOPROSTOL
120,MOXIFLOXACIN
121,METRONIDAZOLE
122,CLINDAMYCIN
123,METHOTREXATE
124,CLONIDINE
125,DEXLANSOPRAZOLE
126,LATANOPROST
127,INDAPAMIDE
128,OXYBUTYNIN
129,HYDROCORTISONE
130,ACETAMINOPHEN!TRAMADOL
131,PROPRANOLOL
132,LAMOTRIGINE
133,HUMAN INSULIN ISOPHANE
134,AMOXICILLIN!CLAVULANIC ACID
135,INSULIN ASPART
136,MELOXICAM
137,ARIPIPRAZOLE
138,TRANDOLAPRIL
139,ACETAMINOPHEN!CODEINE
140,BUPRENORPHINE!NALOXONE
141,PENICILLIN V
142,BACLOFEN
143,DIAZEPAM
144,PROGESTERONE
145,HYDROCHLOROTHIAZIDE!TELMISARTAN
146,HYDROCHLOROTHIAZIDE!TRIAMTERENE
147,TOLTERODINE
148,ISOSORBIDE-5-MONONITRATE
149,GALANTAMINE
150,IBUPROFEN
151,HYDROCHLOROTHIAZIDE!LOSARTAN
152,CETIRIZINE
153,TOPIRAMATE
154,HYDROXYCHLOROQUINE
155,PREDNISOLONE
156,CICLESONIDE
157,FENTANYL
158,HYDROXYZINE
159,DEXAMETHASONE
160,ALENDRONATE!CHOLECALCIFEROL
161,IPRATROPIUM
162,CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE
163,QUINAPRIL
164,BUDESONIDE
165,INSULIN LISPRO
