rank,ai_set
166,ACEBUTOLOL
20,ACETAMINOPHEN!CAFFEINE!CODEINE
139,ACETAMINOPHEN!CODEINE
46,ACETAMINOPHEN!OXYCODONE
130,ACETAMINOPHEN!TRAMADOL
,ACETYLSALICYLIC ACID!OXYCODONE
218,ACYCLOVIR
56,ALENDRONIC ACID
160,ALENDRONIC ACID!CHOLECALCIFEROL
178,ALFUZOSIN
50,ALLOPURINOL
113,ALPRAZOLAM
185,AMIODARONE
40,AMITRIPTYLINE
6,AMLODIPINE
16,AMOXICILLIN
134,AMOXICILLIN!CLAVULANIC ACID
225,AMPHETAMINE!DEXTROAMPHETAMINE
137,ARIPIPRAZOLE
29,ATENOLOL
242,ATOMOXETINE
2,ATORVASTATIN
247,AZATHIOPRINE
72,AZITHROMYCIN
142,BACLOFEN
227,BECLOMETHASONE
250,BENZALKONIUM!DEXAMETHASONE!TOBRAMYCIN
199,BENZOYL PEROXIDE!CLINDAMYCIN
180,BENZTROPINE
172,BETAHISTINE
82,BETAMETHASONE (BASE)
204,BIMATOPROST
19,BISOPROLOL
189,BROMAZEPAM
164,BUDESONIDE
86,BUDESONIDE!FORMOTEROL
,BUPRENORPHINE
140,BUPRENORPHINE!NALOXONE
48,BUPROPION
,BUTORPHANOL
248,CALCITRIOL
63,CANDESARTAN CILEXETIL
162,CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE
104,CARBAMAZEPINE
112,CARBIDOPA!LEVODOPA
191,CARVEDILOL
197,CEFPROZIL
51,CELECOXIB
81,CEPHALEXIN
152,CETIRIZINE
219,CHLORHEXIDINE
28,CHOLECALCIFEROL
156,CICLESONIDE
236,CICLOPIROX
66,CIPROFLOXACIN
194,CIPROFLOXACIN!DEXAMETHASONE (BASE)
12,CITALOPRAM
73,CLARITHROMYCIN
122,CLINDAMYCIN
243,CLOBAZAM
193,CLOBETASOL
21,CLONAZEPAM
124,CLONIDINE
25,CLOPIDOGREL
170,CLOZAPINE
179,CODEINE
221,COLCHICINE
78,CYCLOBENZAPRINE
222,CYPROTERONE!ETHINYL ESTRADIOL
176,DABIGATRAN ETEXILATE
89,DESOGESTREL!ETHINY LESTRADIOL
230,DESVENLAFAXINE
159,DEXAMETHASONE (BASE)
125,DEXLANSOPRAZOLE
245,DEXTROAMPHETAMINE
143,DIAZEPAM
238,DIBUCAINE!ESCULIN!FRAMYCETIN!HYDROCORTISONE
101,DICLOFENAC
119,DICLOFENAC!MISOPROSTOL
84,DIGOXIN
42,DILTIAZEM
69,DIVALPROEX
68,DOMPERIDONE
74,DONEPEZIL
214,DORZOLAMIDE!TIMOLOL
237,DOXAZOSIN
177,DOXYCYCLINE
79,DROSPIRENONE!ETHINYL ESTRADIOL
83,DULOXETINE
100,DUTASTERIDE
105,ENALAPRIL
205,EPINEPHRINE
220,ERYTHROMYCIN
36,ESCITALOPRAM
26,ESOMEPRAZOLE
240,ESOMEPRAZOLE!NAPROXEN
60,ESTRADIOL
94,"ESTROGENIC SUB,CONJUGATED"
198,ETHINYL ESTRADIOL!ETONOGESTREL
27,ETHINYL ESTRADIOL!LEVONORGESTREL
244,ETHINYL ESTRADIOL!NORELGESTROMIN
201,ETHINYL ESTRADIOL!NORETHINDRONE
71,ETHINYL ESTRADIOL!NORGESTIMATE
64,EZETIMIBE
186,FELODIPINE
93,FENOFIBRATE
157,FENTANYL
109,FINASTERIDE
98,FLUOXETINE
232,FLURAZEPAM
32,FLUTICASONE
65,FLUTICASONE!SALMETEROL
90,FOLIC ACID
182,FOSINOPRIL
8,FUROSEMIDE
102,FUSIDIC ACID
45,GABAPENTIN
149,GALANTAMINE
38,GLICLAZIDE
62,GLYBURIDE
216,HALOPERIDOL
133,HUMAN INSULIN ISOPHANE
217,HUMAN INSULIN!HUMAN INSULIN ISOPHANE
11,HYDROCHLOROTHIAZIDE
96,HYDROCHLOROTHIAZIDE!IRBESARTAN
229,HYDROCHLOROTHIAZIDE!LISINOPRIL
151,HYDROCHLOROTHIAZIDE!LOSARTAN
233,HYDROCHLOROTHIAZIDE!OLMESARTAN MEDOXOMIL
241,HYDROCHLOROTHIAZIDE!QUINAPRIL
169,HYDROCHLOROTHIAZIDE!RAMIPRIL
145,HYDROCHLOROTHIAZIDE!TELMISARTAN
146,HYDROCHLOROTHIAZIDE!TRIAMTERENE
85,HYDROCHLOROTHIAZIDE!VALSARTAN
,HYDROCODONE
,HYDROCODONE!PHENYLTOLOXAMINE
,HYDROCODONE!ALCOLHOL ANHYDROUS!ETAFEDRIN!SODIUM CITRATE!DOXYLAMINE 
,HYDROCODONE!BROMPHENIRAMINE!GUAFENESIN!PHENYLEPHRINE
,HYDROCODONE!PHENYLEPHRINE 
129,HYDROCORTISONE
35,HYDROMORPHONE
154,HYDROXYCHLOROQUINE
158,HYDROXYZINE
150,IBUPROFEN
127,INDAPAMIDE
118,INDAPAMIDE!PERINDOPRIL
208,INDOMETHACIN
135,INSULIN ASPART
234,INSULIN DETEMIR
106,INSULIN GLARGINE
165,INSULIN LISPRO
161,IPRATROPIUM
49,IRBESARTAN
148,ISOSORBIDE-5-MONONITRATE
174,KETOROLAC
132,LAMOTRIGINE
41,LANSOPRAZOLE
126,LATANOPROST
223,LEVETIRACETAM
249,LEVOFLOXACIN
1,LEVOTHYROXINE
196,LISDEXAMFETAMINE
114,LISINOPRIL
99,LITHIUM (ION)
10,LORAZEPAM
97,LOSARTAN
115,MEDROXYPROGESTERONE
136,MELOXICAM
,MEPERIDINE
168,MESALAZINE
4,METFORMIN
175,METFORMIN!SITAGLIPTIN
76,METHADONE
123,METHOTREXATE
52,METHYLPHENIDATE
215,METOCLOPRAMIDE
9,METOPROLOL
121,METRONIDAZOLE
200,MINOCYCLINE
67,MIRTAZAPINE
44,MOMETASONE
107,MONTELUKAST
77,MORPHINE
120,MOXIFLOXACIN
,NALOXONE!OXYCODONE
30,NAPROXEN
39,NIFEDIPINE
103,NITROFURANTOIN
88,NITROGLYCERIN
226,NORETHINDRONE
,NORMETHADONE!P-HYDROXYEPHEDRINE
190,NORTRIPTYLINE
235,NYSTATIN
54,OLANZAPINE
192,OLMESARTAN MEDOXOMIL
207,OLOPATADINE
43,OMEPRAZOLE
,OPIUM!BELLADONA
57,OXAZEPAM
128,OXYBUTYNIN
70,OXYCODONE
5,PANTOPRAZOLE
59,PAROXETINE
141,PENICILLIN V
,PENTAZOCINE
23,PERINDOPRIL
110,PHENYTOIN
206,PIOGLITAZONE
188,PRAMIPEXOLE
95,PRAVASTATIN
155,PREDNISOLONE
55,PREDNISONE
37,PREGABALIN
211,PROCYCLIDINE
144,PROGESTERONE
131,PROPRANOLOL
13,QUETIAPINE
163,QUINAPRIL
184,QUININE SULFATE
22,RABEPRAZOLE SODIUM
7,RAMIPRIL
61,RANITIDINE
210,REPAGLINIDE
34,RISEDRONATE
33,RISPERIDONE
181,RIVAROXABAN
224,RIVASTIGMINE
228,RIZATRIPTAN
3,ROSUVASTATIN
15,SALBUTAMOL
203,SAXAGLIPTIN
53,SERTRALINE
111,SILDENAFIL
47,SIMVASTATIN
108,SITAGLIPTIN
187,SOLIFENACIN
91,SPIRONOLACTONE
116,SULFAMETHOXAZOLE!TRIMETHOPRIM
246,SUMATRIPTAN
239,TACROLIMUS
117,TADALAFIL
31,TAMSULOSIN
80,TELMISARTAN
87,TEMAZEPAM
167,TERAZOSIN
171,TERBINAFINE
202,TESTOSTERONE
212,TIMOLOL
75,TIOTROPIUM BROMIDE
147,TOLTERODINE
153,TOPIRAMATE
213,TRAMADOL
138,TRANDOLAPRIL
231,TRAVOPROST
24,TRAZODONE
183,TRIAMCINOLONE ACETONIDE
