"","DRUGNAME","ACTIVE_INGREDIENT_NAME"
"1","222 FROSST W/PHENACETIN","codeine po4"
"2","222 TABLET","codeine po4"
"3","222 TABLETS","codeine po4"
"4","282 FROSST W/PHENACETIN","codeine po4"
"5","282 MEP","codeine po4"
"6","282 TAB","codeine po4"
"7","282 TABLETS","codeine po4"
"8","292 FROSST W/PHENACETIN","codeine po4"
"9","292 TAB","codeine po4"
"10","292 TABLETS","codeine po4"
"11","A.C.& C TABLETS","codeine po4"
"12","ABSTRAL","fentanyl"
"13","ABSTRAL","fentanyl iv"
"14","ACET CODEINE 30 TAB","codeine po4"
"15","ACETAMINOPHEN 300 MG WITH CAFFEINE & CODEINE CAPLET","codeine po4"
"16","ACETAMINOPHEN AND CODEINE","codeine po4"
"17","ACETAMINOPHEN COMPOUND TABLETS WITH CODEINE","codeine po4"
"18","ACETAMINOPHEN W CODEINE TAB","codeine po4"
"19","ACETAMINOPHEN WITH CODEINE - CAPLET","codeine po4"
"20","ACETAMINOPHEN WITH CODEINE AND CAFFEINE","codeine po4"
"21","ACETAMINOPHEN, CAFFEINE, AND 8MG OF CODEINE PHOSPHATE TABLETS","codeine po4"
"22","ACETAMINOPHEN-CAFFEINE-CODEINE (LIFE)","codeine po4"
"23","ACETAMINOPHEN/ACETYLSALICYLIC ACID/ALUMINUM HYDROXIDE/CODEINE","codein"
"24","ACETAMINOPHEN/ACETYLSALICYLIC ACID/ALUMINUM HYDROXIDE/CODEINE","codeine"
"25","ACETAMINOPHEN/AMOBARBITAL/CAFFEINE/CODEINE PHOSPHATE/OCTIBENZONIUM BROMIDE","codeine po4"
"26","ACETAMINOPHEN/BUTALBITAL/CAFFEINE/CODEINE","codein"
"27","ACETAMINOPHEN/BUTALBITAL/CAFFEINE/CODEINE","codeine"
"28","ACETAMINOPHEN/CAFFEINE CITRATE/CODEINE PHOSPHATE","codeine po4"
"29","ACETAMINOPHEN/CAFFEINE/CODEINE","codein"
"30","ACETAMINOPHEN/CAFFEINE/CODEINE","codeine"
"31","ACETAMINOPHEN/CAFFEINE/CODEINE PHOSPHATE","codeine po4"
"32","ACETAMINOPHEN/CODEINE","codein"
"33","ACETAMINOPHEN/CODEINE","codeine"
"34","ACETAMINOPHEN/CODEINE PHOSPHATE","codeine po4"
"35","ACETAMINOPHEN/CODEINE PHOSPHATE/DOXYLAMINE SUCCINATE","codeine po4"
"36","ACETAMINOPHEN/CODEINE PHOSPHATE/PROMETHAZINE HYDROCHLORIDE","codeine po4"
"37","ACETAMINOPHEN/OXYCODONE","oxycodone"
"38","ACETAMINOPHEN/OXYCODONE HYDROCHLORIDE","oxycodone hcl"
"39","ACETAMINOPHEN/OXYCODONE HYDROCHLORIDE/OXYCODONE TEREPHTHALATE","oxycodone hcl"
"40","ACETAMINOPHEN/TRAMADOL","tramadol"
"41","ACETAMINOPHEN/TRAMADOL","tramadol hcl"
"42","ACETAMINOPHEN/TRAMADOL HYDROCHLORIDE","tramadol hcl"
"43","ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE","codeine po4"
"44","ACETYLSALICYLIC ACID, CAFFEINE AND CODEINE PHOSPHATE TABLETS","codeine po4"
"45","ACETYLSALICYLIC ACID/BUTALBITAL/CAFFEINE/CODEINE PHOSPHATE","codeine po4"
"46","ACETYLSALICYLIC ACID/BUTALBITAL/CAFFEINE/CODEINE PHOSPHATE/PHENACETIN","codeine po4"
"47","ACETYLSALICYLIC ACID/CAFFEINE/HOMATROPINE TEREPHTHALATE/OXYCODONE HYDROCHLORIDE/OXYCODONE TEREPHTHALATE/PHENACETIN","oxycodone hcl"
"48","ACETYLSALICYLIC ACID/CODEINE PHOSPHATE/METHOCARBAMOL","codeine po4"
"49","ACETYLSALICYLIC ACID/OXYCODONE HYDROCHLORIDE","oxycodone hcl"
"50","ACETYLSALICYLIC ACID/OXYCODONE HYDROCHLORIDE/OXYCODONE TEREPHTHALATE","oxycodone hcl"
"51","ACT OXYCODONE CR","oxycodone hcl"
"52","AMBENYL COUGH SYRUP","codeine po4"
"53","AMMONIUM CHLORIDE/CODEINE PHOSPHATE/CHLORPHENIRAMINE MALEATE/EPHEDRINE HYDROCHLORIDE","codeine po4"
"54","ANACIN WITH CODEINE TAB","codeine po4"
"55","ANCASAL 30","codein"
"56","ANCASAL 30","codeine"
"57","APC & C","codein"
"58","APC & C","codeine"
"59","APC & DEMEROL","meperidine"
"60","APO-FENTANYL MATRIX","fentanyl"
"61","APO-FENTANYL MATRIX","fentanyl iv"
"62","APO-HYDROMORPHONE","hydromorphone"
"63","APO-HYDROMORPHONE","hydromorphone hcl"
"64","APO-HYRDROMORPHONE","hydromorphone"
"65","APO-HYRDROMORPHONE","hydromorphone hcl"
"66","APO-OXYCODONE CR","oxycodone hcl"
"67","APO-OXYCODONE/ACET","oxycodone hcl"
"68","APO-TRAMADOL","tramadol hcl"
"69","APO-TRAMADOL/ACET","tramadol hcl"
"70","ASA-CAFFEINE-CODEINE","codeine po4"
"71","ATASOL (ACETAMINOPHEN/CAFFEINE/CODEINE)","codeine po4"
"72","ATASOL 15 TAB","codeine po4"
"73","ATASOL 30 TAB","codeine po4"
"74","ATASOL 8 TAB","codeine po4"
"75","ATASOL WITH CODEINE-CAFFEINE","codeine po4"
