tm_code,tm_formal_name,JMJ TM/NTP Data Review Comments,HC Comments,DIN Unit Status,Review Bur Req,sent to Julie,Pseudo Dins,Exception Reqd,Notified to HC?,CPHA Data Review Comments
9000012,acebutolol,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000019,acetaminophen and caffeine and codeine,No issues identified.  It would be good if monographs could be consistent on use of caffeine/caffeine citrate in the future,,,,,,,,"Suggested NTP name was incorrect, but it is correct according to Ed Guidelines
Suggested MP name changes in DPD"
9000030,acetaminophen and codeine,No issues identified,,,,,,,,No issues identified
9000054,acetaminophen and oxycodone,Incorrect BoSS  making extra unnecessary NTP,,Complete,No,,,,Yes: S/S sent,No issues identified
9000059,acetaminophen and tramadol,No issues identified,,,,,,,,No issues identified
9000073,acyclovir,Injection strengths,,,,,,,Not yet [PSDIN],Suggested MP name changes in DPD
9000097,alendronate,No issues identified,,,,,,,,No issues identified
9000098,alendronate and cholecalciferol,"TM should be alendronic acid and vitamin D3 (cholecalciferol)
Incorrect strength description
Missing MP: Where is Fosavance [02276429]?
MISSING NTP due to water of hydration","No Action.
Leave Vit D3 str as units because all products have this",Complete,No,yes,no,yes,"Yes: e-mail
Yes: S/S sent",No issues identified
9000101,alfuzosin,No issues identified,,,,,,,,
9000106,allopurinol,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000111,alprazolam,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000128,amiodarone,Injection strengths,,,,,,,Not yet [PSDIN],Suggested MP name changes in DPD
9000129,amitriptyline,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000130,amlodipine,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000137,amoxicillin,"29 missing MPs
2 missing NTPs
3 extra unnecessary NTPs
Waters of hydration",reviewed and sent to julie,Complete,Maybe,yes,no,Water of hydration,Yes: S/S,Suggested MP name changes in DPD
9000139,amphetamine and dextroamphetamine,Query of product description,,,,,,,For future discussion,No issues identified
9000165,aripiprazole,Combination product incorrectly described,,,,,,,Not yet,No issues identified
9000176,atenolol,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000178,atomoxetine,No issues identified,,,,,,,,No issues identified
9000179,atorvastatin,Waters of hydration,,,,,,,Not yet,No issues identified
9000251,azathioprine,No issues identified,,,,,,,,No issues identified
9000254,azithromycin,Waters of hydration,,,,,,,Not yet,No issues identified
9000263,baclofen,Injection strengths,,,,,,,Not yet [PSDIN],Suggested MP name changes in DPD
9000266,beclomethasone,Incorrect strength description resulting in one extra unnecessary NTP,,Complete,No,yes,,,Yes: S/S sent,Suggested MP name changes in DPD
9000288,benzoyl peroxide and clindamycin,Incorrect strength description resulting in one extra unnecessary NTP,,Complete,No,yes,,,Yes: S/S sent,No issues identified
9000291,benztropine,Injection strengths,,,,,,,Not yet [PSDIN],Suggested MP name changes in DPD
9000294,betahistine,No issues identified,,,,,,,,No issues identified
9000296,betamethasone,Several extra unnecessary NTPs due to incorrect strength description and inconsistent BoSS,,Complete,No,,,,Yes: S/S [Louise],"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000309,bimatoprost,Query of granularity of dose form description,,,,,,,For future discussion,No issues identified
9000317,bisoprolol,No issues identified,,,,,,,,No issues identified
9000330,bromazepam,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000339,budesonide,"Incorrect nebuliser strength descriptions
Missing MP and NTP
Incorrect dose forms",,pending,Yes,yes,no,,Yes: S/S sent,"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000346,buprenorphine and naloxone,Waters of hydration,,,,,,,Not yet,No issues identified
9000347,bupropion,No issues identified,,,,,,,,No issues identified
9000354,calcitriol,"Injection strengths
Strength description",didn't receive this one,,,,,,Yes: S/S sent,Suggested MP name changes in DPD
9000382,candesartan cilexetil,Incorrect TM  (should be candesartan),,,,,,,Yes: e-mail,Suggested MP name changes in DPD
9000383,candesartan cilexetil and hydrochlorothiazide,Incorrect TM  (should be candesartan and hydrochlorothiazide),,,,,,,Yes: e-mail,No issues identified
9000388,carbamazepine,Incorrect dose forms resulting in one extra unnecessary NTP and some incorrect relationships,,Complete,No,yes,,,Yes: S/S sent,No issues identified
9000392,carbidopa and levodopa,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000402,carvedilol,No issues identified,,,,,,,,No issues identified
9000411,cefprozil,"BoSS issues (water of hydration): 8 missing MPs
Incorrect dose forms resulting in two extra unnecessary NTP
Waters of hydration",waiting for decision on waters of hydration,pending,Maybe,,,Water of hydration,Yes: S/S sent,"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000416,celecoxib,No issues identified,,,,,,,,No issues identified
9000417,cephalexin,"BoSS issues (water of hydration): 4 missing MPs; 2 missing NTPs
Incorrect dose forms resulting in two extra unnecessary NTP
Waters of hydration",,pending,Maybe,,,Water of hydration,Yes: S/S sent,"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000420,cetirizine,No issues identified,,,,,,,,No issues identified
9000435,chlorhexidine,Incorrect dose forms and strengths resulting in 8 extra unnecessary NTPs,,pending,no,yes,,,Yes: S/S sent,"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000464,cholecalciferol,NTP should be vitamin D3 (cholecalciferol) 10000 unit oral capsule (NB No product monograph) and TM incorrect,,,,,,,,No issues identified
9000472,ciclesonide,Incorrect dose forms are resulting in 2 extra unnecessary NTPs,dose form / strength unit,pending,no,yes,,,Yes: S/S sent,No issues identified
9000473,ciclopirox,No issues identified,,,,,,,,Duplicate NTPs identified
9000477,ciprofloxacin,"Injection strengths
Oral solution strength incorrect
Query re dose form granularity (ophthalmic solution)",Pseduo DINs required,pending,no,yes,yes,,Yes: S/S sent,"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000478,ciprofloxacin and dexamethasone,Query of granularity of dose form description,,,,,,,For future discussion,No issues identified
9000481,citalopram,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000483,clarithromycin,No issues identified,,,,,,,,No issues identified
9000484,clindamycin,Injection strengths,Pseduo DINs required,pending,yes,yes,yes,,Yes: S/S sent,"Suggested MP name changes in DPD
Two duplicate NTPs incorrectly identified (they are not duplicates, they have a different precise ingredient substance)"
9000488,clobazam,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000489,clobetasol,Incorrect dose forms are resulting in 2 extra unnecessary NTPs,,Pending,No,yes,,,Yes: S/S sent,"Suggested MP name changes in DPD
Some duplicate NTPs identified"
9000495,clonazepam,No issues identified,,,,,,,,Suggested MP name changes in DPD
9000496,clonidine,Query of strength description,,,,,,,For future discussion,Suggested MP name changes in DPD
9000497,clopidogrel,No issues identified,,,,,,,,No issues identified
9000502,clozapine,No issues identified,,,,,,,,No issues identified
